#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9481798.1         -            886 2073at5820           -            783         0 1494.9  50.8   1   1         0         0 1491.3  50.8     1   779     1   879     1   886 0.93 | transcript=PVW1_060026500_t1 | gene=PVW1_060026500 | organism=Plasmodium_vivax_PvW1 | gene_product=Methionine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HA18] | transcript_product=Methionine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HA18] | location=CAJZCX010000012:875841-878501(+) | protein_length=886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478694.1         -            748 2073at5820           -            783   4.2e-66  221.9  21.3   1   2   2.9e-45     3e-42  143.0   7.7   178   407   161   401   152   407 0.87 | transcript=PVW1_080010000_t1 | gene=PVW1_080010000 | organism=Plasmodium_vivax_PvW1 | gene_product=Methionine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBC0] | transcript_product=Methionine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBC0] | location=CAJZCX010000009:277878-280124(-) | protein_length=748 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478694.1         -            748 2073at5820           -            783   4.2e-66  221.9  21.3   2   2   1.4e-27   1.4e-24   84.6   5.6   407   617   494   717   490   722 0.83 | transcript=PVW1_080010000_t1 | gene=PVW1_080010000 | organism=Plasmodium_vivax_PvW1 | gene_product=Methionine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBC0] | transcript_product=Methionine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBC0] | location=CAJZCX010000009:277878-280124(-) | protein_length=748 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473376.1         -           1206 2073at5820           -            783   5.2e-20   69.5   0.9   1   3   9.1e-07   0.00092   15.7   0.1   178   245   100   169    80   201 0.81 | transcript=PVW1_120036200_t1 | gene=PVW1_120036200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1330279-1333899(+) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473376.1         -           1206 2073at5820           -            783   5.2e-20   69.5   0.9   2   3     0.029        30    0.8   0.0   330   389   530   591   521   605 0.82 | transcript=PVW1_120036200_t1 | gene=PVW1_120036200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1330279-1333899(+) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473376.1         -           1206 2073at5820           -            783   5.2e-20   69.5   0.9   3   3   6.8e-17   6.9e-14   49.2   0.0   406   488   668   752   658   773 0.86 | transcript=PVW1_120036200_t1 | gene=PVW1_120036200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1330279-1333899(+) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479660.1         -           1316 2073at5820           -            783   3.9e-13   46.7   4.7   1   3   4.5e-11   4.5e-08   30.0   0.5   179   356   151   333   147   345 0.74 | transcript=PVW1_050011100_t1 | gene=PVW1_050011100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:303846-307796(-) | protein_length=1316 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479660.1         -           1316 2073at5820           -            783   3.9e-13   46.7   4.7   2   3   2.5e-07   0.00026   17.6   0.0   453   485   921   953   915   969 0.87 | transcript=PVW1_050011100_t1 | gene=PVW1_050011100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:303846-307796(-) | protein_length=1316 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479660.1         -           1316 2073at5820           -            783   3.9e-13   46.7   4.7   3   3      0.23   2.3e+02   -2.1   0.1    92   141  1071  1121  1059  1133 0.79 | transcript=PVW1_050011100_t1 | gene=PVW1_050011100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:303846-307796(-) | protein_length=1316 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473678.1         -           1071 2073at5820           -            783     7e-13   45.9   0.1   1   3   5.9e-06     0.006   13.0   0.0   177   232    73   128    57   150 0.86 | transcript=PVW1_120059700_t1 | gene=PVW1_120059700 | organism=Plasmodium_vivax_PvW1 | gene_product=Valine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH85] | transcript_product=Valine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH85] | location=CAJZCX010000004:2320675-2323890(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473678.1         -           1071 2073at5820           -            783     7e-13   45.9   0.1   2   3   2.1e-10   2.2e-07   27.7   0.1   409   474   568   635   547   645 0.89 | transcript=PVW1_120059700_t1 | gene=PVW1_120059700 | organism=Plasmodium_vivax_PvW1 | gene_product=Valine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH85] | transcript_product=Valine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH85] | location=CAJZCX010000004:2320675-2323890(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473678.1         -           1071 2073at5820           -            783     7e-13   45.9   0.1   3   3     0.038        38    0.4   0.0   472   503   670   701   654   715 0.86 | transcript=PVW1_120059700_t1 | gene=PVW1_120059700 | organism=Plasmodium_vivax_PvW1 | gene_product=Valine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH85] | transcript_product=Valine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH85] | location=CAJZCX010000004:2320675-2323890(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472322.1         -           1607 2073at5820           -            783   5.7e-05   19.7   1.9   1   2   0.00012      0.13    8.7   0.8   180   237   221   278   165   291 0.76 | transcript=PVW1_140049600_t1 | gene=PVW1_140049600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1942348-1947685(+) | protein_length=1607 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472322.1         -           1607 2073at5820           -            783   5.7e-05   19.7   1.9   2   2   7.4e-05     0.075    9.4   0.0   439   471  1148  1180  1143  1188 0.88 | transcript=PVW1_140049600_t1 | gene=PVW1_140049600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1942348-1947685(+) | protein_length=1607 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2073at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2073at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2073at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:57 2026
# [ok]
