#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479709.1         -            318 9386at5820           -            279  5.2e-176  581.9   3.5   1   1    1e-178  6.8e-176  581.5   3.5    10   279    32   313    25   313 0.97 | transcript=PVW1_050015300_t1 | gene=PVW1_050015300 | organism=Plasmodium_vivax_PvW1 | gene_product=Dicarboxylate/tricarboxylate carrier, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N2] | transcript_product=Dicarboxylate/tricarboxylate carrier, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N2] | location=CAJZCX010000010:486145-487101(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481845.1         -            301 9386at5820           -            279   5.6e-16   56.9   2.9   1   1   1.5e-18     1e-15   56.0   2.9    11   268    11   290     4   300 0.74 | transcript=PVW1_060028200_t1 | gene=PVW1_060028200 | organism=Plasmodium_vivax_PvW1 | gene_product=ADP/ATP translocase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUP5] | transcript_product=ADP/ATP translocase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUP5] | location=CAJZCX010000012:948074-948979(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480367.1         -            515 9386at5820           -            279   6.2e-10   37.0   6.1   1   3   6.6e-05     0.045   11.3   0.2   195   275    91   166    77   170 0.85 | transcript=PVW1_070013800_t1 | gene=PVW1_070013800 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ8] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ8] | location=CAJZCX010000011:470808-472544(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480367.1         -            515 9386at5820           -            279   6.2e-10   37.0   6.1   2   3   4.5e-08     3e-05   21.6   0.1    13    84   220   293   207   311 0.85 | transcript=PVW1_070013800_t1 | gene=PVW1_070013800 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ8] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ8] | location=CAJZCX010000011:470808-472544(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480367.1         -            515 9386at5820           -            279   6.2e-10   37.0   6.1   3   3    0.0032       2.2    5.7   0.3   198   270   419   499   398   507 0.67 | transcript=PVW1_070013800_t1 | gene=PVW1_070013800 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ8] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ8] | location=CAJZCX010000011:470808-472544(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480322.1         -           1119 9386at5820           -            279     1e-09   36.4   0.4   1   3     0.032        22    2.4   0.0    15    50    40    75    33    86 0.86 | transcript=PVW1_070010100_t1 | gene=PVW1_070010100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:292035-295394(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480322.1         -           1119 9386at5820           -            279     1e-09   36.4   0.4   2   3   0.00063      0.43    8.0   0.1    18    77   752   813   740   826 0.77 | transcript=PVW1_070010100_t1 | gene=PVW1_070010100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:292035-295394(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480322.1         -           1119 9386at5820           -            279     1e-09   36.4   0.4   3   3   4.3e-08   2.9e-05   21.7   0.0    12    87  1030  1108  1022  1117 0.84 | transcript=PVW1_070010100_t1 | gene=PVW1_070010100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:292035-295394(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472483.1         -            259 9386at5820           -            279   6.2e-08   30.5   3.5   1   3    0.0034       2.3    5.6   0.1   197   231     6    40     2    69 0.74 | transcript=PVW1_140065200_t1 | gene=PVW1_140065200 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5U2] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5U2] | location=CAJZCX010000003:2633772-2635544(+) | protein_length=259 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472483.1         -            259 9386at5820           -            279   6.2e-08   30.5   3.5   2   3   1.2e-05    0.0079   13.7   0.5   157   269    44   155    37   165 0.77 | transcript=PVW1_140065200_t1 | gene=PVW1_140065200 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5U2] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5U2] | location=CAJZCX010000003:2633772-2635544(+) | protein_length=259 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472483.1         -            259 9386at5820           -            279   6.2e-08   30.5   3.5   3   3   4.9e-05     0.033   11.7   0.0    14    66   184   233   165   240 0.85 | transcript=PVW1_140065200_t1 | gene=PVW1_140065200 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5U2] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5U2] | location=CAJZCX010000003:2633772-2635544(+) | protein_length=259 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
