#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480587.1         -            846 3825at5820           -            620         0 1151.6  53.8   1   2   2.9e-98   1.8e-95  319.1  12.2     1   182     1   196     1   208 0.93 | transcript=PVW1_070026900_t1 | gene=PVW1_070026900 | organism=Plasmodium_vivax_PvW1 | gene_product=Dynein intermediate chain, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAP1] | transcript_product=Dynein intermediate chain, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAP1] | location=CAJZCX010000011:972211-975804(+) | protein_length=846 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480587.1         -            846 3825at5820           -            620         0 1151.6  53.8   2   2  1.7e-255  1.1e-252  838.4  33.7   188   620   389   846   359   846 0.96 | transcript=PVW1_070026900_t1 | gene=PVW1_070026900 | organism=Plasmodium_vivax_PvW1 | gene_product=Dynein intermediate chain, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAP1] | transcript_product=Dynein intermediate chain, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAP1] | location=CAJZCX010000011:972211-975804(+) | protein_length=846 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472194.1         -           1226 3825at5820           -            620   2.1e-16   57.9  50.2   1   4        10   6.1e+03  -26.4  30.1   192   274   207   298   164   436 0.53 | transcript=PVW1_140037400_t1 | gene=PVW1_140037400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1423312-1428451(+) | protein_length=1226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472194.1         -           1226 3825at5820           -            620   2.1e-16   57.9  50.2   2   4      0.36   2.2e+02   -1.6   4.0   188   243   577   638   549   660 0.63 | transcript=PVW1_140037400_t1 | gene=PVW1_140037400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1423312-1428451(+) | protein_length=1226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472194.1         -           1226 3825at5820           -            620   2.1e-16   57.9  50.2   3   4   4.4e-07   0.00027   17.9  32.4   172   416   620   899   573   956 0.74 | transcript=PVW1_140037400_t1 | gene=PVW1_140037400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1423312-1428451(+) | protein_length=1226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472194.1         -           1226 3825at5820           -            620   2.1e-16   57.9  50.2   4   4     2e-18   1.2e-15   55.4   9.7   440   602  1041  1207  1012  1218 0.79 | transcript=PVW1_140037400_t1 | gene=PVW1_140037400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1423312-1428451(+) | protein_length=1226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472285.1         -            430 3825at5820           -            620   5.5e-06   23.5   2.4   1   1   1.4e-08   8.5e-06   22.9   1.7   429   512   290   373   279   418 0.74 | transcript=PVW1_140046100_t1 | gene=PVW1_140046100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1764017-1765309(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472452.1         -            503 3825at5820           -            620   8.2e-06   22.9   1.9   1   2       1.4   8.3e+02   -3.5   2.5     6    24    15    33    12    59 0.85 | transcript=PVW1_140062100_t1 | gene=PVW1_140062100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2485626-2487456(+) | protein_length=503 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472452.1         -            503 3825at5820           -            620   8.2e-06   22.9   1.9   2   2   1.4e-08   8.2e-06   22.9   1.9   428   589   278   444   263   450 0.72 | transcript=PVW1_140062100_t1 | gene=PVW1_140062100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2485626-2487456(+) | protein_length=503 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479676.1         -            322 3825at5820           -            620     1e-05   22.6   7.5   1   3   4.1e-06    0.0025   14.7   0.9   392   554    33   196    28   207 0.79 | transcript=PVW1_050012500_t1 | gene=PVW1_050012500 | organism=Plasmodium_vivax_PvW1 | gene_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | transcript_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | location=CAJZCX010000010:364461-365871(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479676.1         -            322 3825at5820           -            620     1e-05   22.6   7.5   2   3       0.1        64    0.2   0.1   472   512   239   276   230   292 0.72 | transcript=PVW1_050012500_t1 | gene=PVW1_050012500 | organism=Plasmodium_vivax_PvW1 | gene_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | transcript_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | location=CAJZCX010000010:364461-365871(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
