#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472329.1         -           1143 1289at5820           -            955         0 1797.0  50.3   1   3    2e-138  1.5e-135  452.2  12.6     6   254    37   308    33   316 0.94 | transcript=PVW1_140050300_t1 | gene=PVW1_140050300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1969199-1973142(+) | protein_length=1143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472329.1         -           1143 1289at5820           -            955         0 1797.0  50.3   2   3   7.7e-49   5.8e-46  155.6   0.4   253   355   351   475   341   483 0.89 | transcript=PVW1_140050300_t1 | gene=PVW1_140050300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1969199-1973142(+) | protein_length=1143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472329.1         -           1143 1289at5820           -            955         0 1797.0  50.3   3   3         0         0 1198.9  23.5   355   955   504  1143   501  1143 0.96 | transcript=PVW1_140050300_t1 | gene=PVW1_140050300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1969199-1973142(+) | protein_length=1143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473372.1         -           1680 1289at5820           -            955   4.8e-63  212.2  33.1   1   4   2.4e-20   1.8e-17   61.3  10.6    15   179   196   380   189   429 0.79 | transcript=PVW1_120035900_t1 | gene=PVW1_120035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1317091-1322133(-) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473372.1         -           1680 1289at5820           -            955   4.8e-63  212.2  33.1   2   4   1.2e-30   8.8e-28   95.5   1.1   277   447   558   752   544   766 0.80 | transcript=PVW1_120035900_t1 | gene=PVW1_120035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1317091-1322133(-) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473372.1         -           1680 1289at5820           -            955   4.8e-63  212.2  33.1   3   4   3.5e-18   2.7e-15   54.2   3.3   469   651   817   994   809  1025 0.81 | transcript=PVW1_120035900_t1 | gene=PVW1_120035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1317091-1322133(-) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473372.1         -           1680 1289at5820           -            955   4.8e-63  212.2  33.1   4   4   6.4e-06    0.0049   13.6   0.1   745   801  1194  1250  1182  1255 0.91 | transcript=PVW1_120035900_t1 | gene=PVW1_120035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1317091-1322133(-) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472446.1         -            631 1289at5820           -            955   1.8e-40  137.4  10.7   1   2     2e-34   1.5e-31  108.0   5.1   363   566     7   213     3   242 0.87 | transcript=PVW1_140061500_t1 | gene=PVW1_140061500 | organism=Plasmodium_vivax_PvW1 | gene_product=SUMO-activating enzyme subunit [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5J2] | transcript_product=SUMO-activating enzyme subunit [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5J2] | location=CAJZCX010000003:2456607-2458627(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472446.1         -            631 1289at5820           -            955   1.8e-40  137.4  10.7   2   2   1.4e-11   1.1e-08   32.3   0.3   734   804   338   406   321   413 0.89 | transcript=PVW1_140061500_t1 | gene=PVW1_140061500 | organism=Plasmodium_vivax_PvW1 | gene_product=SUMO-activating enzyme subunit [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5J2] | transcript_product=SUMO-activating enzyme subunit [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5J2] | location=CAJZCX010000003:2456607-2458627(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479845.1         -            406 1289at5820           -            955   3.2e-18   63.8   1.3   1   2   1.5e-19   1.2e-16   58.7   0.3   377   508     5   137     1   143 0.88 | transcript=PVW1_050023400_t1 | gene=PVW1_050023400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:798821-800041(-) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479845.1         -            406 1289at5820           -            955   3.2e-18   63.8   1.3   2   2    0.0054       4.1    3.9   0.0   743   794   212   263   196   272 0.77 | transcript=PVW1_050023400_t1 | gene=PVW1_050023400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:798821-800041(-) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
