#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473726.1         -            583 7466at5820           -            378  1.4e-169  562.6  56.2   1   6   4.5e-09   1.4e-06   26.1   0.2     3    40     6    46     1    63 0.77 | transcript=PVW1_120063700_t1 | gene=PVW1_120063700 | organism=Plasmodium_vivax_PvW1 | gene_product=Cysteine proteinase [Source:UniProtKB/TrEMBL;Acc:Q6J153] | transcript_product=Cysteine proteinase [Source:UniProtKB/TrEMBL;Acc:Q6J153] | location=CAJZCX010000004:2448322-2450073(-) | protein_length=583 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473726.1         -            583 7466at5820           -            378  1.4e-169  562.6  56.2   2   6   0.00041      0.13    9.8   0.0    46   107    88   155    85   156 0.71 | transcript=PVW1_120063700_t1 | gene=PVW1_120063700 | organism=Plasmodium_vivax_PvW1 | gene_product=Cysteine proteinase [Source:UniProtKB/TrEMBL;Acc:Q6J153] | transcript_product=Cysteine proteinase [Source:UniProtKB/TrEMBL;Acc:Q6J153] | location=CAJZCX010000004:2448322-2450073(-) | protein_length=583 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473726.1         -            583 7466at5820           -            378  1.4e-169  562.6  56.2   3   6    0.0011      0.35    8.4   3.4    49    83   138   172   130   181 0.85 | transcript=PVW1_120063700_t1 | gene=PVW1_120063700 | organism=Plasmodium_vivax_PvW1 | gene_product=Cysteine proteinase [Source:UniProtKB/TrEMBL;Acc:Q6J153] | transcript_product=Cysteine proteinase [Source:UniProtKB/TrEMBL;Acc:Q6J153] | location=CAJZCX010000004:2448322-2450073(-) | protein_length=583 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473726.1         -            583 7466at5820           -            378  1.4e-169  562.6  56.2   4   6   1.3e-39   4.1e-37  126.7  19.0    64   180   212   328   186   336 0.84 | transcript=PVW1_120063700_t1 | gene=PVW1_120063700 | organism=Plasmodium_vivax_PvW1 | gene_product=Cysteine proteinase [Source:UniProtKB/TrEMBL;Acc:Q6J153] | transcript_product=Cysteine proteinase [Source:UniProtKB/TrEMBL;Acc:Q6J153] | location=CAJZCX010000004:2448322-2450073(-) | protein_length=583 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473726.1         -            583 7466at5820           -            378  1.4e-169  562.6  56.2   5   6     4e-99   1.3e-96  322.5   5.2   166   330   338   508   332   517 0.95 | transcript=PVW1_120063700_t1 | gene=PVW1_120063700 | organism=Plasmodium_vivax_PvW1 | gene_product=Cysteine proteinase [Source:UniProtKB/TrEMBL;Acc:Q6J153] | transcript_product=Cysteine proteinase [Source:UniProtKB/TrEMBL;Acc:Q6J153] | location=CAJZCX010000004:2448322-2450073(-) | protein_length=583 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473726.1         -            583 7466at5820           -            378  1.4e-169  562.6  56.2   6   6   5.6e-30   1.8e-27   94.9   1.3   329   378   534   583   528   583 0.97 | transcript=PVW1_120063700_t1 | gene=PVW1_120063700 | organism=Plasmodium_vivax_PvW1 | gene_product=Cysteine proteinase [Source:UniProtKB/TrEMBL;Acc:Q6J153] | transcript_product=Cysteine proteinase [Source:UniProtKB/TrEMBL;Acc:Q6J153] | location=CAJZCX010000004:2448322-2450073(-) | protein_length=583 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476721.1         -            495 7466at5820           -            378   1.1e-64  217.4  21.3   1   1   1.8e-65   5.7e-63  211.8  19.2    81   376   163   490   146   492 0.83 | transcript=PVW1_090020600_t1 | gene=PVW1_090020600 | organism=Plasmodium_vivax_PvW1 | gene_product=Vivapain-3 [Source:UniProtKB/TrEMBL;Acc:A0A564ZVI3] | transcript_product=Vivapain-3 [Source:UniProtKB/TrEMBL;Acc:A0A564ZVI3] | location=CAJZCX010000007:735299-736786(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476722.1         -            487 7466at5820           -            378   9.2e-62  207.8  19.8   1   1   1.7e-63   5.3e-61  205.3  19.8    76   374   152   482   121   486 0.82 | transcript=PVW1_090020700_t1 | gene=PVW1_090020700 | organism=Plasmodium_vivax_PvW1 | gene_product=Vivapain-2 [Source:UniProtKB/TrEMBL;Acc:Q6J112] | transcript_product=Vivapain-2 [Source:UniProtKB/TrEMBL;Acc:Q6J112] | location=CAJZCX010000007:739061-740524(-) | protein_length=487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476720.1         -            484 7466at5820           -            378   4.3e-61  205.6  22.0   1   1   6.8e-63   2.2e-60  203.3  22.0    83   362   158   468   133   482 0.85 | transcript=PVW1_090020500_t1 | gene=PVW1_090020500 | organism=Plasmodium_vivax_PvW1 | gene_product=Vivapain-2 [Source:UniProtKB/TrEMBL;Acc:Q5IZD8] | transcript_product=Vivapain-2 [Source:UniProtKB/TrEMBL;Acc:Q5IZD8] | location=CAJZCX010000007:730964-732418(-) | protein_length=484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472549.1         -            611 7466at5820           -            378   5.3e-16   57.2   9.0   1   1   3.9e-16   1.2e-13   49.4   9.0   181   359   312   543   302   552 0.68 | transcript=PVW1_140071400_t1 | gene=PVW1_140071400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2839212-2842431(+) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476737.1         -            690 7466at5820           -            378   1.5e-13   49.1  10.5   1   3       3.2     1e+03   -3.0   0.0   294   324    88   118    72   124 0.74 | transcript=PVW1_090021900_t1 | gene=PVW1_090021900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:778466-780538(-) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
