#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9483188.1         -            548 6096at5820           -            473  8.3e-248  821.5  41.2   1   2      0.15        28    2.0   0.1     1    16     1    16     1    20 0.92 | transcript=PVW1_030011500_t1 | gene=PVW1_030011500 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7C2] | transcript_product=ATP-dependent RNA helicase protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7C2] | location=CAJZCX010000014:336887-338858(-) | protein_length=548 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483188.1         -            548 6096at5820           -            473  8.3e-248  821.5  41.2   2   2  7.8e-250  1.4e-247  820.8  37.8    15   473    56   544    49   544 0.96 | transcript=PVW1_030011500_t1 | gene=PVW1_030011500 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7C2] | transcript_product=ATP-dependent RNA helicase protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7C2] | location=CAJZCX010000014:336887-338858(-) | protein_length=548 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477739.1         -            599 6096at5820           -            473   2.1e-23   81.6  13.4   1   1   3.3e-25   5.9e-23   80.1  13.4    92   463   180   548   162   556 0.71 | transcript=PVW1_110024100_t1 | gene=PVW1_110024100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:811483-813633(+) | protein_length=599 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475031.1         -           1444 6096at5820           -            473   4.7e-22   77.1   3.2   1   1   7.7e-24   1.4e-21   75.6   3.2    96   429   714  1050   701  1070 0.77 | transcript=PVW1_100049300_t1 | gene=PVW1_100049300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2015636-2019970(-) | protein_length=1444 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482364.1         -            542 6096at5820           -            473   5.6e-22   76.9  11.3   1   1   1.1e-23     2e-21   75.1  11.3    94   410   172   480   160   533 0.78 | transcript=PVW1_040012700_t1 | gene=PVW1_040012700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:371067-372695(+) | protein_length=542 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475997.1         -            877 6096at5820           -            473   9.4e-22   76.1  37.5   1   1   9.3e-24   1.7e-21   75.3  37.5    91   454   168   537   113   553 0.69 | transcript=PVW1_130036500_t1 | gene=PVW1_130036500 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIX9] | transcript_product=ATP-dependent RNA helicase DBP4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIX9] | location=CAJZCX010000006:1356066-1358861(+) | protein_length=877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473378.1         -            489 6096at5820           -            473   1.2e-20   72.5   0.2   1   2   1.5e-07   2.8e-05   21.8   0.0   102   204   103   216    90   228 0.75 | transcript=PVW1_120036400_t1 | gene=PVW1_120036400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP8, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGU6] | transcript_product=ATP-dependent RNA helicase DBP8, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGU6] | location=CAJZCX010000004:1337088-1338557(+) | protein_length=489 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473378.1         -            489 6096at5820           -            473   1.2e-20   72.5   0.2   2   2   1.7e-15   2.9e-13   48.1   0.3   272   414   291   428   281   466 0.80 | transcript=PVW1_120036400_t1 | gene=PVW1_120036400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP8, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGU6] | transcript_product=ATP-dependent RNA helicase DBP8, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGU6] | location=CAJZCX010000004:1337088-1338557(+) | protein_length=489 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473603.1         -            398 6096at5820           -            473   1.5e-20   72.2   0.4   1   2   4.6e-07   8.2e-05   20.3   0.0    86   212    51   187    43   212 0.75 | transcript=PVW1_120052700_t1 | gene=PVW1_120052700 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH16] | transcript_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH16] | location=CAJZCX010000004:1971328-1972870(-) | protein_length=398 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473603.1         -            398 6096at5820           -            473   1.5e-20   72.2   0.4   2   2   4.3e-16   7.6e-14   50.1   0.3   273   413   238   372   228   395 0.85 | transcript=PVW1_120052700_t1 | gene=PVW1_120052700 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH16] | transcript_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH16] | location=CAJZCX010000004:1971328-1972870(-) | protein_length=398 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475141.1         -            522 6096at5820           -            473   2.8e-20   71.3  24.7   1   1   3.6e-22   6.5e-20   70.1  24.7    79   447   118   501   102   504 0.77 | transcript=PVW1_100053900_t1 | gene=PVW1_100053900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2197809-2199741(-) | protein_length=522 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
