#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479025.1         -            170 12744at5820          -            161    3e-105  347.5   1.3   1   1  5.6e-108  3.4e-105  347.4   1.3     1   161     3   170     3   170 0.98 | transcript=PVW1_080023500_t1 | gene=PVW1_080023500 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBM6] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBM6] | location=CAJZCX010000009:842378-842890(+) | protein_length=170 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476724.1         -            193 12744at5820          -            161   7.7e-59  196.7   0.9   1   1   1.5e-61   8.9e-59  196.5   0.9     3   159    30   191    28   193 0.92 | transcript=PVW1_090020900_t1 | gene=PVW1_090020900 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCM3] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCM3] | location=CAJZCX010000007:744861-745956(-) | protein_length=193 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485056.1         -            262 12744at5820          -            161   2.6e-51  172.2   1.5   1   2        10   6.1e+03   -4.7   1.7    64    79     5    20     3    24 0.82 | transcript=PVW1_010020100_t1 | gene=PVW1_010020100 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GR33] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GR33] | location=CAJZCX010000016:675590-676378(-) | protein_length=262 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485056.1         -            262 12744at5820          -            161   2.6e-51  172.2   1.5   2   2   4.4e-54   2.6e-51  172.2   1.5     4   161    95   262    92   262 0.89 | transcript=PVW1_010020100_t1 | gene=PVW1_010020100 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GR33] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GR33] | location=CAJZCX010000016:675590-676378(-) | protein_length=262 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475318.1         -            226 12744at5820          -            161   1.2e-45  153.7   0.5   1   1   2.5e-48   1.5e-45  153.5   0.5     3   160     7   173     5   174 0.89 | transcript=PVW1_130008300_t1 | gene=PVW1_130008300 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2Q1] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2Q1] | location=CAJZCX010000006:165412-167102(-) | protein_length=226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475000.1         -            737 12744at5820          -            161   2.4e-37  126.8   0.3   1   1     9e-40   5.4e-37  125.7   0.3    15   144   594   715   585   723 0.88 | transcript=PVW1_100047800_t1 | gene=PVW1_100047800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1940934-1943147(-) | protein_length=737 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474779.1         -            203 12744at5820          -            161   3.7e-36  123.0   0.2   1   1     1e-38   6.2e-36  122.2   0.2    11   143    53   177    45   189 0.91 | transcript=PVW1_100029100_t1 | gene=PVW1_100029100 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR7] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR7] | location=CAJZCX010000005:1152373-1152984(+) | protein_length=203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476731.1         -            167 12744at5820          -            161   1.3e-33  114.6   0.5   1   1   3.5e-36   2.1e-33  114.0   0.5    11   146     8   136     2   149 0.91 | transcript=PVW1_090021500_t1 | gene=PVW1_090021500 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCW7] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCW7] | location=CAJZCX010000007:766653-768255(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472222.1         -            276 12744at5820          -            161   1.1e-32  111.6   0.7   1   1   2.5e-35   1.5e-32  111.2   0.7     1   159    61   222    61   224 0.92 | transcript=PVW1_140040200_t1 | gene=PVW1_140040200 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4X8] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4X8] | location=CAJZCX010000003:1518402-1519232(+) | protein_length=276 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485095.1         -            590 12744at5820          -            161   6.7e-13   47.3   0.5   1   1   9.7e-14   5.9e-11   41.0   0.5    11   144    17   174     6   195 0.69 | transcript=PVW1_010021600_t1 | gene=PVW1_010021600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:751842-753614(-) | protein_length=590 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475874.1         -            456 12744at5820          -            161   7.8e-13   47.1   0.2   1   1   2.3e-15   1.4e-12   46.3   0.2    16   134    25   137    14   150 0.87 | transcript=PVW1_130032300_t1 | gene=PVW1_130032300 | organism=Plasmodium_vivax_PvW1 | gene_product=PPIase cyclophilin-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV6] | transcript_product=PPIase cyclophilin-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV6] | location=CAJZCX010000006:1206431-1208900(-) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
