#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476892.1         -            547 5094at5820           -            473         0 1057.4   8.8   1   2   1.9e-07     9e-05   19.7   0.7     1    20     1    20     1    24 0.92 | transcript=PVW1_090028600_t1 | gene=PVW1_090028600 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCS3] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCS3] | location=CAJZCX010000007:1083295-1085201(+) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476892.1         -            547 5094at5820           -            473         0 1057.4   8.8   2   2         0         0 1041.9   2.1    22   472    96   546    79   547 0.99 | transcript=PVW1_090028600_t1 | gene=PVW1_090028600 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCS3] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCS3] | location=CAJZCX010000007:1083295-1085201(+) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477696.1         -            443 5094at5820           -            473   2.7e-91  305.0   0.9   1   1   7.7e-94   3.6e-91  304.6   0.9    35   469     5   425     2   430 0.94 | transcript=PVW1_110020300_t1 | gene=PVW1_110020300 | organism=Plasmodium_vivax_PvW1 | gene_product=Elongation factor 1-alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF35] | transcript_product=Elongation factor 1-alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF35] | location=CAJZCX010000008:659037-660368(-) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477697.1         -            443 5094at5820           -            473   2.7e-91  305.0   0.9   1   1   7.7e-94   3.6e-91  304.6   0.9    35   469     5   425     2   430 0.94 | transcript=PVW1_110020400_t1 | gene=PVW1_110020400 | organism=Plasmodium_vivax_PvW1 | gene_product=Elongation factor 1-alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF35] | transcript_product=Elongation factor 1-alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF35] | location=CAJZCX010000008:661781-663112(+) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473400.1         -            456 5094at5820           -            473   5.3e-23   79.8   3.8   1   2   2.6e-22   1.2e-19   68.7   3.0    34   358    69   359    50   373 0.79 | transcript=PVW1_120038400_t1 | gene=PVW1_120038400 | organism=Plasmodium_vivax_PvW1 | gene_product=Elongation factor Tu [Source:UniProtKB/TrEMBL;Acc:A0A1G4H193] | transcript_product=Elongation factor Tu [Source:UniProtKB/TrEMBL;Acc:A0A1G4H193] | location=CAJZCX010000004:1393019-1394389(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473400.1         -            456 5094at5820           -            473   5.3e-23   79.8   3.8   2   2      0.32   1.5e+02   -0.8   0.0   452   469   436   453   411   455 0.84 | transcript=PVW1_120038400_t1 | gene=PVW1_120038400 | organism=Plasmodium_vivax_PvW1 | gene_product=Elongation factor Tu [Source:UniProtKB/TrEMBL;Acc:A0A1G4H193] | transcript_product=Elongation factor Tu [Source:UniProtKB/TrEMBL;Acc:A0A1G4H193] | location=CAJZCX010000004:1393019-1394389(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471672.1         -            409 5094at5820           -            473   1.2e-19   68.8  16.2   1   2   1.7e-21   8.1e-19   66.0  13.4    32   397     7   347     2   365 0.80 | transcript=PVW1_000030400_t1 | gene=PVW1_000030400 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:H7CDI8] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:H7CDI8] | location=CAJZCX010000001:766-1995(-) | protein_length=409 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471672.1         -            409 5094at5820           -            473   1.2e-19   68.8  16.2   2   2       1.6   7.7e+02   -3.2   0.0   452   469   388   405   376   407 0.79 | transcript=PVW1_000030400_t1 | gene=PVW1_000030400 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:H7CDI8] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:H7CDI8] | location=CAJZCX010000001:766-1995(-) | protein_length=409 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480731.1         -            845 5094at5820           -            473   8.1e-18   62.7   0.1   1   2   1.3e-13   6.1e-11   40.0   0.0    36   103   128   190   102   203 0.86 | transcript=PVW1_070036400_t1 | gene=PVW1_070036400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1351915-1354452(-) | protein_length=845 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480731.1         -            845 5094at5820           -            473   8.1e-18   62.7   0.1   2   2   1.6e-07   7.5e-05   20.0   0.0   115   210   267   356   259   383 0.84 | transcript=PVW1_070036400_t1 | gene=PVW1_070036400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1351915-1354452(-) | protein_length=845 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474934.1         -           1380 5094at5820           -            473   4.7e-07   27.2   1.5   1   3       2.7   1.3e+03   -3.9   0.0   199   222   389   412   376   413 0.77 | transcript=PVW1_100041600_t1 | gene=PVW1_100041600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1690403-1694545(+) | protein_length=1380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
