#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9474765.1         -            284 10406at5820          -            229  1.4e-140  464.9  25.4   1   1  2.3e-142    2e-139  461.0  25.4     1   229    27   282    27   282 0.96 | transcript=PVW1_100028000_t1 | gene=PVW1_100028000 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR0] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR0] | location=CAJZCX010000005:1109632-1110967(+) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478148.1         -            403 10406at5820          -            229    0.0022   16.0   0.5   1   2      0.92     8e+02   -2.2   2.0   142   185   154   192   115   224 0.55 | transcript=PVW1_110047700_t1 | gene=PVW1_110047700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1801318-1802715(+) | protein_length=403 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478148.1         -            403 10406at5820          -            229    0.0022   16.0   0.5   2   2   2.5e-06    0.0022   16.0   0.5   195   227   360   392   331   394 0.71 | transcript=PVW1_110047700_t1 | gene=PVW1_110047700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1801318-1802715(+) | protein_length=403 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479179.1         -           1201 10406at5820          -            229    0.0043   15.0   1.9   1   1   9.6e-06    0.0083   14.1   1.9   188   226  1159  1197  1136  1200 0.76 | transcript=PVW1_080031100_t1 | gene=PVW1_080031100 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK5] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK5] | location=CAJZCX010000009:1193301-1196906(+) | protein_length=1201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479092.1         -            108 10406at5820          -            229    0.0074   14.3   3.8   1   1   1.6e-05     0.014   13.4   3.8   185   222    61    96    16   100 0.77 | transcript=PVW1_080026600_t1 | gene=PVW1_080026600 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBV0] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBV0] | location=CAJZCX010000009:976476-976802(+) | protein_length=108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477857.1         -             89 10406at5820          -            229      0.03   12.3   5.4   1   1   1.7e-05     0.015   13.3   3.6   197   226    50    80    30    82 0.83 | transcript=PVW1_110030600_t1 | gene=PVW1_110030600 | organism=Plasmodium_vivax_PvW1 | gene_product=Anaphase-promoting complex subunit 11 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZW0] | transcript_product=Anaphase-promoting complex subunit 11 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZW0] | location=CAJZCX010000008:1124830-1125099(-) | protein_length=89 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473364.1         -            456 10406at5820          -            229      0.29    9.1   5.2   1   1   0.00066      0.58    8.1   5.2   199   226    20    49     4    52 0.73 | transcript=PVW1_120035100_t1 | gene=PVW1_120035100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1294873-1296243(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485107.1         -            909 10406at5820          -            229      0.46    8.4   6.8   1   3     0.022        19    3.1   1.1   136   192   422   479   417   502 0.71 | transcript=PVW1_010022200_t1 | gene=PVW1_010022200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:773211-776219(-) | protein_length=909 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485107.1         -            909 10406at5820          -            229      0.46    8.4   6.8   2   3      0.21   1.8e+02   -0.1   0.1    89   122   742   775   733   796 0.82 | transcript=PVW1_010022200_t1 | gene=PVW1_010022200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:773211-776219(-) | protein_length=909 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485107.1         -            909 10406at5820          -            229      0.46    8.4   6.8   3   3    0.0019       1.6    6.6   0.0   138   168   834   864   819   894 0.85 | transcript=PVW1_010022200_t1 | gene=PVW1_010022200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:773211-776219(-) | protein_length=909 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10406at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10406at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10406at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:00 2026
# [ok]
