#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477208.1         -            735 6007at5820           -            530  8.6e-236  782.0  14.4   1   3   1.2e-32     1e-29  102.0   0.2     6    75    22    92    17   110 0.90 | transcript=PVW1_090047200_t1 | gene=PVW1_090047200 | organism=Plasmodium_vivax_PvW1 | gene_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY27] | transcript_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY27] | location=CAJZCX010000007:1893179-1895386(+) | protein_length=735 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477208.1         -            735 6007at5820           -            530  8.6e-236  782.0  14.4   2   3   4.1e-93   3.6e-90  301.5  11.4    85   227   191   333   165   353 0.92 | transcript=PVW1_090047200_t1 | gene=PVW1_090047200 | organism=Plasmodium_vivax_PvW1 | gene_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY27] | transcript_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY27] | location=CAJZCX010000007:1893179-1895386(+) | protein_length=735 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477208.1         -            735 6007at5820           -            530  8.6e-236  782.0  14.4   3   3  3.3e-116  2.9e-113  377.7   0.0   236   529   387   730   359   731 0.86 | transcript=PVW1_090047200_t1 | gene=PVW1_090047200 | organism=Plasmodium_vivax_PvW1 | gene_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY27] | transcript_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY27] | location=CAJZCX010000007:1893179-1895386(+) | protein_length=735 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472336.1         -           1239 6007at5820           -            530   1.7e-06   25.3  13.7   1   5      0.23     2e+02   -1.2   0.2   478   514   127   165    97   175 0.62 | transcript=PVW1_140051000_t1 | gene=PVW1_140051000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1997257-2000976(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472336.1         -           1239 6007at5820           -            530   1.7e-06   25.3  13.7   2   5       1.1   9.9e+02   -3.6   0.1   301   331   299   329   288   331 0.81 | transcript=PVW1_140051000_t1 | gene=PVW1_140051000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1997257-2000976(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472336.1         -           1239 6007at5820           -            530   1.7e-06   25.3  13.7   3   5   7.7e-06    0.0067   13.5   3.9   111   218   408   514   407   525 0.89 | transcript=PVW1_140051000_t1 | gene=PVW1_140051000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1997257-2000976(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472336.1         -           1239 6007at5820           -            530   1.7e-06   25.3  13.7   4   5   8.8e-07   0.00077   16.6   0.0   180   371   521   713   508   739 0.73 | transcript=PVW1_140051000_t1 | gene=PVW1_140051000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1997257-2000976(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472336.1         -           1239 6007at5820           -            530   1.7e-06   25.3  13.7   5   5      0.29   2.5e+02   -1.6   0.0    14    48  1170  1204  1161  1210 0.84 | transcript=PVW1_140051000_t1 | gene=PVW1_140051000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1997257-2000976(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472284.1         -            836 6007at5820           -            530   5.6e-06   23.6  22.6   1   5   6.5e-09   5.6e-06   23.6  22.6   114   371   120   385   115   391 0.83 | transcript=PVW1_140046000_t1 | gene=PVW1_140046000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1760581-1763091(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472284.1         -            836 6007at5820           -            530   5.6e-06   23.6  22.6   2   5   0.00056      0.48    7.4   1.1   168   218   373   424   372   428 0.84 | transcript=PVW1_140046000_t1 | gene=PVW1_140046000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1760581-1763091(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472284.1         -            836 6007at5820           -            530   5.6e-06   23.6  22.6   3   5    0.0022       1.9    5.4   6.6   148   215   390   457   384   470 0.85 | transcript=PVW1_140046000_t1 | gene=PVW1_140046000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1760581-1763091(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
