#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479943.1         -            950 8720at5820           -            583  4.3e-225  747.1 240.9   1   5  3.9e-209  4.7e-206  684.3  70.2     2   369     4   395     3   407 0.92 | transcript=PVW1_050032200_t1 | gene=PVW1_050032200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1136114-1139591(-) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479943.1         -            950 8720at5820           -            583  4.3e-225  747.1 240.9   2   5   5.5e-21   6.6e-18   63.0  59.9   371   548   451   614   407   616 0.56 | transcript=PVW1_050032200_t1 | gene=PVW1_050032200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1136114-1139591(-) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479943.1         -            950 8720at5820           -            583  4.3e-225  747.1 240.9   3   5    0.0058       7.1    3.5  61.5   416   543   590   709   585   716 0.36 | transcript=PVW1_050032200_t1 | gene=PVW1_050032200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1136114-1139591(-) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479943.1         -            950 8720at5820           -            583  4.3e-225  747.1 240.9   4   5    0.0046       5.6    3.8  55.0   403   550   681   821   679   874 0.50 | transcript=PVW1_050032200_t1 | gene=PVW1_050032200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1136114-1139591(-) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479943.1         -            950 8720at5820           -            583  4.3e-225  747.1 240.9   5   5      0.52   6.3e+02   -2.9   3.0   414   476   861   926   851   949 0.43 | transcript=PVW1_050032200_t1 | gene=PVW1_050032200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1136114-1139591(-) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471785.1         -            374 8720at5820           -            583   0.00035   17.7  29.4   1   2   2.8e-07   0.00035   17.7  29.4   432   562    67   194     5   214 0.70 | transcript=PVW1_140008400_t1 | gene=PVW1_140008400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:161318-162779(+) | protein_length=374 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471785.1         -            374 8720at5820           -            583   0.00035   17.7  29.4   2   2     0.087   1.1e+02   -0.4   0.3   397   438   277   315   239   368 0.62 | transcript=PVW1_140008400_t1 | gene=PVW1_140008400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:161318-162779(+) | protein_length=374 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476958.1         -            310 8720at5820           -            583    0.0011   16.1  40.9   1   2   8.8e-07    0.0011   16.1  40.9   434   580    62   209    29   217 0.42 | transcript=PVW1_090031800_t1 | gene=PVW1_090031800 | organism=Plasmodium_vivax_PvW1 | gene_product=Large ribosomal subunit processing factor, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ1] | transcript_product=Large ribosomal subunit processing factor, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ1] | location=CAJZCX010000007:1198889-1200227(+) | protein_length=310 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476958.1         -            310 8720at5820           -            583    0.0011   16.1  40.9   2   2      0.21   2.6e+02   -1.6   0.6   240   260   263   284   231   301 0.48 | transcript=PVW1_090031800_t1 | gene=PVW1_090031800 | organism=Plasmodium_vivax_PvW1 | gene_product=Large ribosomal subunit processing factor, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ1] | transcript_product=Large ribosomal subunit processing factor, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ1] | location=CAJZCX010000007:1198889-1200227(+) | protein_length=310 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479122.1         -             79 8720at5820           -            583      0.24    8.4   6.4   1   1   0.00022      0.26    8.2   6.4   507   554     9    55     2    71 0.34 | transcript=PVW1_080028300_t1 | gene=PVW1_080028300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1066657-1066896(+) | protein_length=79 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479937.1         -            363 8720at5820           -            583       0.3    8.0  21.5   1   1   0.00033       0.4    7.6  21.5   442   516   122   195    84   272 0.49 | transcript=PVW1_050031600_t1 | gene=PVW1_050031600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1100169-1101386(+) | protein_length=363 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8720at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8720at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8720at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:17 2026
# [ok]
