#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472553.1         -            390 8201at5820           -            316  9.5e-195  644.7  16.2   1   2  1.7e-192  2.6e-189  626.8  10.4     1   297     1   302     1   311 0.97 | transcript=PVW1_140071800_t1 | gene=PVW1_140071800 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5T0] | transcript_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5T0] | location=CAJZCX010000003:2849053-2850225(+) | protein_length=390 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472553.1         -            390 8201at5820           -            316  9.5e-195  644.7  16.2   2   2   2.7e-08   4.2e-05   21.6   0.3   285   316   359   390   337   390 0.83 | transcript=PVW1_140071800_t1 | gene=PVW1_140071800 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5T0] | transcript_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5T0] | location=CAJZCX010000003:2849053-2850225(+) | protein_length=390 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 8201at5820           -            316     2e-08   32.5   7.4   1   4      0.12   1.9e+02   -0.3   0.0   224   259    18    52     9    97 0.66 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 8201at5820           -            316     2e-08   32.5   7.4   2   4   0.00025      0.38    8.6   0.2   216   286    98   175    85   178 0.74 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 8201at5820           -            316     2e-08   32.5   7.4   3   4   3.1e-06    0.0048   14.8   0.6   198   273   170   250   168   261 0.75 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 8201at5820           -            316     2e-08   32.5   7.4   4   4   4.5e-05     0.068   11.1   0.0   211   258   438   485   419   525 0.78 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474926.1         -            316 8201at5820           -            316     0.045   11.7   1.8   1   2   3.3e-05     0.049   11.5   0.0   221   289     7    80     2    92 0.80 | transcript=PVW1_100040800_t1 | gene=PVW1_100040800 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/arginine-rich splicing factor 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE20] | transcript_product=Serine/arginine-rich splicing factor 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE20] | location=CAJZCX010000005:1653998-1655155(+) | protein_length=316 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474926.1         -            316 8201at5820           -            316     0.045   11.7   1.8   2   2      0.39     6e+02   -1.9   0.8   145   172   264   292   252   297 0.79 | transcript=PVW1_100040800_t1 | gene=PVW1_100040800 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/arginine-rich splicing factor 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE20] | transcript_product=Serine/arginine-rich splicing factor 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE20] | location=CAJZCX010000005:1653998-1655155(+) | protein_length=316 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480648.1         -           1239 8201at5820           -            316     0.064   11.1   1.2   1   2   0.00021      0.32    8.9   0.2   158   183     6    31     3    46 0.89 | transcript=PVW1_070032200_t1 | gene=PVW1_070032200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1191202-1195867(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480648.1         -           1239 8201at5820           -            316     0.064   11.1   1.2   2   2     0.086   1.3e+02    0.3   0.1   158   188    74   105    70   125 0.72 | transcript=PVW1_070032200_t1 | gene=PVW1_070032200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1191202-1195867(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
