#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480451.1         -            769 4573at5820           -            540    3e-246  816.5  39.0   1   2   7.5e-74   1.1e-70  237.0   1.5    48   215   220   394   209   403 0.93 | transcript=PVW1_070018000_t1 | gene=PVW1_070018000 | organism=Plasmodium_vivax_PvW1 | gene_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAE5] | transcript_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAE5] | location=CAJZCX010000011:641491-643800(-) | protein_length=769 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480451.1         -            769 4573at5820           -            540    3e-246  816.5  39.0   2   2  6.8e-178    1e-174  580.4  30.1   211   540   414   769   411   769 0.93 | transcript=PVW1_070018000_t1 | gene=PVW1_070018000 | organism=Plasmodium_vivax_PvW1 | gene_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAE5] | transcript_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAE5] | location=CAJZCX010000011:641491-643800(-) | protein_length=769 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477208.1         -            735 4573at5820           -            540      0.03   11.2  16.8   1   3   4.4e-05     0.067   10.1   2.2   431   506   205   280   201   287 0.90 | transcript=PVW1_090047200_t1 | gene=PVW1_090047200 | organism=Plasmodium_vivax_PvW1 | gene_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY27] | transcript_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY27] | location=CAJZCX010000007:1893179-1895386(+) | protein_length=735 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477208.1         -            735 4573at5820           -            540      0.03   11.2  16.8   2   3   3.7e-05     0.055   10.3   2.0   236   272   291   327   276   332 0.74 | transcript=PVW1_090047200_t1 | gene=PVW1_090047200 | organism=Plasmodium_vivax_PvW1 | gene_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY27] | transcript_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY27] | location=CAJZCX010000007:1893179-1895386(+) | protein_length=735 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477208.1         -            735 4573at5820           -            540      0.03   11.2  16.8   3   3      0.15   2.3e+02   -1.6   0.6   398   419   492   513   463   597 0.62 | transcript=PVW1_090047200_t1 | gene=PVW1_090047200 | organism=Plasmodium_vivax_PvW1 | gene_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY27] | transcript_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY27] | location=CAJZCX010000007:1893179-1895386(+) | protein_length=735 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480492.1         -            719 4573at5820           -            540     0.039   10.8   6.5   1   2   0.00011      0.16    8.8   1.4   428   497    60   133    44   145 0.81 | transcript=PVW1_070020300_t1 | gene=PVW1_070020300 | organism=Plasmodium_vivax_PvW1 | gene_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAG9] | transcript_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAG9] | location=CAJZCX010000011:719985-722144(-) | protein_length=719 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480492.1         -            719 4573at5820           -            540     0.039   10.8   6.5   2   2    0.0023       3.4    4.4   0.3   233   271   538   576   522   616 0.78 | transcript=PVW1_070020300_t1 | gene=PVW1_070020300 | organism=Plasmodium_vivax_PvW1 | gene_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAG9] | transcript_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAG9] | location=CAJZCX010000011:719985-722144(-) | protein_length=719 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472284.1         -            836 4573at5820           -            540     0.091    9.6  46.5   1   3   0.00012      0.18    8.7  17.5    19   266    43   297    27   306 0.71 | transcript=PVW1_140046000_t1 | gene=PVW1_140046000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1760581-1763091(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472284.1         -            836 4573at5820           -            540     0.091    9.6  46.5   2   3   1.6e-05     0.025   11.5  10.5   352   473   300   421   292   427 0.84 | transcript=PVW1_140046000_t1 | gene=PVW1_140046000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1760581-1763091(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472284.1         -            836 4573at5820           -            540     0.091    9.6  46.5   3   3     0.068     1e+02   -0.5   9.1   216   321   409   514   403   521 0.62 | transcript=PVW1_140046000_t1 | gene=PVW1_140046000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1760581-1763091(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4573at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4573at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4573at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:15 2026
# [ok]
