#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475139.1         -            720 3783at5820           -            543         0 1089.4  17.7   1   2   7.9e-27   1.3e-24   85.0   0.1    13    65   139   191   136   195 0.94 | transcript=PVW1_100053700_t1 | gene=PVW1_100053700 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ32] | transcript_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ32] | location=CAJZCX010000005:2192682-2194844(-) | protein_length=720 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475139.1         -            720 3783at5820           -            543         0 1089.4  17.7   2   2  7.1e-306  1.2e-303 1006.0  14.1    64   543   224   720   219   720 0.97 | transcript=PVW1_100053700_t1 | gene=PVW1_100053700 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ32] | transcript_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ32] | location=CAJZCX010000005:2192682-2194844(-) | protein_length=720 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475031.1         -           1444 3783at5820           -            543   1.8e-67  226.4   2.2   1   1   1.8e-69     3e-67  225.7   2.2    17   349   692  1032   685  1069 0.88 | transcript=PVW1_100049300_t1 | gene=PVW1_100049300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2015636-2019970(-) | protein_length=1444 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473603.1         -            398 3783at5820           -            543   2.1e-61  206.4   1.1   1   1   1.7e-63   2.8e-61  205.9   1.1    12   359    35   384    30   394 0.87 | transcript=PVW1_120052700_t1 | gene=PVW1_120052700 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH16] | transcript_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH16] | location=CAJZCX010000004:1971328-1972870(-) | protein_length=398 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479989.1         -            388 3783at5820           -            543   5.7e-61  204.9   2.1   1   1   4.5e-63   7.4e-61  204.6   2.1    12   363    27   378    25   386 0.88 | transcript=PVW1_050036400_t1 | gene=PVW1_050036400 | organism=Plasmodium_vivax_PvW1 | gene_product=Eukaryotic initiation factor 4A-III, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H998] | transcript_product=Eukaryotic initiation factor 4A-III, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H998] | location=CAJZCX010000010:1356986-1358152(+) | protein_length=388 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472342.1         -            717 3783at5820           -            543     1e-60  204.1   0.5   1   2   1.4e-08   2.3e-06   24.7   0.0    19    63   296   340   285   347 0.84 | transcript=PVW1_140051600_t1 | gene=PVW1_140051600 | organism=Plasmodium_vivax_PvW1 | gene_product=DNA helicase 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5D5] | transcript_product=DNA helicase 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5D5] | location=CAJZCX010000003:2018402-2020555(-) | protein_length=717 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472342.1         -            717 3783at5820           -            543     1e-60  204.1   0.5   2   2   8.7e-55   1.4e-52  177.2   0.5    67   343   404   678   397   685 0.95 | transcript=PVW1_140051600_t1 | gene=PVW1_140051600 | organism=Plasmodium_vivax_PvW1 | gene_product=DNA helicase 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5D5] | transcript_product=DNA helicase 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5D5] | location=CAJZCX010000003:2018402-2020555(-) | protein_length=717 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473936.1         -            528 3783at5820           -            543   1.7e-58  196.8   0.0   1   1   1.5e-60   2.5e-58  196.2   0.0    11   356   124   480   120   492 0.88 | transcript=PVW1_120076000_t1 | gene=PVW1_120076000 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DDX5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2H6] | transcript_product=ATP-dependent RNA helicase DDX5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2H6] | location=CAJZCX010000004:2982516-2985951(-) | protein_length=528 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474908.1         -           1009 3783at5820           -            543   2.4e-55  186.4   0.0   1   1   2.2e-56   3.7e-54  182.5   0.0    21   349   605   963   593   982 0.82 | transcript=PVW1_100039500_t1 | gene=PVW1_100039500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1606696-1609725(+) | protein_length=1009 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482364.1         -            542 3783at5820           -            543   9.8e-55  184.4   4.5   1   1   8.2e-57   1.3e-54  183.9   4.5    19   372   154   508   142   527 0.84 | transcript=PVW1_040012700_t1 | gene=PVW1_040012700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:371067-372695(+) | protein_length=542 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474786.1         -            667 3783at5820           -            543   6.2e-54  181.7   0.1   1   2       8.1   1.3e+03   -4.2   0.1   179   201   184   209   182   212 0.78 | transcript=PVW1_100029800_t1 | gene=PVW1_100029800 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DDX41, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDT1] | transcript_product=ATP-dependent RNA helicase DDX41, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDT1] | location=CAJZCX010000005:1177217-1179220(-) | protein_length=667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474786.1         -            667 3783at5820           -            543   6.2e-54  181.7   0.1   2   2   3.8e-56   6.2e-54  181.7   0.1    12   368   230   598   227   617 0.85 | transcript=PVW1_100029800_t1 | gene=PVW1_100029800 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DDX41, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDT1] | transcript_product=ATP-dependent RNA helicase DDX41, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDT1] | location=CAJZCX010000005:1177217-1179220(-) | protein_length=667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
