#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473632.1         -            878 2237at5820           -            757         0 1680.2   7.4   1   2    2e-211  6.8e-209  694.1   2.1     1   325     4   363     4   386 0.91 | transcript=PVW1_120055400_t1 | gene=PVW1_120055400 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH60] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH60] | location=CAJZCX010000004:2109751-2112515(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473632.1         -            878 2237at5820           -            757         0 1680.2   7.4   2   2  1.9e-300  6.3e-298  988.5   0.3   327   757   438   878   416   878 0.97 | transcript=PVW1_120055400_t1 | gene=PVW1_120055400 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH60] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH60] | location=CAJZCX010000004:2109751-2112515(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476126.1         -            304 2237at5820           -            757   9.2e-66  220.8   0.5   1   1   4.7e-67   1.6e-64  216.7   0.5   423   719    31   296    24   301 0.89 | transcript=PVW1_130040900_t1 | gene=PVW1_130040900 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ21] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ21] | location=CAJZCX010000006:1574831-1576985(-) | protein_length=304 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481269.1         -           2083 2237at5820           -            757   1.3e-53  180.6   0.2   1   2   6.1e-08   2.1e-05   21.2   0.0   420   478  1154  1212  1118  1220 0.84 | transcript=PVW1_060009700_t1 | gene=PVW1_060009700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:190330-196735(-) | protein_length=2083 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481269.1         -           2083 2237at5820           -            757   1.3e-53  180.6   0.2   2   2   5.5e-49   1.9e-46  157.0   0.1   482   709  1269  1530  1260  1549 0.76 | transcript=PVW1_060009700_t1 | gene=PVW1_060009700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:190330-196735(-) | protein_length=2083 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480625.1         -            516 2237at5820           -            757   3.6e-53  179.1   0.5   1   1   9.6e-55   3.2e-52  176.0   0.5   419   707   223   486   202   496 0.89 | transcript=PVW1_070030300_t1 | gene=PVW1_070030300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1107178-1108896(-) | protein_length=516 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480653.1         -            307 2237at5820           -            757   1.2e-50  170.8   1.2   1   1   3.5e-52   1.2e-49  167.5   1.2   419   706    18   274     7   280 0.89 | transcript=PVW1_070032700_t1 | gene=PVW1_070032700 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAY5] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAY5] | location=CAJZCX010000011:1210037-1210960(-) | protein_length=307 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479185.1         -            308 2237at5820           -            757   7.6e-50  168.2   0.5   1   1   1.3e-51   4.3e-49  165.7   0.5   424   710    25   281    18   296 0.91 | transcript=PVW1_080031400_t1 | gene=PVW1_080031400 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK8] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK8] | location=CAJZCX010000009:1205820-1206746(+) | protein_length=308 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485099.1         -            564 2237at5820           -            757     6e-47  158.6   0.3   1   1   9.6e-49   3.2e-46  156.2   0.3   431   707    64   324    55   338 0.84 | transcript=PVW1_010021800_t1 | gene=PVW1_010021800 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6K2] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6K2] | location=CAJZCX010000016:755455-757677(-) | protein_length=564 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477712.1         -            682 2237at5820           -            757   1.3e-42  144.3   0.3   1   1   1.1e-44   3.6e-42  142.8   0.3   424   707   390   650   367   665 0.84 | transcript=PVW1_110021900_t1 | gene=PVW1_110021900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZM6] | transcript_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZM6] | location=CAJZCX010000008:734450-736498(-) | protein_length=682 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475871.1         -           1000 2237at5820           -            757   7.7e-36  121.8   1.5   1   1   6.1e-38     2e-35  120.4   1.5   447   726   283   542   261   555 0.86 | transcript=PVW1_130032200_t1 | gene=PVW1_130032200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1199845-1205677(-) | protein_length=1000 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476952.1         -            566 2237at5820           -            757     3e-25   86.8   1.4   1   2   2.5e-11   8.5e-09   32.4   0.1   125   256   157   286   148   293 0.88 | transcript=PVW1_090031200_t1 | gene=PVW1_090031200 | organism=Plasmodium_vivax_PvW1 | gene_product=Kelch protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD05] | transcript_product=Kelch protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD05] | location=CAJZCX010000007:1176752-1179042(-) | protein_length=566 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476952.1         -            566 2237at5820           -            757     3e-25   86.8   1.4   2   2   1.1e-17   3.8e-15   53.4   0.1    10   156   301   456   295   475 0.78 | transcript=PVW1_090031200_t1 | gene=PVW1_090031200 | organism=Plasmodium_vivax_PvW1 | gene_product=Kelch protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD05] | transcript_product=Kelch protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD05] | location=CAJZCX010000007:1176752-1179042(-) | protein_length=566 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473696.1         -            647 2237at5820           -            757   1.2e-15   55.1   0.5   1   3   3.8e-12   1.3e-09   35.2   0.0    14   197    77   260    71   263 0.82 | transcript=PVW1_120061500_t1 | gene=PVW1_120061500 | organism=Plasmodium_vivax_PvW1 | gene_product=BTB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH99] | transcript_product=BTB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH99] | location=CAJZCX010000004:2378771-2380714(-) | protein_length=647 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473696.1         -            647 2237at5820           -            757   1.2e-15   55.1   0.5   2   3     0.018       6.1    3.1   0.0     8    69   228   284   220   314 0.62 | transcript=PVW1_120061500_t1 | gene=PVW1_120061500 | organism=Plasmodium_vivax_PvW1 | gene_product=BTB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH99] | transcript_product=BTB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH99] | location=CAJZCX010000004:2378771-2380714(-) | protein_length=647 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473696.1         -            647 2237at5820           -            757   1.2e-15   55.1   0.5   3   3   1.5e-06   0.00052   16.6   0.0    14   110   343   433   326   467 0.75 | transcript=PVW1_120061500_t1 | gene=PVW1_120061500 | organism=Plasmodium_vivax_PvW1 | gene_product=BTB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH99] | transcript_product=BTB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH99] | location=CAJZCX010000004:2378771-2380714(-) | protein_length=647 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475487.1         -           1411 2237at5820           -            757   6.8e-15   52.6   1.6   1   2     0.001      0.35    7.2   0.0    49   109   234   301   223   318 0.75 | transcript=PVW1_130016700_t1 | gene=PVW1_130016700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:535438-539673(-) | protein_length=1411 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475487.1         -           1411 2237at5820           -            757   6.8e-15   52.6   1.6   2   2   2.7e-14   9.3e-12   42.2   1.4   107   297   605   826   596   847 0.72 | transcript=PVW1_130016700_t1 | gene=PVW1_130016700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:535438-539673(-) | protein_length=1411 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
