#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472043.1         -             75 15338at5820          -             57   1.2e-33  113.5  16.9   1   2   2.9e-10   2.9e-07   29.0   2.0     1    19     2    20     2    26 0.92 | transcript=PVW1_140026700_t1 | gene=PVW1_140026700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:949180-949407(+) | protein_length=75 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472043.1         -             75 15338at5820          -             57   1.2e-33  113.5  16.9   2   2   1.5e-29   1.5e-26   90.7   7.5     8    57    26    75    19    75 0.89 | transcript=PVW1_140026700_t1 | gene=PVW1_140026700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:949180-949407(+) | protein_length=75 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480808.1         -            302 15338at5820          -             57    0.0023   16.5   4.4   1   2    0.0095       9.6    4.9   0.0    39    55    74    90    67    92 0.82 | transcript=PVW1_070039400_t1 | gene=PVW1_070039400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1440491-1441802(-) | protein_length=302 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480808.1         -            302 15338at5820          -             57    0.0023   16.5   4.4   2   2   8.7e-05     0.088   11.4   1.8    10    42   106   139    99   143 0.89 | transcript=PVW1_070039400_t1 | gene=PVW1_070039400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1440491-1441802(-) | protein_length=302 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473111.1         -            281 15338at5820          -             57    0.0073   14.9   2.0   1   1   1.9e-05     0.019   13.6   2.0     6    51   195   243   191   247 0.90 | transcript=PVW1_120016200_t1 | gene=PVW1_120016200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:525974-526948(-) | protein_length=281 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480120.1         -            305 15338at5820          -             57    0.0087   14.7   1.1   1   1   2.3e-05     0.024   13.3   1.1    22    50    65    93    51    96 0.84 | transcript=PVW1_050044700_t1 | gene=PVW1_050044700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1741400-1742586(-) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479559.1         -            328 15338at5820          -             57       2.3    6.9   9.2   1   2   0.00015      0.16   10.6   2.5    19    50    50    81    38    84 0.90 | transcript=PVW1_050005400_t1 | gene=PVW1_050005400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:26123-27230(+) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479559.1         -            328 15338at5820          -             57       2.3    6.9   9.2   2   2      0.74   7.4e+02   -1.1   0.6    32    43   294   305   292   307 0.66 | transcript=PVW1_050005400_t1 | gene=PVW1_050005400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:26123-27230(+) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485769.1         -            350 15338at5820          -             57       4.6    5.9  14.3   1   4   0.00019      0.19   10.4   3.0    10    48    45    82    39    85 0.83 | transcript=PVW1_000020100_t1 | gene=PVW1_000020100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000019:134473-135789(-) | protein_length=350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485769.1         -            350 15338at5820          -             57       4.6    5.9  14.3   2   4      0.96   9.7e+02   -1.5   0.8    27    32   114   119    99   143 0.69 | transcript=PVW1_000020100_t1 | gene=PVW1_000020100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000019:134473-135789(-) | protein_length=350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485769.1         -            350 15338at5820          -             57       4.6    5.9  14.3   3   4       2.1   2.1e+03   -2.6   0.2     5    20   121   139   117   151 0.51 | transcript=PVW1_000020100_t1 | gene=PVW1_000020100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000019:134473-135789(-) | protein_length=350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
