#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480606.1         -            202 11831at5820          -            156   3.2e-96  317.8   2.7   1   1   1.1e-98   5.7e-96  317.0   2.7     1   156    25   202    25   202 0.95 | transcript=PVW1_070028800_t1 | gene=PVW1_070028800 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAQ6] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAQ6] | location=CAJZCX010000011:1050271-1051729(-) | protein_length=202 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477660.1         -            513 11831at5820          -            156   7.2e-09   34.1   0.1   1   3   0.00097      0.49    8.6   0.0    54    96   104   146    90   158 0.88 | transcript=PVW1_110018000_t1 | gene=PVW1_110018000 | organism=Plasmodium_vivax_PvW1 | gene_product=CUGBP Elav-like family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF05] | transcript_product=CUGBP Elav-like family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF05] | location=CAJZCX010000008:563805-565527(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477660.1         -            513 11831at5820          -            156   7.2e-09   34.1   0.1   2   3   0.00058      0.29    9.3   0.0    53   106   202   252   182   285 0.81 | transcript=PVW1_110018000_t1 | gene=PVW1_110018000 | organism=Plasmodium_vivax_PvW1 | gene_product=CUGBP Elav-like family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF05] | transcript_product=CUGBP Elav-like family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF05] | location=CAJZCX010000008:563805-565527(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477660.1         -            513 11831at5820          -            156   7.2e-09   34.1   0.1   3   3   9.1e-05     0.046   12.0   0.0    57   115   391   450   384   474 0.85 | transcript=PVW1_110018000_t1 | gene=PVW1_110018000 | organism=Plasmodium_vivax_PvW1 | gene_product=CUGBP Elav-like family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF05] | transcript_product=CUGBP Elav-like family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF05] | location=CAJZCX010000008:563805-565527(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473529.1         -           1024 11831at5820          -            156   7.9e-09   33.9   0.0   1   2   3.8e-08   1.9e-05   22.9   0.0    57   114   652   710   617   724 0.89 | transcript=PVW1_120047500_t1 | gene=PVW1_120047500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1790777-1794006(-) | protein_length=1024 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473529.1         -           1024 11831at5820          -            156   7.9e-09   33.9   0.0   2   2    0.0013      0.68    8.1   0.0    54    98   751   795   743   815 0.82 | transcript=PVW1_120047500_t1 | gene=PVW1_120047500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1790777-1794006(-) | protein_length=1024 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477625.1         -            392 11831at5820          -            156   1.3e-06   26.8   1.4   1   3     0.019       9.6    4.4   0.1    49    99    29    74     6    94 0.69 | transcript=PVW1_110016500_t1 | gene=PVW1_110016500 | organism=Plasmodium_vivax_PvW1 | gene_product=Poly(A)-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV7] | transcript_product=Poly(A)-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV7] | location=CAJZCX010000008:475180-477837(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477625.1         -            392 11831at5820          -            156   1.3e-06   26.8   1.4   2   3   0.00029      0.15   10.3   0.0    59   110   139   191    89   206 0.67 | transcript=PVW1_110016500_t1 | gene=PVW1_110016500 | organism=Plasmodium_vivax_PvW1 | gene_product=Poly(A)-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV7] | transcript_product=Poly(A)-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV7] | location=CAJZCX010000008:475180-477837(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477625.1         -            392 11831at5820          -            156   1.3e-06   26.8   1.4   3   3   0.00056      0.29    9.4   0.0    54   112   225   283   220   291 0.77 | transcript=PVW1_110016500_t1 | gene=PVW1_110016500 | organism=Plasmodium_vivax_PvW1 | gene_product=Poly(A)-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV7] | transcript_product=Poly(A)-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV7] | location=CAJZCX010000008:475180-477837(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480575.1         -            475 11831at5820          -            156   1.6e-05   23.2   2.2   1   2     0.013       6.5    5.0   0.1    70    90   126   146    89   179 0.77 | transcript=PVW1_070025800_t1 | gene=PVW1_070025800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:933774-935396(+) | protein_length=475 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480575.1         -            475 11831at5820          -            156   1.6e-05   23.2   2.2   2   2   1.6e-06    0.0008   17.7   0.3    36   111   293   379   269   396 0.77 | transcript=PVW1_070025800_t1 | gene=PVW1_070025800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:933774-935396(+) | protein_length=475 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
