#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477680.1         -            135 14437at5820          -            112     8e-54  179.1  14.0   1   2   5.3e-56   5.4e-53  176.4  10.2     1   107     5   115     5   119 0.93 | transcript=PVW1_110019000_t1 | gene=PVW1_110019000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:611185-612075(-) | protein_length=135 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477680.1         -            135 14437at5820          -            112     8e-54  179.1  14.0   2   2     0.012        12    4.6   0.1   101   112   124   135   121   135 0.86 | transcript=PVW1_110019000_t1 | gene=PVW1_110019000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:611185-612075(-) | protein_length=135 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480905.1         -            267 14437at5820          -            112      0.17   10.5  13.0   1   3       0.4     4e+02   -0.3   1.0    59    86    10    26     1    35 0.40 | transcript=PVW1_070045100_t1 | gene=PVW1_070045100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1680583-1681508(+) | protein_length=267 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480905.1         -            267 14437at5820          -            112      0.17   10.5  13.0   2   3    0.0004       0.4    9.3   0.1    38    91   133   186    98   194 0.80 | transcript=PVW1_070045100_t1 | gene=PVW1_070045100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1680583-1681508(+) | protein_length=267 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480905.1         -            267 14437at5820          -            112      0.17   10.5  13.0   3   3     0.001         1    8.0   1.4    73   109   210   245   198   247 0.77 | transcript=PVW1_070045100_t1 | gene=PVW1_070045100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1680583-1681508(+) | protein_length=267 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477426.1         -            876 14437at5820          -            112       0.3    9.8   4.8   1   1   0.00053      0.54    8.9   4.8    29   101   763   836   747   844 0.70 | transcript=PVW1_110006700_t1 | gene=PVW1_110006700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:88911-91710(+) | protein_length=876 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471909.1         -            144 14437at5820          -            112      0.34    9.6   9.7   1   1   0.00082      0.83    8.3   9.7    18   103    55   139    38   143 0.61 | transcript=PVW1_140017400_t1 | gene=PVW1_140017400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:576408-577033(+) | protein_length=144 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479395.1         -            260 14437at5820          -            112      0.48    9.1  17.1   1   3     0.059        60    2.3   0.9    59    76     5    22     2    27 0.83 | transcript=PVW1_080046900_t1 | gene=PVW1_080046900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1828253-1829157(+) | protein_length=260 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479395.1         -            260 14437at5820          -            112      0.48    9.1  17.1   2   3      0.06        61    2.3   0.1    54    77   146   169   129   182 0.83 | transcript=PVW1_080046900_t1 | gene=PVW1_080046900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1828253-1829157(+) | protein_length=260 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479395.1         -            260 14437at5820          -            112      0.48    9.1  17.1   3   3   0.00011      0.12   11.1   5.1    62   109   194   240   180   242 0.81 | transcript=PVW1_080046900_t1 | gene=PVW1_080046900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1828253-1829157(+) | protein_length=260 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485528.1         -            266 14437at5820          -            112       4.2    6.1  11.7   1   3      0.69     7e+02   -1.1   1.0    87   104     6    24     2    30 0.61 | transcript=PVW1_000023700_t1 | gene=PVW1_000023700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000018:17124-18040(+) | protein_length=266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
