#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477220.1         -            584 6639at5820           -            446  7.2e-218  722.4  26.3   1   3     4e-70   4.8e-67  225.3   8.9     1   138    23   169    23   182 0.92 | transcript=PVW1_090047900_t1 | gene=PVW1_090047900 | organism=Plasmodium_vivax_PvW1 | gene_product=Methyltransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVC3] | transcript_product=Methyltransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVC3] | location=CAJZCX010000007:1924664-1926418(-) | protein_length=584 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477220.1         -            584 6639at5820           -            446  7.2e-218  722.4  26.3   2   3   1.6e-27   1.9e-24   84.8   0.0   139   190   206   257   199   263 0.95 | transcript=PVW1_090047900_t1 | gene=PVW1_090047900 | organism=Plasmodium_vivax_PvW1 | gene_product=Methyltransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVC3] | transcript_product=Methyltransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVC3] | location=CAJZCX010000007:1924664-1926418(-) | protein_length=584 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477220.1         -            584 6639at5820           -            446  7.2e-218  722.4  26.3   3   3    5e-129  6.1e-126  419.4   6.4   188   446   293   583   288   583 0.93 | transcript=PVW1_090047900_t1 | gene=PVW1_090047900 | organism=Plasmodium_vivax_PvW1 | gene_product=Methyltransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVC3] | transcript_product=Methyltransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVC3] | location=CAJZCX010000007:1924664-1926418(-) | protein_length=584 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478831.1         -            188 6639at5820           -            446   2.4e-06   25.2   1.8   1   2   5.7e-09     7e-06   23.7   1.0     9    89    46   125    41   141 0.86 | transcript=PVW1_080015900_t1 | gene=PVW1_080015900 | organism=Plasmodium_vivax_PvW1 | gene_product=Ankyrin-repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBH4] | transcript_product=Ankyrin-repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBH4] | location=CAJZCX010000009:520383-522129(+) | protein_length=188 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478831.1         -            188 6639at5820           -            446   2.4e-06   25.2   1.8   2   2      0.03        36    1.5   0.1    22    61   125   163   120   179 0.67 | transcript=PVW1_080015900_t1 | gene=PVW1_080015900 | organism=Plasmodium_vivax_PvW1 | gene_product=Ankyrin-repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBH4] | transcript_product=Ankyrin-repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBH4] | location=CAJZCX010000009:520383-522129(+) | protein_length=188 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479697.1         -            185 6639at5820           -            446   0.00045   17.7   7.9   1   2   4.6e-07   0.00056   17.4   4.5     3    80    14    90    12    98 0.79 | transcript=PVW1_050014100_t1 | gene=PVW1_050014100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:439620-441063(-) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479697.1         -            185 6639at5820           -            446   0.00045   17.7   7.9   2   2     0.037        45    1.2   0.1    24    51   101   128    95   144 0.81 | transcript=PVW1_050014100_t1 | gene=PVW1_050014100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:439620-441063(-) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481387.1         -           1875 6639at5820           -            446   0.00046   17.7   5.1   1   2   0.00033       0.4    8.0   0.7    12    91  1032  1109  1022  1117 0.81 | transcript=PVW1_060013400_t1 | gene=PVW1_060013400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:366202-371829(-) | protein_length=1875 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481387.1         -           1875 6639at5820           -            446   0.00046   17.7   5.1   2   2   3.5e-05     0.042   11.2   0.3    17    66  1145  1194  1133  1207 0.76 | transcript=PVW1_060013400_t1 | gene=PVW1_060013400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:366202-371829(-) | protein_length=1875 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473512.1         -            641 6639at5820           -            446   0.00079   16.9   0.0   1   3   6.5e-07   0.00079   16.9   0.0    16    86    26    96    13   100 0.83 | transcript=PVW1_120046600_t1 | gene=PVW1_120046600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1734366-1737130(-) | protein_length=641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473512.1         -            641 6639at5820           -            446   0.00079   16.9   0.0   2   3     0.088   1.1e+02   -0.0   0.2    33    97   142   207   139   243 0.68 | transcript=PVW1_120046600_t1 | gene=PVW1_120046600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1734366-1737130(-) | protein_length=641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
