#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475453.1         -            182 12413at5820          -            142   2.5e-89  295.0   7.3   1   1   2.4e-92   2.9e-89  294.8   7.3     1   142    35   177    35   177 0.98 | transcript=PVW1_130013400_t1 | gene=PVW1_130013400 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ4] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ4] | location=CAJZCX010000006:384893-385916(+) | protein_length=182 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479082.1         -            299 12413at5820          -            142   6.6e-05   21.4   0.0   1   2   5.4e-08   6.6e-05   21.4   0.0    46   125    34   111     5   122 0.86 | transcript=PVW1_080026100_t1 | gene=PVW1_080026100 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK1] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK1] | location=CAJZCX010000009:962142-963476(-) | protein_length=299 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479082.1         -            299 12413at5820          -            142   6.6e-05   21.4   0.0   2   2      0.97   1.2e+03   -2.1   0.7    13    46   235   268   225   285 0.72 | transcript=PVW1_080026100_t1 | gene=PVW1_080026100 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK1] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK1] | location=CAJZCX010000009:962142-963476(-) | protein_length=299 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473529.1         -           1024 12413at5820          -            142   0.00039   18.9   0.2   1   2   4.9e-05     0.059   11.8   0.1    27   137   612   722   592   724 0.82 | transcript=PVW1_120047500_t1 | gene=PVW1_120047500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1790777-1794006(-) | protein_length=1024 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473529.1         -           1024 12413at5820          -            142   0.00039   18.9   0.2   2   2    0.0085        10    4.5   0.0    79   121   764   806   746   823 0.79 | transcript=PVW1_120047500_t1 | gene=PVW1_120047500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1790777-1794006(-) | protein_length=1024 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 12413at5820          -            142    0.0038   15.7   3.7   1   3      0.14   1.7e+02    0.6   0.0    59   115    27    83    12    93 0.68 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 12413at5820          -            142    0.0038   15.7   3.7   2   3   9.5e-06     0.012   14.1   0.3    45   129   101   182    86   195 0.86 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 12413at5820          -            142    0.0038   15.7   3.7   3   3      0.45   5.5e+02   -1.1   0.0    44    74   446   475   430   512 0.70 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475964.1         -            471 12413at5820          -            142    0.0079   14.6   2.9   1   2      0.15   1.8e+02    0.5   0.0    49    99    21    69    16    78 0.76 | transcript=PVW1_130035400_t1 | gene=PVW1_130035400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1310034-1311703(+) | protein_length=471 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475964.1         -            471 12413at5820          -            142    0.0079   14.6   2.9   2   2   1.5e-05     0.018   13.4   0.8    38   131    98   187    83   195 0.80 | transcript=PVW1_130035400_t1 | gene=PVW1_130035400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1310034-1311703(+) | protein_length=471 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
