#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473232.1         -            817 2337at5820           -            732         0 1514.2  15.2   1   1         0         0 1511.5  15.2     1   732     1   813     1   813 0.95 | transcript=PVW1_120026800_t1 | gene=PVW1_120026800 | organism=Plasmodium_vivax_PvW1 | gene_product=Myosin motor domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0V5] | transcript_product=Myosin motor domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0V5] | location=CAJZCX010000004:1007664-1010405(-) | protein_length=817 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475146.1         -            800 2337at5820           -            732    2e-124  414.9  32.7   1   1  6.8e-127  8.3e-124  412.8  32.7    22   720    16   769     8   776 0.85 | transcript=PVW1_100054400_t1 | gene=PVW1_100054400 | organism=Plasmodium_vivax_PvW1 | gene_product=Myosin motor domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ42] | transcript_product=Myosin motor domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ42] | location=CAJZCX010000005:2216695-2220462(+) | protein_length=800 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473418.1         -           1986 2337at5820           -            732   3.5e-90  301.6   1.7   1   2   1.9e-43   2.3e-40  136.9   0.0    89   285    69   278    61   300 0.84 | transcript=PVW1_120039900_t1 | gene=PVW1_120039900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1451999-1458495(+) | protein_length=1986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473418.1         -           1986 2337at5820           -            732   3.5e-90  301.6   1.7   2   2   2.1e-51   2.6e-48  163.2   0.7   301   668   376   770   354   777 0.83 | transcript=PVW1_120039900_t1 | gene=PVW1_120039900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1451999-1458495(+) | protein_length=1986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477186.1         -           1716 2337at5820           -            732   2.1e-55  186.7  15.5   1   5   2.8e-16   3.4e-13   47.1   0.0    94   195   109   220    97   235 0.84 | transcript=PVW1_090045700_t1 | gene=PVW1_090045700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1809963-1815586(+) | protein_length=1716 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477186.1         -           1716 2337at5820           -            732   2.1e-55  186.7  15.5   2   5   8.3e-22     1e-18   65.4   0.0   186   282   322   418   315   440 0.89 | transcript=PVW1_090045700_t1 | gene=PVW1_090045700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1809963-1815586(+) | protein_length=1716 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477186.1         -           1716 2337at5820           -            732   2.1e-55  186.7  15.5   3   5      0.47   5.7e+02   -3.2   0.0   395   423   656   684   643   686 0.81 | transcript=PVW1_090045700_t1 | gene=PVW1_090045700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1809963-1815586(+) | protein_length=1716 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477186.1         -           1716 2337at5820           -            732   2.1e-55  186.7  15.5   4   5   2.9e-16   3.5e-13   47.1   3.9   417   569   735   910   731   936 0.74 | transcript=PVW1_090045700_t1 | gene=PVW1_090045700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1809963-1815586(+) | protein_length=1716 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477186.1         -           1716 2337at5820           -            732   2.1e-55  186.7  15.5   5   5   1.1e-11   1.3e-08   31.9   0.3   584   669  1022  1107  1013  1122 0.92 | transcript=PVW1_090045700_t1 | gene=PVW1_090045700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1809963-1815586(+) | protein_length=1716 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478017.1         -           1986 2337at5820           -            732   5.2e-41  139.1  12.5   1   6   7.6e-19   9.2e-16   55.6   0.0    89   201    79   193    62   211 0.89 | transcript=PVW1_110041000_t1 | gene=PVW1_110041000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1525827-1531787(+) | protein_length=1986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478017.1         -           1986 2337at5820           -            732   5.2e-41  139.1  12.5   2   6   6.4e-12   7.8e-09   32.7   0.1   207   267   284   344   251   349 0.85 | transcript=PVW1_110041000_t1 | gene=PVW1_110041000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1525827-1531787(+) | protein_length=1986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478017.1         -           1986 2337at5820           -            732   5.2e-41  139.1  12.5   3   6      0.69   8.3e+02   -3.8   0.3   270   294   385   408   383   419 0.69 | transcript=PVW1_110041000_t1 | gene=PVW1_110041000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1525827-1531787(+) | protein_length=1986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478017.1         -           1986 2337at5820           -            732   5.2e-41  139.1  12.5   4   6     0.021        26    1.2   0.0   301   341   544   588   537   598 0.79 | transcript=PVW1_110041000_t1 | gene=PVW1_110041000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1525827-1531787(+) | protein_length=1986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
