#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9483296.1         -            414 6709at5820           -            364  2.4e-196  650.2   8.3   1   1  4.1e-199  3.1e-196  649.8   8.3     1   364    11   414    11   414 0.94 | transcript=PVW1_030016300_t1 | gene=PVW1_030016300 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7F3] | transcript_product=Actin-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7F3] | location=CAJZCX010000014:538244-540393(-) | protein_length=414 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476183.1         -            376 6709at5820           -            364   1.4e-14   52.1   0.0   1   1   2.9e-17   2.2e-14   51.5   0.0    60   351    72   364    34   373 0.76 | transcript=PVW1_130042800_t1 | gene=PVW1_130042800 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin II [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIX5] | transcript_product=Actin II [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIX5] | location=CAJZCX010000006:1651760-1653040(-) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472533.1         -            376 6709at5820           -            364     5e-14   50.3   0.0   1   1   8.9e-17   6.8e-14   49.9   0.0   136   350   154   363    71   373 0.76 | transcript=PVW1_140069700_t1 | gene=PVW1_140069700 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin II [Source:UniProtKB/TrEMBL;Acc:A0A1G4E843] | transcript_product=Actin II [Source:UniProtKB/TrEMBL;Acc:A0A1G4E843] | location=CAJZCX010000003:2784965-2786095(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480404.1         -            586 6709at5820           -            364   1.4e-13   48.9   0.2   1   2      0.52   3.9e+02   -2.0   0.0   229   245   375   391   342   402 0.70 | transcript=PVW1_070015700_t1 | gene=PVW1_070015700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:558186-559946(+) | protein_length=586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480404.1         -            586 6709at5820           -            364   1.4e-13   48.9   0.2   2   2   5.9e-16   4.5e-13   47.2   0.1   259   352   471   569   465   581 0.82 | transcript=PVW1_070015700_t1 | gene=PVW1_070015700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:558186-559946(+) | protein_length=586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476662.1         -            378 6709at5820           -            364   1.1e-12   45.9   0.0   1   1   1.8e-15   1.4e-12   45.6   0.0    74   359    78   370    54   375 0.78 | transcript=PVW1_090016000_t1 | gene=PVW1_090016000 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GX79] | transcript_product=Actin-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GX79] | location=CAJZCX010000007:567283-569129(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484136.1         -            379 6709at5820           -            364   1.2e-11   42.5   0.3   1   1   2.1e-14   1.6e-11   42.1   0.3    60   350    78   366    11   376 0.74 | transcript=PVW1_020018500_t1 | gene=PVW1_020018500 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin-related protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRF7] | transcript_product=Actin-related protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRF7] | location=CAJZCX010000015:593144-595815(+) | protein_length=379 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483452.1         -            854 6709at5820           -            364   7.2e-07   26.8   2.2   1   2   5.9e-05     0.045   11.0   0.4   111   204   428   533   398   541 0.79 | transcript=PVW1_030022200_t1 | gene=PVW1_030022200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:778907-781471(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483452.1         -            854 6709at5820           -            364   7.2e-07   26.8   2.2   2   2   3.4e-06    0.0026   15.1   0.1   257   306   756   805   726   850 0.80 | transcript=PVW1_030022200_t1 | gene=PVW1_030022200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:778907-781471(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475888.1         -            493 6709at5820           -            364   6.3e-06   23.7   0.0   1   1   1.7e-08   1.3e-05   22.7   0.0   255   351   383   481   377   489 0.74 | transcript=PVW1_130032700_t1 | gene=PVW1_130032700 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIW8] | transcript_product=Actin-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIW8] | location=CAJZCX010000006:1223664-1225145(+) | protein_length=493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
