#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9478154.1         -            996 4120at5820           -            764         0 1496.4 127.0   1   5   3.7e-10   1.5e-07   28.3   4.5     1    34     1    35     1    40 0.90 | transcript=PVW1_110047900_t1 | gene=PVW1_110047900 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFV2] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFV2] | location=CAJZCX010000008:1808367-1811357(-) | protein_length=996 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478154.1         -            996 4120at5820           -            764         0 1496.4 127.0   2   5   4.8e-08     2e-05   21.3   7.8    22    55    58    91    49   102 0.83 | transcript=PVW1_110047900_t1 | gene=PVW1_110047900 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFV2] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFV2] | location=CAJZCX010000008:1808367-1811357(-) | protein_length=996 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478154.1         -            996 4120at5820           -            764         0 1496.4 127.0   3   5   1.5e-53     6e-51  171.8  52.2    31   171   124   267   106   273 0.84 | transcript=PVW1_110047900_t1 | gene=PVW1_110047900 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFV2] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFV2] | location=CAJZCX010000008:1808367-1811357(-) | protein_length=996 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478154.1         -            996 4120at5820           -            764         0 1496.4 127.0   4   5    0.0003      0.12    8.8   1.2   164   187   305   330   302   336 0.79 | transcript=PVW1_110047900_t1 | gene=PVW1_110047900 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFV2] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFV2] | location=CAJZCX010000008:1808367-1811357(-) | protein_length=996 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478154.1         -            996 4120at5820           -            764         0 1496.4 127.0   5   5         0         0 1294.9  25.1   186   764   408   996   379   996 0.98 | transcript=PVW1_110047900_t1 | gene=PVW1_110047900 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFV2] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFV2] | location=CAJZCX010000008:1808367-1811357(-) | protein_length=996 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479673.1         -           1162 4120at5820           -            764   3.5e-27   93.3   2.7   1   1     2e-29   8.2e-27   92.0   2.7   160   317   560   707   532   711 0.84 | transcript=PVW1_050012200_t1 | gene=PVW1_050012200 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8L7] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8L7] | location=CAJZCX010000010:349555-353043(-) | protein_length=1162 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474934.1         -           1380 4120at5820           -            764   3.8e-16   56.7   1.2   1   2   9.4e-19   3.8e-16   56.7   1.2   185   316   772   889   767   894 0.91 | transcript=PVW1_100041600_t1 | gene=PVW1_100041600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1690403-1694545(+) | protein_length=1380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474934.1         -           1380 4120at5820           -            764   3.8e-16   56.7   1.2   2   2      0.49     2e+02   -1.9   2.2   561   704  1217  1359  1170  1365 0.60 | transcript=PVW1_100041600_t1 | gene=PVW1_100041600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1690403-1694545(+) | protein_length=1380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471938.1         -           1071 4120at5820           -            764   2.7e-15   53.9   5.2   1   4   1.4e-16   5.7e-14   49.5   0.3   184   319   200   317   194   355 0.86 | transcript=PVW1_140019600_t1 | gene=PVW1_140019600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:646499-649714(+) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471938.1         -           1071 4120at5820           -            764   2.7e-15   53.9   5.2   2   4      0.14        55    0.0  12.6    27   110   602   685   586   695 0.61 | transcript=PVW1_140019600_t1 | gene=PVW1_140019600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:646499-649714(+) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471938.1         -           1071 4120at5820           -            764   2.7e-15   53.9   5.2   3   4       8.4   3.4e+03   -5.9   7.2    79   120   862   906   827   929 0.67 | transcript=PVW1_140019600_t1 | gene=PVW1_140019600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:646499-649714(+) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
