#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473232.1         -            817 890at5820            -           1531   1.5e-62  209.8  17.6   1   2   7.2e-21   8.7e-18   61.4   0.0    98   208   101   208    83   217 0.87 | transcript=PVW1_120026800_t1 | gene=PVW1_120026800 | organism=Plasmodium_vivax_PvW1 | gene_product=Myosin motor domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0V5] | transcript_product=Myosin motor domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0V5] | location=CAJZCX010000004:1007664-1010405(-) | protein_length=817 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473232.1         -            817 890at5820            -           1531   1.5e-62  209.8  17.6   2   2   5.1e-44   6.1e-41  138.2  16.9   260   847   226   759   210   775 0.79 | transcript=PVW1_120026800_t1 | gene=PVW1_120026800 | organism=Plasmodium_vivax_PvW1 | gene_product=Myosin motor domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0V5] | transcript_product=Myosin motor domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0V5] | location=CAJZCX010000004:1007664-1010405(-) | protein_length=817 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473418.1         -           1986 890at5820            -           1531   4.6e-61  204.9  12.2   1   3   1.2e-21   1.5e-18   64.0   0.0    98   208    73   176    14   179 0.82 | transcript=PVW1_120039900_t1 | gene=PVW1_120039900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1451999-1458495(+) | protein_length=1986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473418.1         -           1986 890at5820            -           1531   4.6e-61  204.9  12.2   2   3   1.5e-14   1.8e-11   40.5   0.1   261   339   196   274   181   282 0.85 | transcript=PVW1_120039900_t1 | gene=PVW1_120039900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1451999-1458495(+) | protein_length=1986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473418.1         -           1986 890at5820            -           1531   4.6e-61  204.9  12.2   3   3   3.9e-31   4.7e-28   95.5   6.0   370   813   373   775   358   779 0.79 | transcript=PVW1_120039900_t1 | gene=PVW1_120039900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1451999-1458495(+) | protein_length=1986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477186.1         -           1716 890at5820            -           1531   4.3e-55  185.1  67.4   1   3   8.4e-30     1e-26   91.0  13.0    13   338    21   416     5   448 0.77 | transcript=PVW1_090045700_t1 | gene=PVW1_090045700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1809963-1815586(+) | protein_length=1716 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477186.1         -           1716 890at5820            -           1531   4.3e-55  185.1  67.4   2   3   3.2e-35   3.9e-32  109.0  35.2   512   944   744  1266   737  1334 0.79 | transcript=PVW1_090045700_t1 | gene=PVW1_090045700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1809963-1815586(+) | protein_length=1716 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477186.1         -           1716 890at5820            -           1531   4.3e-55  185.1  67.4   3   3      0.38   4.6e+02   -3.9   3.4   613   653  1595  1636  1574  1689 0.71 | transcript=PVW1_090045700_t1 | gene=PVW1_090045700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1809963-1815586(+) | protein_length=1716 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475146.1         -            800 890at5820            -           1531   1.2e-54  183.7  72.9   1   2   5.5e-17   6.7e-14   48.6   6.9    74   208    71   194     4   203 0.77 | transcript=PVW1_100054400_t1 | gene=PVW1_100054400 | organism=Plasmodium_vivax_PvW1 | gene_product=Myosin motor domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ42] | transcript_product=Myosin motor domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ42] | location=CAJZCX010000005:2216695-2220462(+) | protein_length=800 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475146.1         -            800 890at5820            -           1531   1.2e-54  183.7  72.9   2   2   1.4e-42   1.7e-39  133.4  58.4   255   874   204   765   195   799 0.78 | transcript=PVW1_100054400_t1 | gene=PVW1_100054400 | organism=Plasmodium_vivax_PvW1 | gene_product=Myosin motor domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ42] | transcript_product=Myosin motor domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ42] | location=CAJZCX010000005:2216695-2220462(+) | protein_length=800 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478017.1         -           1986 890at5820            -           1531   1.6e-22   77.1  21.7   1   4   1.3e-18   1.5e-15   54.0   3.9    87   285    72   314    40   330 0.83 | transcript=PVW1_110041000_t1 | gene=PVW1_110041000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1525827-1531787(+) | protein_length=1986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478017.1         -           1986 890at5820            -           1531   1.6e-22   77.1  21.7   2   4    0.0029       3.5    3.1   0.0   328   364   385   420   379   437 0.87 | transcript=PVW1_110041000_t1 | gene=PVW1_110041000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1525827-1531787(+) | protein_length=1986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478017.1         -           1986 890at5820            -           1531   1.6e-22   77.1  21.7   3   4   0.00049       0.6    5.6   0.0   373   445   543   615   526   625 0.77 | transcript=PVW1_110041000_t1 | gene=PVW1_110041000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1525827-1531787(+) | protein_length=1986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478017.1         -           1986 890at5820            -           1531   1.6e-22   77.1  21.7   4   4   2.2e-08   2.6e-05   20.1   5.9   425   763   629   963   610   986 0.68 | transcript=PVW1_110041000_t1 | gene=PVW1_110041000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1525827-1531787(+) | protein_length=1986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/890at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/890at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/890at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:05 2026
# [ok]
