#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477286.1         -           1423 999at5820            -            930         0 1916.5 127.3   1   4   7.9e-90   2.8e-87  292.2  26.0     1   178    13   195    13   205 0.96 | transcript=PVW1_090053100_t1 | gene=PVW1_090053100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZWU9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZWU9] | location=CAJZCX010000007:2139612-2143883(-) | protein_length=1423 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477286.1         -           1423 999at5820            -            930         0 1916.5 127.3   2   4       0.3   1.1e+02   -1.0   0.0   170   186   231   247   226   259 0.82 | transcript=PVW1_090053100_t1 | gene=PVW1_090053100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZWU9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZWU9] | location=CAJZCX010000007:2139612-2143883(-) | protein_length=1423 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477286.1         -           1423 999at5820            -            930         0 1916.5 127.3   3   4  9.2e-174  3.3e-171  570.0  50.2   183   481   445   751   431   777 0.96 | transcript=PVW1_090053100_t1 | gene=PVW1_090053100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZWU9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZWU9] | location=CAJZCX010000007:2139612-2143883(-) | protein_length=1423 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477286.1         -           1423 999at5820            -            930         0 1916.5 127.3   4   4         0         0 1067.9  32.4   477   930   970  1423   877  1423 0.97 | transcript=PVW1_090053100_t1 | gene=PVW1_090053100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZWU9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZWU9] | location=CAJZCX010000007:2139612-2143883(-) | protein_length=1423 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474809.1         -            288 999at5820            -            930   2.5e-20   70.6   0.6   1   1   8.2e-23   2.9e-20   70.4   0.6   657   867    15   216    10   263 0.83 | transcript=PVW1_100032000_t1 | gene=PVW1_100032000 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYI6] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYI6] | location=CAJZCX010000005:1262528-1264777(-) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477698.1         -            288 999at5820            -            930   1.3e-17   61.7   0.2   1   1   4.6e-20   1.7e-17   61.3   0.2   706   858    50   196    15   202 0.88 | transcript=PVW1_110020500_t1 | gene=PVW1_110020500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZL0] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZL0] | location=CAJZCX010000008:664005-665737(+) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472354.1         -            982 999at5820            -            930   2.3e-16   57.5   3.5   1   1   1.4e-17     5e-15   53.1   3.5   705   924    61   298    12   302 0.71 | transcript=PVW1_140052800_t1 | gene=PVW1_140052800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2070140-2073307(+) | protein_length=982 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479945.1         -            612 999at5820            -            930   8.2e-16   55.7   6.0   1   2   2.3e-18   8.2e-16   55.7   6.0   653   860   266   467   261   487 0.84 | transcript=PVW1_050032400_t1 | gene=PVW1_050032400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1143440-1145278(-) | protein_length=612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479945.1         -            612 999at5820            -            930   8.2e-16   55.7   6.0   2   2     0.029        10    2.4   0.3   874   927   514   572   493   575 0.72 | transcript=PVW1_050032400_t1 | gene=PVW1_050032400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1143440-1145278(-) | protein_length=612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482791.1         -           2121 999at5820            -            930   1.9e-13   47.9   3.1   1   2   5.2e-16   1.9e-13   47.9   3.1   715   873  1752  1907  1730  1921 0.79 | transcript=PVW1_040028500_t1 | gene=PVW1_040028500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:973804-980169(+) | protein_length=2121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482791.1         -           2121 999at5820            -            930   1.9e-13   47.9   3.1   2   2         8   2.9e+03   -5.7   1.7   347   378  1972  2003  1968  2006 0.81 | transcript=PVW1_040028500_t1 | gene=PVW1_040028500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:973804-980169(+) | protein_length=2121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
