#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9483208.1         -            756 6055at5820           -            595  1.6e-226  751.8  57.9   1   2     8e-12   2.3e-09   34.7   0.0     1    94     1   147     1   150 0.77 | transcript=PVW1_030012400_t1 | gene=PVW1_030012400 | organism=Plasmodium_vivax_PvW1 | gene_product=Sushi domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7C0] | transcript_product=Sushi domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7C0] | location=CAJZCX010000014:390237-392999(-) | protein_length=756 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483208.1         -            756 6055at5820           -            595  1.6e-226  751.8  57.9   2   2  4.8e-215  1.4e-212  705.8  55.1    85   594   154   750   151   751 0.85 | transcript=PVW1_030012400_t1 | gene=PVW1_030012400 | organism=Plasmodium_vivax_PvW1 | gene_product=Sushi domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7C0] | transcript_product=Sushi domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7C0] | location=CAJZCX010000014:390237-392999(-) | protein_length=756 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476510.1         -            345 6055at5820           -            595   0.00036   17.5   5.4   1   2   1.2e-06   0.00036   17.5   5.4   287   350   111   171    73   214 0.47 | transcript=PVW1_090007200_t1 | gene=PVW1_090007200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:144387-145547(+) | protein_length=345 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476510.1         -            345 6055at5820           -            595   0.00036   17.5   5.4   2   2       1.9   5.5e+02   -2.9   0.9   347   368   308   329   303   337 0.50 | transcript=PVW1_090007200_t1 | gene=PVW1_090007200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:144387-145547(+) | protein_length=345 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475019.1         -            143 6055at5820           -            595     0.024   11.5  20.3   1   1   8.9e-05     0.026   11.4  20.3   271   359    41   128     3   137 0.48 | transcript=PVW1_100048700_t1 | gene=PVW1_100048700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1989656-1990346(+) | protein_length=143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478211.1         -            709 6055at5820           -            595     0.062   10.1   4.5   1   1   0.00047      0.14    9.0   4.5   285   331   291   331   271   349 0.48 | transcript=PVW1_110050500_t1 | gene=PVW1_110050500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1923296-1925425(-) | protein_length=709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481813.1         -            441 6055at5820           -            595      0.16    8.8  30.1   1   1   0.00092      0.27    8.1  30.1   258   388   245   384   224   417 0.38 | transcript=PVW1_060027000_t1 | gene=PVW1_060027000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:895199-896524(+) | protein_length=441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476556.1         -            630 6055at5820           -            595      0.17    8.7  43.4   1   2   7.9e-05     0.023   11.6  13.4   286   377   206   289   196   352 0.50 | transcript=PVW1_090010500_t1 | gene=PVW1_090010500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:327394-329286(+) | protein_length=630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476556.1         -            630 6055at5820           -            595      0.17    8.7  43.4   2   2     0.034       9.9    2.9  22.0   285   373   385   469   380   497 0.42 | transcript=PVW1_090010500_t1 | gene=PVW1_090010500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:327394-329286(+) | protein_length=630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474786.1         -            667 6055at5820           -            595      0.26    8.1  22.3   1   1    0.0017       0.5    7.1  22.3   307   410    49   157    29   187 0.39 | transcript=PVW1_100029800_t1 | gene=PVW1_100029800 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DDX41, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDT1] | transcript_product=ATP-dependent RNA helicase DDX41, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDT1] | location=CAJZCX010000005:1177217-1179220(-) | protein_length=667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483112.1         -            380 6055at5820           -            595      0.55    7.0  13.2   1   1    0.0025      0.73    6.6  13.2   285   391   119   225   105   274 0.59 | transcript=PVW1_030007800_t1 | gene=PVW1_030007800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:152324-153605(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480002.1         -            294 6055at5820           -            595      0.57    7.0  19.4   1   1    0.0027      0.79    6.5  19.4   307   416    50   165    37   203 0.28 | transcript=PVW1_050037400_t1 | gene=PVW1_050037400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1385547-1386567(-) | protein_length=294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472562.1         -            400 6055at5820           -            595       1.1    6.1  35.2   1   2    0.0049       1.4    5.7   7.6   272   360    49   135     1   187 0.51 | transcript=PVW1_140072700_t1 | gene=PVW1_140072700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2885109-2886834(+) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472562.1         -            400 6055at5820           -            595       1.1    6.1  35.2   2   2    0.0024       0.7    6.7  19.5   279   366   233   319   209   356 0.49 | transcript=PVW1_140072700_t1 | gene=PVW1_140072700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2885109-2886834(+) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478828.1         -            381 6055at5820           -            595       1.1    6.0  36.4   1   1     0.007         2    5.1  36.4   297   426    95   222    74   253 0.58 | transcript=PVW1_080015800_t1 | gene=PVW1_080015800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:517891-519976(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472401.1         -            166 6055at5820           -            595       1.4    5.7  14.3   1   1    0.0055       1.6    5.5  14.3   278   412    10   143     1   160 0.49 | transcript=PVW1_140057600_t1 | gene=PVW1_140057600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2289023-2289523(+) | protein_length=166 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484892.1         -            283 6055at5820           -            595       1.7    5.4  28.1   1   1    0.0075       2.2    5.1  28.1   284   416    84   221    40   271 0.48 | transcript=PVW1_010015200_t1 | gene=PVW1_010015200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:496374-497225(-) | protein_length=283 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484718.1         -            162 6055at5820           -            595       2.2    5.0  11.6   1   1    0.0084       2.4    4.9  11.6   303   359     5    63     1   112 0.40 | transcript=PVW1_010010600_t1 | gene=PVW1_010010600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:310754-311451(+) | protein_length=162 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479937.1         -            363 6055at5820           -            595       2.7    4.8  23.2   1   1     0.015       4.4    4.0  23.2   307   427   132   251    87   288 0.41 | transcript=PVW1_050031600_t1 | gene=PVW1_050031600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1100169-1101386(+) | protein_length=363 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471785.1         -            374 6055at5820           -            595       3.1    4.5  25.2   1   1      0.02       5.8    3.6  25.2   296   440    82   230    34   250 0.45 | transcript=PVW1_140008400_t1 | gene=PVW1_140008400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:161318-162779(+) | protein_length=374 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471845.1         -            539 6055at5820           -            595       4.3    4.1  32.8   1   1     0.025       7.3    3.3  32.8   285   388   154   261    99   274 0.43 | transcript=PVW1_140013000_t1 | gene=PVW1_140013000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:387137-389119(-) | protein_length=539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473319.1         -            139 6055at5820           -            595       4.9    3.9  33.9   1   1     0.019       5.6    3.7  33.9   299   361    75   136    54   139 0.52 | transcript=PVW1_120032500_t1 | gene=PVW1_120032500 | organism=Plasmodium_vivax_PvW1 | gene_product=Parasitophorous vacuolar protein 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGH3] | transcript_product=Parasitophorous vacuolar protein 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGH3] | location=CAJZCX010000004:1219087-1219506(+) | protein_length=139 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480655.1         -             99 6055at5820           -            595       5.3    3.8  19.4   1   1     0.021       6.1    3.6  19.4   286   352     9    76     2    89 0.43 | transcript=PVW1_070032900_t1 | gene=PVW1_070032900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1214216-1214722(+) | protein_length=99 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476281.1         -            132 6055at5820           -            595       5.5    3.7  20.6   1   1      0.02       5.8    3.6  20.6   304   378    16    85     1   113 0.33 | transcript=PVW1_130051200_t1 | gene=PVW1_130051200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:2036889-2037422(-) | protein_length=132 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473397.1         -            103 6055at5820           -            595       9.1    3.0   9.5   1   1     0.039        11    2.7   9.5   313   359     9    53     2    68 0.27 | transcript=PVW1_120038100_t1 | gene=PVW1_120038100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1383920-1384231(+) | protein_length=103 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6055at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6055at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6055at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:54 2026
# [ok]
