#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473512.1         -            641 4787at5820           -            540  9.4e-268  887.5  16.8   1   3  3.5e-162  1.1e-159  530.9   0.0     1   314    16   352    16   356 0.96 | transcript=PVW1_120046600_t1 | gene=PVW1_120046600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1734366-1737130(-) | protein_length=641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473512.1         -            641 4787at5820           -            540  9.4e-268  887.5  16.8   2   3   3.8e-65   1.2e-62  210.6  10.6   311   438   374   503   364   509 0.94 | transcript=PVW1_120046600_t1 | gene=PVW1_120046600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1734366-1737130(-) | protein_length=641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473512.1         -            641 4787at5820           -            540  9.4e-268  887.5  16.8   3   3   4.8e-46   1.5e-43  147.6   0.3   434   540   520   636   513   636 0.93 | transcript=PVW1_120046600_t1 | gene=PVW1_120046600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1734366-1737130(-) | protein_length=641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482795.1         -            287 4787at5820           -            540   6.1e-15   53.1  18.1   1   2   2.4e-16   7.4e-14   49.6  10.3   356   442    86   172    76   188 0.87 | transcript=PVW1_040028700_t1 | gene=PVW1_040028700 | organism=Plasmodium_vivax_PvW1 | gene_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GT03] | transcript_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GT03] | location=CAJZCX010000013:989072-991252(-) | protein_length=287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482795.1         -            287 4787at5820           -            540   6.1e-15   53.1  18.1   2   2   0.00077      0.23    8.3   0.9   434   473   210   250   190   255 0.81 | transcript=PVW1_040028700_t1 | gene=PVW1_040028700 | organism=Plasmodium_vivax_PvW1 | gene_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GT03] | transcript_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GT03] | location=CAJZCX010000013:989072-991252(-) | protein_length=287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479343.1         -            611 4787at5820           -            540   3.4e-13   47.4  40.4   1   3    0.0011      0.34    7.8   2.2    31   121    48   144    18   148 0.70 | transcript=PVW1_080042500_t1 | gene=PVW1_080042500 | organism=Plasmodium_vivax_PvW1 | gene_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC65] | transcript_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC65] | location=CAJZCX010000009:1603314-1606083(-) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479343.1         -            611 4787at5820           -            540   3.4e-13   47.4  40.4   2   3   1.5e-05    0.0045   14.0   2.9    48   138   141   236   127   264 0.52 | transcript=PVW1_080042500_t1 | gene=PVW1_080042500 | organism=Plasmodium_vivax_PvW1 | gene_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC65] | transcript_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC65] | location=CAJZCX010000009:1603314-1606083(-) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479343.1         -            611 4787at5820           -            540   3.4e-13   47.4  40.4   3   3   2.9e-12   8.7e-10   36.1  19.7   353   472   413   552   382   597 0.72 | transcript=PVW1_080042500_t1 | gene=PVW1_080042500 | organism=Plasmodium_vivax_PvW1 | gene_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC65] | transcript_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC65] | location=CAJZCX010000009:1603314-1606083(-) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472079.1         -            297 4787at5820           -            540   8.5e-12   42.8  15.3   1   1   2.8e-14   8.5e-12   42.8  15.3   372   488   128   249   114   279 0.69 | transcript=PVW1_140028500_t1 | gene=PVW1_140028500 | organism=Plasmodium_vivax_PvW1 | gene_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK58] | transcript_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK58] | location=CAJZCX010000003:1029256-1031881(+) | protein_length=297 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478831.1         -            188 4787at5820           -            540   4.8e-11   40.3   0.9   1   2   3.4e-13     1e-10   39.2   0.5    16    97    57   138    44   146 0.91 | transcript=PVW1_080015900_t1 | gene=PVW1_080015900 | organism=Plasmodium_vivax_PvW1 | gene_product=Ankyrin-repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBH4] | transcript_product=Ankyrin-repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBH4] | location=CAJZCX010000009:520383-522129(+) | protein_length=188 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478831.1         -            188 4787at5820           -            540   4.8e-11   40.3   0.9   2   2    0.0047       1.4    5.7   0.2    13    58   120   165   115   172 0.81 | transcript=PVW1_080015900_t1 | gene=PVW1_080015900 | organism=Plasmodium_vivax_PvW1 | gene_product=Ankyrin-repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBH4] | transcript_product=Ankyrin-repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBH4] | location=CAJZCX010000009:520383-522129(+) | protein_length=188 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
