#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9474933.1         -           1342 1318at5820           -            924         0 1742.9  71.4   1   6  4.8e-115  7.4e-112  373.3   5.6     1   223     9   247     9   256 0.94 | transcript=PVW1_100041500_t1 | gene=PVW1_100041500 | organism=Plasmodium_vivax_PvW1 | gene_product=USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE39] | transcript_product=USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE39] | location=CAJZCX010000005:1682785-1687330(-) | protein_length=1342 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474933.1         -           1342 1318at5820           -            924         0 1742.9  71.4   2   6  3.5e-181  5.3e-178  592.2   3.9   220   484   314   579   306   588 0.98 | transcript=PVW1_100041500_t1 | gene=PVW1_100041500 | organism=Plasmodium_vivax_PvW1 | gene_product=USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE39] | transcript_product=USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE39] | location=CAJZCX010000005:1682785-1687330(-) | protein_length=1342 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474933.1         -           1342 1318at5820           -            924         0 1742.9  71.4   3   6   4.2e-55   6.4e-52  174.9  16.7   482   612   610   774   607   776 0.86 | transcript=PVW1_100041500_t1 | gene=PVW1_100041500 | organism=Plasmodium_vivax_PvW1 | gene_product=USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE39] | transcript_product=USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE39] | location=CAJZCX010000005:1682785-1687330(-) | protein_length=1342 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474933.1         -           1342 1318at5820           -            924         0 1742.9  71.4   4   6      0.05        76   -0.7   0.1   602   621   803   823   790   828 0.73 | transcript=PVW1_100041500_t1 | gene=PVW1_100041500 | organism=Plasmodium_vivax_PvW1 | gene_product=USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE39] | transcript_product=USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE39] | location=CAJZCX010000005:1682785-1687330(-) | protein_length=1342 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474933.1         -           1342 1318at5820           -            924         0 1742.9  71.4   5   6   3.9e-21   5.9e-18   62.5   0.1   588   668   901   988   896   989 0.84 | transcript=PVW1_100041500_t1 | gene=PVW1_100041500 | organism=Plasmodium_vivax_PvW1 | gene_product=USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE39] | transcript_product=USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE39] | location=CAJZCX010000005:1682785-1687330(-) | protein_length=1342 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474933.1         -           1342 1318at5820           -            924         0 1742.9  71.4   6   6  5.5e-172  8.4e-169  561.8  13.3   667   924  1081  1342  1075  1342 0.98 | transcript=PVW1_100041500_t1 | gene=PVW1_100041500 | organism=Plasmodium_vivax_PvW1 | gene_product=USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE39] | transcript_product=USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE39] | location=CAJZCX010000005:1682785-1687330(-) | protein_length=1342 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479872.1         -            884 1318at5820           -            924   7.5e-08   29.1  23.4   1   4      0.97   1.5e+03   -5.0   1.9   176   252   122   203    94   217 0.58 | transcript=PVW1_050025600_t1 | gene=PVW1_050025600 | organism=Plasmodium_vivax_PvW1 | gene_product=Ubiquitinyl hydrolase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8Z4] | transcript_product=Ubiquitinyl hydrolase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8Z4] | location=CAJZCX010000010:856826-860003(-) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479872.1         -            884 1318at5820           -            924   7.5e-08   29.1  23.4   2   4   1.5e-06    0.0022   14.3   1.9   229   296   331   398   313   499 0.80 | transcript=PVW1_050025600_t1 | gene=PVW1_050025600 | organism=Plasmodium_vivax_PvW1 | gene_product=Ubiquitinyl hydrolase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8Z4] | transcript_product=Ubiquitinyl hydrolase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8Z4] | location=CAJZCX010000010:856826-860003(-) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479872.1         -            884 1318at5820           -            924   7.5e-08   29.1  23.4   3   4   1.8e-05     0.028   10.7   0.1   740   814   597   664   543   670 0.89 | transcript=PVW1_050025600_t1 | gene=PVW1_050025600 | organism=Plasmodium_vivax_PvW1 | gene_product=Ubiquitinyl hydrolase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8Z4] | transcript_product=Ubiquitinyl hydrolase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8Z4] | location=CAJZCX010000010:856826-860003(-) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479872.1         -            884 1318at5820           -            924   7.5e-08   29.1  23.4   4   4     3e-07   0.00046   16.6   0.9   837   892   827   882   818   884 0.83 | transcript=PVW1_050025600_t1 | gene=PVW1_050025600 | organism=Plasmodium_vivax_PvW1 | gene_product=Ubiquitinyl hydrolase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8Z4] | transcript_product=Ubiquitinyl hydrolase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8Z4] | location=CAJZCX010000010:856826-860003(-) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476117.1         -           1207 1318at5820           -            924   1.6e-06   24.7  19.4   1   4     0.042        64   -0.4   0.1   231   263   625   656   595   661 0.77 | transcript=PVW1_130040600_t1 | gene=PVW1_130040600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1555256-1558879(+) | protein_length=1207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
