#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472141.1         -           1070 2482at5820           -            609         0 1160.3  52.5   1   4   1.9e-23   5.4e-21   73.0   3.0     1    69     1    70     1    76 0.95 | transcript=PVW1_140032300_t1 | gene=PVW1_140032300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK52] | transcript_product=AAA family ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK52] | location=CAJZCX010000003:1173694-1176906(+) | protein_length=1070 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472141.1         -           1070 2482at5820           -            609         0 1160.3  52.5   2   4  1.4e-126  3.9e-124  413.6   8.7    50   286   187   422   153   429 0.91 | transcript=PVW1_140032300_t1 | gene=PVW1_140032300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK52] | transcript_product=AAA family ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK52] | location=CAJZCX010000003:1173694-1176906(+) | protein_length=1070 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472141.1         -           1070 2482at5820           -            609         0 1160.3  52.5   3   4  4.8e-180  1.4e-177  590.2   8.6   286   549   542   805   537   812 0.99 | transcript=PVW1_140032300_t1 | gene=PVW1_140032300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK52] | transcript_product=AAA family ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK52] | location=CAJZCX010000003:1173694-1176906(+) | protein_length=1070 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472141.1         -           1070 2482at5820           -            609         0 1160.3  52.5   4   4   3.1e-32   8.9e-30  102.0   8.4   542   609  1003  1070   995  1070 0.96 | transcript=PVW1_140032300_t1 | gene=PVW1_140032300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK52] | transcript_product=AAA family ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK52] | location=CAJZCX010000003:1173694-1176906(+) | protein_length=1070 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484907.1         -           1089 2482at5820           -            609  1.2e-141  471.4   7.6   1   2   5.9e-63   1.7e-60  203.4   0.9   313   539   472   697   461   710 0.92 | transcript=PVW1_010015500_t1 | gene=PVW1_010015500 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | location=CAJZCX010000016:501194-504463(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484907.1         -           1089 2482at5820           -            609  1.2e-141  471.4   7.6   2   2   1.4e-83     4e-81  271.6   0.9   280   536   759  1015   754  1027 0.95 | transcript=PVW1_010015500_t1 | gene=PVW1_010015500 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | location=CAJZCX010000016:501194-504463(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477911.1         -            822 2482at5820           -            609  7.5e-130  432.5   0.0   1   2   1.3e-59   3.9e-57  192.4   0.0   312   557   202   446   192   457 0.94 | transcript=PVW1_110035700_t1 | gene=PVW1_110035700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI3] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI3] | location=CAJZCX010000008:1317437-1320072(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477911.1         -            822 2482at5820           -            609  7.5e-130  432.5   0.0   2   2   2.3e-73   6.6e-71  237.8   0.0   306   549   469   714   464   783 0.89 | transcript=PVW1_110035700_t1 | gene=PVW1_110035700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI3] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI3] | location=CAJZCX010000008:1317437-1320072(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476175.1         -           1174 2482at5820           -            609     4e-91  304.6  27.4   1   4   8.7e-13   2.5e-10   37.7   1.7   299   376   327   404   321   430 0.85 | transcript=PVW1_130042600_t1 | gene=PVW1_130042600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1643990-1647514(-) | protein_length=1174 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476175.1         -           1174 2482at5820           -            609     4e-91  304.6  27.4   2   4   7.3e-17   2.1e-14   51.2   3.8   404   541   490   624   463   629 0.83 | transcript=PVW1_130042600_t1 | gene=PVW1_130042600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1643990-1647514(-) | protein_length=1174 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476175.1         -           1174 2482at5820           -            609     4e-91  304.6  27.4   3   4   5.8e-68   1.7e-65  220.0   6.0   296   508   746   957   738   962 0.94 | transcript=PVW1_130042600_t1 | gene=PVW1_130042600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1643990-1647514(-) | protein_length=1174 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
