#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473169.1         -            224 11318at5820          -            201  6.8e-114  377.0  13.2   1   1  1.4e-116  1.1e-113  376.3  13.2     1   201     1   223     1   223 0.93 | transcript=PVW1_120021300_t1 | gene=PVW1_120021300 | organism=Plasmodium_vivax_PvW1 | gene_product=GTPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGF7] | transcript_product=GTPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGF7] | location=CAJZCX010000004:738882-741025(-) | protein_length=224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484041.1         -            214 11318at5820          -            201   4.6e-10   38.0   0.0   1   2      0.17   1.3e+02    0.6   0.0     6    33    30    57    26    64 0.88 | transcript=PVW1_020015700_t1 | gene=PVW1_020015700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:483471-485522(-) | protein_length=214 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484041.1         -            214 11318at5820          -            201   4.6e-10   38.0   0.0   2   2   4.6e-12   3.5e-09   35.1   0.0   100   180    99   185    77   199 0.84 | transcript=PVW1_020015700_t1 | gene=PVW1_020015700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:483471-485522(-) | protein_length=214 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472381.1         -            213 11318at5820          -            201   3.7e-07   28.5   0.0   1   1     7e-10   5.3e-07   28.0   0.0   100   196    79   181    61   185 0.77 | transcript=PVW1_140055600_t1 | gene=PVW1_140055600 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein Rab-2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL24] | transcript_product=Ras-related protein Rab-2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL24] | location=CAJZCX010000003:2198218-2199682(+) | protein_length=213 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477249.1         -            207 11318at5820          -            201   8.5e-06   24.1   0.7   1   2      0.17   1.3e+02    0.6   0.0     6    26    14    34    11    44 0.82 | transcript=PVW1_090050100_t1 | gene=PVW1_090050100 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein Rab-6, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY97] | transcript_product=Ras-related protein Rab-6, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY97] | location=CAJZCX010000007:1995555-1996988(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477249.1         -            207 11318at5820          -            201   8.5e-06   24.1   0.7   2   2   6.3e-08   4.8e-05   21.6   0.1   102   182    85   171    72   194 0.75 | transcript=PVW1_090050100_t1 | gene=PVW1_090050100 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein Rab-6, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY97] | transcript_product=Ras-related protein Rab-6, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY97] | location=CAJZCX010000007:1995555-1996988(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473249.1         -            229 11318at5820          -            201   0.00029   19.1   0.8   1   1   9.7e-07   0.00073   17.8   0.8    95   186    76   179    65   194 0.73 | transcript=PVW1_120028600_t1 | gene=PVW1_120028600 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein Rab-11B, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGD4] | transcript_product=Ras-related protein Rab-11B, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGD4] | location=CAJZCX010000004:1069192-1070529(+) | protein_length=229 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479205.1         -            770 11318at5820          -            201    0.0045   15.2   0.6   1   3     0.031        24    3.0   0.0     4    40    12    48     9   118 0.71 | transcript=PVW1_080032400_t1 | gene=PVW1_080032400 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-like G protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVY7] | transcript_product=Ras-like G protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVY7] | location=CAJZCX010000009:1236596-1238908(-) | protein_length=770 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479205.1         -            770 11318at5820          -            201    0.0045   15.2   0.6   2   3   0.00038      0.29    9.3   0.0     4    58   481   534   480   551 0.80 | transcript=PVW1_080032400_t1 | gene=PVW1_080032400 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-like G protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVY7] | transcript_product=Ras-like G protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVY7] | location=CAJZCX010000009:1236596-1238908(-) | protein_length=770 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479205.1         -            770 11318at5820          -            201    0.0045   15.2   0.6   3   3      0.98   7.4e+02   -1.9   0.1    29    56   584   611   555   633 0.71 | transcript=PVW1_080032400_t1 | gene=PVW1_080032400 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-like G protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVY7] | transcript_product=Ras-like G protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVY7] | location=CAJZCX010000009:1236596-1238908(-) | protein_length=770 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480283.1         -            206 11318at5820          -            201    0.0068   14.6   1.1   1   2    0.0038       2.9    6.0   0.2     3    28     8    33     6    65 0.87 | transcript=PVW1_070008100_t1 | gene=PVW1_070008100 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein RAB7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUS8] | transcript_product=Ras-related protein RAB7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUS8] | location=CAJZCX010000011:175082-177482(-) | protein_length=206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480283.1         -            206 11318at5820          -            201    0.0068   14.6   1.1   2   2    0.0014         1    7.5   0.0   102   149    82   132    66   175 0.65 | transcript=PVW1_070008100_t1 | gene=PVW1_070008100 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein RAB7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUS8] | transcript_product=Ras-related protein RAB7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUS8] | location=CAJZCX010000011:175082-177482(-) | protein_length=206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475600.1         -            499 11318at5820          -            201    0.0081   14.3   5.2   1   3   0.00036      0.28    9.3   0.0     3    29   104   130   103   175 0.92 | transcript=PVW1_130020600_t1 | gene=PVW1_130020600 | organism=Plasmodium_vivax_PvW1 | gene_product=Era-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ3] | transcript_product=Era-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ3] | location=CAJZCX010000006:703073-704572(-) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475600.1         -            499 11318at5820          -            201    0.0081   14.3   5.2   2   3    0.0042       3.2    5.9   0.5   135   197   331   401   323   405 0.75 | transcript=PVW1_130020600_t1 | gene=PVW1_130020600 | organism=Plasmodium_vivax_PvW1 | gene_product=Era-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ3] | transcript_product=Era-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ3] | location=CAJZCX010000006:703073-704572(-) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475600.1         -            499 11318at5820          -            201    0.0081   14.3   5.2   3   3      0.49   3.8e+02   -0.9   0.2    16    78   405   466   400   478 0.68 | transcript=PVW1_130020600_t1 | gene=PVW1_130020600 | organism=Plasmodium_vivax_PvW1 | gene_product=Era-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ3] | transcript_product=Era-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ3] | location=CAJZCX010000006:703073-704572(-) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
