#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472486.1         -            847 5119at5820           -            616         0 1012.6  48.1   1   4  2.7e-137    5e-135  449.4   4.0     8   263    56   312     7   317 0.93 | transcript=PVW1_140065400_t1 | gene=PVW1_140065400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | transcript_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | location=CAJZCX010000003:2639809-2642352(-) | protein_length=847 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472486.1         -            847 5119at5820           -            616         0 1012.6  48.1   2   4   7.7e-58   1.4e-55  186.9   3.0   260   359   363   462   356   477 0.93 | transcript=PVW1_140065400_t1 | gene=PVW1_140065400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | transcript_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | location=CAJZCX010000003:2639809-2642352(-) | protein_length=847 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472486.1         -            847 5119at5820           -            616         0 1012.6  48.1   3   4     3e-91   5.5e-89  297.3  16.8   357   538   494   678   488   695 0.92 | transcript=PVW1_140065400_t1 | gene=PVW1_140065400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | transcript_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | location=CAJZCX010000003:2639809-2642352(-) | protein_length=847 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472486.1         -            847 5119at5820           -            616         0 1012.6  48.1   4   4   2.1e-30   3.8e-28   96.4   1.3   529   615   707   793   699   795 0.93 | transcript=PVW1_140065400_t1 | gene=PVW1_140065400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | transcript_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | location=CAJZCX010000003:2639809-2642352(-) | protein_length=847 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477739.1         -            599 5119at5820           -            616   1.4e-43  147.3   9.1   1   2     8e-38   1.5e-35  120.8   7.5    20   324   127   420   106   448 0.78 | transcript=PVW1_110024100_t1 | gene=PVW1_110024100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:811483-813633(+) | protein_length=599 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477739.1         -            599 5119at5820           -            616   1.4e-43  147.3   9.1   2   2     4e-09   7.3e-07   26.0   0.0   376   433   450   506   446   566 0.77 | transcript=PVW1_110024100_t1 | gene=PVW1_110024100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:811483-813633(+) | protein_length=599 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479989.1         -            388 5119at5820           -            616   6.4e-37  125.3   3.5   1   1   3.4e-36   6.3e-34  115.4   3.5    35   448     8   385     1   388 0.81 | transcript=PVW1_050036400_t1 | gene=PVW1_050036400 | organism=Plasmodium_vivax_PvW1 | gene_product=Eukaryotic initiation factor 4A-III, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H998] | transcript_product=Eukaryotic initiation factor 4A-III, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H998] | location=CAJZCX010000010:1356986-1358152(+) | protein_length=388 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472607.1         -            731 5119at5820           -            616   1.7e-36  123.9  18.9   1   2       1.6     3e+02   -2.4   0.3     7    34    20    47    15    63 0.44 | transcript=PVW1_140075100_t1 | gene=PVW1_140075100 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DRS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLB8] | transcript_product=ATP-dependent RNA helicase DRS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLB8] | location=CAJZCX010000003:2980436-2982631(+) | protein_length=731 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472607.1         -            731 5119at5820           -            616   1.7e-36  123.9  18.9   2   2   9.5e-39   1.7e-36  123.9  18.9     6   474    63   537    51   563 0.72 | transcript=PVW1_140075100_t1 | gene=PVW1_140075100 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DRS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLB8] | transcript_product=ATP-dependent RNA helicase DRS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLB8] | location=CAJZCX010000003:2980436-2982631(+) | protein_length=731 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473603.1         -            398 5119at5820           -            616   1.9e-35  120.5   0.7   1   2   1.4e-23   2.5e-21   73.8   0.1    25   303     6   272     1   280 0.78 | transcript=PVW1_120052700_t1 | gene=PVW1_120052700 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH16] | transcript_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH16] | location=CAJZCX010000004:1971328-1972870(-) | protein_length=398 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473603.1         -            398 5119at5820           -            616   1.9e-35  120.5   0.7   2   2   8.1e-15   1.5e-12   44.9   0.0   374   436   321   383   318   395 0.87 | transcript=PVW1_120052700_t1 | gene=PVW1_120052700 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH16] | transcript_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH16] | location=CAJZCX010000004:1971328-1972870(-) | protein_length=398 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
