#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473159.1         -           1669 1180at5820           -           1159         0 1841.1 149.1   1   7   1.1e-44   3.3e-41  139.5   4.8     1    82     1    82     1    89 0.98 | transcript=PVW1_120020600_t1 | gene=PVW1_120020600 | organism=Plasmodium_vivax_PvW1 | gene_product=E1-E2 ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG67] | transcript_product=E1-E2 ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG67] | location=CAJZCX010000004:698574-704443(-) | protein_length=1669 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473159.1         -           1669 1180at5820           -           1159         0 1841.1 149.1   2   7   5.7e-97   1.7e-93  312.6  19.3    83   249   109   283   104   297 0.93 | transcript=PVW1_120020600_t1 | gene=PVW1_120020600 | organism=Plasmodium_vivax_PvW1 | gene_product=E1-E2 ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG67] | transcript_product=E1-E2 ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG67] | location=CAJZCX010000004:698574-704443(-) | protein_length=1669 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473159.1         -           1669 1180at5820           -           1159         0 1841.1 149.1   3   7   8.7e-57   2.6e-53  179.5   9.6   251   369   399   520   387   527 0.92 | transcript=PVW1_120020600_t1 | gene=PVW1_120020600 | organism=Plasmodium_vivax_PvW1 | gene_product=E1-E2 ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG67] | transcript_product=E1-E2 ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG67] | location=CAJZCX010000004:698574-704443(-) | protein_length=1669 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473159.1         -           1669 1180at5820           -           1159         0 1841.1 149.1   4   7  1.8e-103  5.4e-100  334.2  27.3   365   546   560   741   552   743 0.97 | transcript=PVW1_120020600_t1 | gene=PVW1_120020600 | organism=Plasmodium_vivax_PvW1 | gene_product=E1-E2 ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG67] | transcript_product=E1-E2 ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG67] | location=CAJZCX010000004:698574-704443(-) | protein_length=1669 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473159.1         -           1669 1180at5820           -           1159         0 1841.1 149.1   5   7   2.1e-83   6.3e-80  267.7   3.8   545   758   777  1033   769  1045 0.87 | transcript=PVW1_120020600_t1 | gene=PVW1_120020600 | organism=Plasmodium_vivax_PvW1 | gene_product=E1-E2 ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG67] | transcript_product=E1-E2 ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG67] | location=CAJZCX010000004:698574-704443(-) | protein_length=1669 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473159.1         -           1669 1180at5820           -           1159         0 1841.1 149.1   6   7  1.5e-157  4.6e-154  513.2  31.9   742  1050  1108  1430  1098  1444 0.94 | transcript=PVW1_120020600_t1 | gene=PVW1_120020600 | organism=Plasmodium_vivax_PvW1 | gene_product=E1-E2 ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG67] | transcript_product=E1-E2 ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG67] | location=CAJZCX010000004:698574-704443(-) | protein_length=1669 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473159.1         -           1669 1180at5820           -           1159         0 1841.1 149.1   7   7     3e-42   9.1e-39  131.4   4.6  1066  1159  1548  1641  1530  1641 0.95 | transcript=PVW1_120020600_t1 | gene=PVW1_120020600 | organism=Plasmodium_vivax_PvW1 | gene_product=E1-E2 ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG67] | transcript_product=E1-E2 ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG67] | location=CAJZCX010000004:698574-704443(-) | protein_length=1669 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484056.1         -           1196 1180at5820           -           1159   0.00029   17.1  20.7   1   5      0.33     1e+03   -4.6   0.6   396   464    35    95    25   105 0.54 | transcript=PVW1_020016200_t1 | gene=PVW1_020016200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:502528-506482(+) | protein_length=1196 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484056.1         -           1196 1180at5820           -           1159   0.00029   17.1  20.7   2   5     4e-05      0.12    8.4   0.1   274   332   142   198   115   212 0.74 | transcript=PVW1_020016200_t1 | gene=PVW1_020016200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:502528-506482(+) | protein_length=1196 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484056.1         -           1196 1180at5820           -           1159   0.00029   17.1  20.7   3   5   6.6e-07     0.002   14.3   0.4   375   523   213   358   197   377 0.84 | transcript=PVW1_020016200_t1 | gene=PVW1_020016200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:502528-506482(+) | protein_length=1196 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484056.1         -           1196 1180at5820           -           1159   0.00029   17.1  20.7   4   5   3.6e-05      0.11    8.6   0.0   811   885   905   979   836   983 0.87 | transcript=PVW1_020016200_t1 | gene=PVW1_020016200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:502528-506482(+) | protein_length=1196 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484056.1         -           1196 1180at5820           -           1159   0.00029   17.1  20.7   5   5     0.055   1.7e+02   -2.0   1.7  1055  1133  1100  1178  1089  1186 0.82 | transcript=PVW1_020016200_t1 | gene=PVW1_020016200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:502528-506482(+) | protein_length=1196 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1180at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1180at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1180at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:45 2026
# [ok]
