#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477225.1         -            321 12559at5820          -            273  6.7e-126  417.8  39.6   1   1  1.7e-127  9.1e-125  414.1  39.6     1   273    10   321    10   321 0.92 | transcript=PVW1_090048400_t1 | gene=PVW1_090048400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDB0] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDB0] | location=CAJZCX010000007:1947671-1948782(+) | protein_length=321 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476142.1         -            381 12559at5820          -            273   3.1e-07   28.6   5.5   1   1   1.2e-09   6.8e-07   27.5   5.5    21   120    49   153    37   167 0.71 | transcript=PVW1_130041400_t1 | gene=PVW1_130041400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3Q5] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3Q5] | location=CAJZCX010000006:1601914-1603428(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482512.1         -            328 12559at5820          -            273   1.7e-06   26.2   0.9   1   1   5.6e-09   3.1e-06   25.3   0.9    27    84     4    71     2    76 0.75 | transcript=PVW1_040018000_t1 | gene=PVW1_040018000 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSR6] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSR6] | location=CAJZCX010000013:567066-568396(-) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475530.1         -            421 12559at5820          -            273   1.7e-06   26.2   1.3   1   2   3.1e-09   1.7e-06   26.2   1.3    23    84    23    87    17    94 0.90 | transcript=PVW1_130018400_t1 | gene=PVW1_130018400 | organism=Plasmodium_vivax_PvW1 | gene_product=HSP40, subfamily A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIP4] | transcript_product=HSP40, subfamily A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIP4] | location=CAJZCX010000006:617512-619342(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475530.1         -            421 12559at5820          -            273   1.7e-06   26.2   1.3   2   2       1.1   6.2e+02   -1.9   0.5   222   231   385   394   334   412 0.55 | transcript=PVW1_130018400_t1 | gene=PVW1_130018400 | organism=Plasmodium_vivax_PvW1 | gene_product=HSP40, subfamily A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIP4] | transcript_product=HSP40, subfamily A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIP4] | location=CAJZCX010000006:617512-619342(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477762.1         -            380 12559at5820          -            273   2.3e-06   25.8   1.3   1   1   9.2e-09   5.1e-06   24.6   1.3    26    84    45   109    12   118 0.79 | transcript=PVW1_110025900_t1 | gene=PVW1_110025900 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF68] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF68] | location=CAJZCX010000008:909213-910355(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484311.1         -            420 12559at5820          -            273     2e-05   22.7   1.7   1   2      0.21   1.2e+02    0.5   0.0   161   184    10    33     5    67 0.81 | transcript=PVW1_020024600_t1 | gene=PVW1_020024600 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRL0] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRL0] | location=CAJZCX010000015:884998-887023(-) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484311.1         -            420 12559at5820          -            273     2e-05   22.7   1.7   2   2   1.5e-07   8.5e-05   20.6   0.4    24    84    82   152    77   158 0.77 | transcript=PVW1_020024600_t1 | gene=PVW1_020024600 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRL0] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRL0] | location=CAJZCX010000015:884998-887023(-) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485005.1         -            853 12559at5820          -            273   2.2e-05   22.6   0.2   1   1   9.6e-08   5.3e-05   21.3   0.2    23    83   295   362   292   385 0.73 | transcript=PVW1_010018400_t1 | gene=PVW1_010018400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:600405-602966(+) | protein_length=853 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475500.1         -            245 12559at5820          -            273   2.4e-05   22.4   0.3   1   1   6.7e-08   3.7e-05   21.8   0.3    27    87     6    74     2    80 0.76 | transcript=PVW1_130017400_t1 | gene=PVW1_130017400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIN1] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIN1] | location=CAJZCX010000006:572281-573923(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474067.1         -            406 12559at5820          -            273   0.00012   20.1   0.1   1   2       2.9   1.6e+03   -3.2   0.4   167   183    16    32     9    38 0.74 | transcript=PVW1_120086400_t1 | gene=PVW1_120086400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI20] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI20] | location=CAJZCX010000004:3483400-3485241(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474067.1         -            406 12559at5820          -            273   0.00012   20.1   0.1   2   2   2.2e-07   0.00012   20.1   0.1    25    84    80   149    72   154 0.74 | transcript=PVW1_120086400_t1 | gene=PVW1_120086400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI20] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI20] | location=CAJZCX010000004:3483400-3485241(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473405.1         -            334 12559at5820          -            273    0.0014   16.6   0.1   1   1   5.2e-06    0.0029   15.6   0.1    25    85    41   109    25   112 0.74 | transcript=PVW1_120038700_t1 | gene=PVW1_120038700 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGN3] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGN3] | location=CAJZCX010000004:1403851-1405959(+) | protein_length=334 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
