#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477681.1         -            335 10505at5820          -            263    1e-130  433.2  50.3   1   1  3.6e-133  3.7e-130  431.4  50.3     1   263    51   334    51   334 0.93 | transcript=PVW1_110019100_t1 | gene=PVW1_110019100 | organism=Plasmodium_vivax_PvW1 | gene_product=Rhomboid domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZP2] | transcript_product=Rhomboid domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZP2] | location=CAJZCX010000008:613672-614679(+) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479664.1         -            268 10505at5820          -            263     5e-05   21.2   1.6   1   3      0.19   1.9e+02   -0.4   0.2   126   153    39    64    31    75 0.70 | transcript=PVW1_050011300_t1 | gene=PVW1_050011300 | organism=Plasmodium_vivax_PvW1 | gene_product=Rhomboid-like protease [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8J0] | transcript_product=Rhomboid-like protease [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8J0] | location=CAJZCX010000010:311532-312757(-) | protein_length=268 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479664.1         -            268 10505at5820          -            263     5e-05   21.2   1.6   2   3   4.9e-08     5e-05   21.2   1.6   104   159    92   147    78   151 0.90 | transcript=PVW1_050011300_t1 | gene=PVW1_050011300 | organism=Plasmodium_vivax_PvW1 | gene_product=Rhomboid-like protease [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8J0] | transcript_product=Rhomboid-like protease [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8J0] | location=CAJZCX010000010:311532-312757(-) | protein_length=268 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479664.1         -            268 10505at5820          -            263     5e-05   21.2   1.6   3   3   0.00018      0.18    9.5   6.1   187   254   152   222   147   226 0.74 | transcript=PVW1_050011300_t1 | gene=PVW1_050011300 | organism=Plasmodium_vivax_PvW1 | gene_product=Rhomboid-like protease [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8J0] | transcript_product=Rhomboid-like protease [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8J0] | location=CAJZCX010000010:311532-312757(-) | protein_length=268 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474880.1         -            499 10505at5820          -            263   0.00033   18.5   6.2   1   1   5.1e-07   0.00052   17.9   6.2    62   162   309   414   272   437 0.72 | transcript=PVW1_100038100_t1 | gene=PVW1_100038100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1532613-1534112(+) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475066.1         -            627 10505at5820          -            263    0.0028   15.5   0.3   1   3     0.091        92    0.7   0.2   185   226   203   242   176   248 0.74 | transcript=PVW1_100051200_t1 | gene=PVW1_100051200 | organism=Plasmodium_vivax_PvW1 | gene_product=Rhomboid-like protease [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEC2] | transcript_product=Rhomboid-like protease [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEC2] | location=CAJZCX010000005:2082629-2084512(+) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475066.1         -            627 10505at5820          -            263    0.0028   15.5   0.3   2   3   2.8e-06    0.0028   15.5   0.3   103   159   328   384   315   387 0.88 | transcript=PVW1_100051200_t1 | gene=PVW1_100051200 | organism=Plasmodium_vivax_PvW1 | gene_product=Rhomboid-like protease [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEC2] | transcript_product=Rhomboid-like protease [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEC2] | location=CAJZCX010000005:2082629-2084512(+) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475066.1         -            627 10505at5820          -            263    0.0028   15.5   0.3   3   3      0.11   1.1e+02    0.4   3.4   187   246   389   452   385   469 0.57 | transcript=PVW1_100051200_t1 | gene=PVW1_100051200 | organism=Plasmodium_vivax_PvW1 | gene_product=Rhomboid-like protease [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEC2] | transcript_product=Rhomboid-like protease [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEC2] | location=CAJZCX010000005:2082629-2084512(+) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476701.1         -            276 10505at5820          -            263     0.004   15.0   4.7   1   2   3.9e-06     0.004   15.0   4.7   102   157   100   155    89   164 0.88 | transcript=PVW1_090019400_t1 | gene=PVW1_090019400 | organism=Plasmodium_vivax_PvW1 | gene_product=Rhomboid-like protease [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCK4] | transcript_product=Rhomboid-like protease [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCK4] | location=CAJZCX010000007:686142-687595(+) | protein_length=276 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476701.1         -            276 10505at5820          -            263     0.004   15.0   4.7   2   2     0.075        75    0.9   5.7   188   255   163   234   158   240 0.65 | transcript=PVW1_090019400_t1 | gene=PVW1_090019400 | organism=Plasmodium_vivax_PvW1 | gene_product=Rhomboid-like protease [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCK4] | transcript_product=Rhomboid-like protease [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCK4] | location=CAJZCX010000007:686142-687595(+) | protein_length=276 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474948.1         -            416 10505at5820          -            263      0.88    7.3  11.1   1   1    0.0018       1.8    6.3  11.1    93   254   248   406   234   411 0.72 | transcript=PVW1_100043000_t1 | gene=PVW1_100043000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1744940-1746504(+) | protein_length=416 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
