#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473708.1         -            787 4750at5820           -            475  1.5e-286  948.7  33.5   1   3   2.9e-14   5.5e-12   43.3   0.3     1    44    96   142    96   159 0.77 | transcript=PVW1_120062700_t1 | gene=PVW1_120062700 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHB4] | transcript_product=ATP-dependent RNA helicase DBP5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHB4] | location=CAJZCX010000004:2414428-2416791(-) | protein_length=787 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473708.1         -            787 4750at5820           -            475  1.5e-286  948.7  33.5   2   3   2.3e-10   4.3e-08   30.5   5.4    22    67   294   342   282   359 0.82 | transcript=PVW1_120062700_t1 | gene=PVW1_120062700 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHB4] | transcript_product=ATP-dependent RNA helicase DBP5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHB4] | location=CAJZCX010000004:2414428-2416791(-) | protein_length=787 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473708.1         -            787 4750at5820           -            475  1.5e-286  948.7  33.5   3   3  2.2e-269  4.1e-267  884.6  14.8    59   473   359   784   349   786 0.97 | transcript=PVW1_120062700_t1 | gene=PVW1_120062700 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHB4] | transcript_product=ATP-dependent RNA helicase DBP5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHB4] | location=CAJZCX010000004:2414428-2416791(-) | protein_length=787 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473603.1         -            398 4750at5820           -            475   2.6e-70  235.7   3.8   1   1   3.4e-70   6.5e-68  227.8   3.8    72   462    23   390    10   396 0.88 | transcript=PVW1_120052700_t1 | gene=PVW1_120052700 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH16] | transcript_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH16] | location=CAJZCX010000004:1971328-1972870(-) | protein_length=398 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479989.1         -            388 4750at5820           -            475     1e-67  227.2   6.0   1   1     1e-67     2e-65  219.6   6.0    72   464    15   382     5   388 0.92 | transcript=PVW1_050036400_t1 | gene=PVW1_050036400 | organism=Plasmodium_vivax_PvW1 | gene_product=Eukaryotic initiation factor 4A-III, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H998] | transcript_product=Eukaryotic initiation factor 4A-III, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H998] | location=CAJZCX010000010:1356986-1358152(+) | protein_length=388 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482597.1         -            473 4750at5820           -            475   5.3e-43  145.6   5.2   1   2   4.6e-06   0.00088   16.3   0.0    23   137     3   123     1   139 0.72 | transcript=PVW1_040021300_t1 | gene=PVW1_040021300 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase UAP56, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSV3] | transcript_product=ATP-dependent RNA helicase UAP56, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSV3] | location=CAJZCX010000013:701999-703558(+) | protein_length=473 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482597.1         -            473 4750at5820           -            475   5.3e-43  145.6   5.2   2   2     2e-37   3.8e-35  119.7   4.1   133   462   155   461   129   469 0.86 | transcript=PVW1_040021300_t1 | gene=PVW1_040021300 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase UAP56, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSV3] | transcript_product=ATP-dependent RNA helicase UAP56, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSV3] | location=CAJZCX010000013:701999-703558(+) | protein_length=473 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479052.1         -            430 4750at5820           -            475   1.2e-41  141.2   2.4   1   1   1.9e-41   3.7e-39  133.0   2.4   141   452   129   410   125   420 0.89 | transcript=PVW1_080024700_t1 | gene=PVW1_080024700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:901653-902945(-) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472342.1         -            717 4750at5820           -            475   1.1e-36  124.8   5.7   1   2   1.2e-06   0.00023   18.2   0.0    60   135   266   339   241   344 0.81 | transcript=PVW1_140051600_t1 | gene=PVW1_140051600 | organism=Plasmodium_vivax_PvW1 | gene_product=DNA helicase 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5D5] | transcript_product=DNA helicase 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5D5] | location=CAJZCX010000003:2018402-2020555(-) | protein_length=717 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472342.1         -            717 4750at5820           -            475   1.1e-36  124.8   5.7   2   2   6.3e-31   1.2e-28   98.3   4.3   141   440   405   678   399   687 0.90 | transcript=PVW1_140051600_t1 | gene=PVW1_140051600 | organism=Plasmodium_vivax_PvW1 | gene_product=DNA helicase 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5D5] | transcript_product=DNA helicase 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5D5] | location=CAJZCX010000003:2018402-2020555(-) | protein_length=717 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474908.1         -           1009 4750at5820           -            475   1.6e-36  124.2   0.0   1   2   1.4e-21   2.7e-19   67.4   0.0    73   223   585   750   581   763 0.89 | transcript=PVW1_100039500_t1 | gene=PVW1_100039500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1606696-1609725(+) | protein_length=1009 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
