#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9474818.1         -            983 7767at5820           -            425  1.2e-194  645.5 156.0   1   5  2.9e-112  1.8e-109  365.0  15.5     1   203    14   217    14   228 0.82 | transcript=PVW1_100032900_t1 | gene=PVW1_100032900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1302522-1305473(-) | protein_length=983 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474818.1         -            983 7767at5820           -            425  1.2e-194  645.5 156.0   2   5       1.3   8.1e+02   -2.9  50.1   147   309   230   401   221   461 0.67 | transcript=PVW1_100032900_t1 | gene=PVW1_100032900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1302522-1305473(-) | protein_length=983 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474818.1         -            983 7767at5820           -            425  1.2e-194  645.5 156.0   3   5   1.2e-23   7.4e-21   73.0  29.2   163   279   448   574   408   578 0.73 | transcript=PVW1_100032900_t1 | gene=PVW1_100032900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1302522-1305473(-) | protein_length=983 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474818.1         -            983 7767at5820           -            425  1.2e-194  645.5 156.0   4   5   1.1e-45   6.8e-43  145.6  31.1   208   377   615   784   596   798 0.75 | transcript=PVW1_100032900_t1 | gene=PVW1_100032900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1302522-1305473(-) | protein_length=983 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474818.1         -            983 7767at5820           -            425  1.2e-194  645.5 156.0   5   5   1.3e-26     8e-24   82.8   4.4   374   425   932   983   916   983 0.89 | transcript=PVW1_100032900_t1 | gene=PVW1_100032900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1302522-1305473(-) | protein_length=983 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480339.1         -            832 7767at5820           -            425   1.5e-35  121.4  12.6   1   5   2.4e-38   1.5e-35  121.4  12.6     5   126    38   159    34   187 0.91 | transcript=PVW1_070011600_t1 | gene=PVW1_070011600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:382946-385444(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480339.1         -            832 7767at5820           -            425   1.5e-35  121.4  12.6   2   5     0.059        36    1.5   0.9   165   219   165   224   155   245 0.78 | transcript=PVW1_070011600_t1 | gene=PVW1_070011600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:382946-385444(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480339.1         -            832 7767at5820           -            425   1.5e-35  121.4  12.6   3   5       3.3     2e+03   -4.2   8.3   149   238   311   396   295   403 0.62 | transcript=PVW1_070011600_t1 | gene=PVW1_070011600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:382946-385444(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480339.1         -            832 7767at5820           -            425   1.5e-35  121.4  12.6   4   5        10   6.1e+03  -27.3  40.5   121   266   450   595   413   630 0.53 | transcript=PVW1_070011600_t1 | gene=PVW1_070011600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:382946-385444(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480339.1         -            832 7767at5820           -            425   1.5e-35  121.4  12.6   5   5        10   6.1e+03  -10.0  11.7   215   272   626   682   609   705 0.45 | transcript=PVW1_070011600_t1 | gene=PVW1_070011600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:382946-385444(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478781.1         -            510 7767at5820           -            425     1e-25   89.0   7.4   1   3   1.7e-28     1e-25   89.0   7.4     4   121     9   129     6   175 0.85 | transcript=PVW1_080013600_t1 | gene=PVW1_080013600 | organism=Plasmodium_vivax_PvW1 | gene_product=Zinc finger (CCCH type) protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBD2] | transcript_product=Zinc finger (CCCH type) protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBD2] | location=CAJZCX010000009:425491-427023(+) | protein_length=510 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
