#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480482.1         -            484 7103at5820           -            414    1e-223  741.4  46.4   1   1  3.4e-225  3.4e-222  736.4  46.4     1   414     7   480     7   480 0.93 | transcript=PVW1_070019600_t1 | gene=PVW1_070019600 | organism=Plasmodium_vivax_PvW1 | gene_product=Transporter, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV91] | transcript_product=Transporter, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV91] | location=CAJZCX010000011:700743-702197(+) | protein_length=484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484098.1         -            571 7103at5820           -            414   1.5e-15   55.7  38.0   1   2   1.8e-17   1.9e-14   52.1   8.7    12   210    34   235    28   242 0.84 | transcript=PVW1_020017500_t1 | gene=PVW1_020017500 | organism=Plasmodium_vivax_PvW1 | gene_product=Novel putative transporter 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H740] | transcript_product=Novel putative transporter 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H740] | location=CAJZCX010000015:550204-551919(-) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484098.1         -            571 7103at5820           -            414   1.5e-15   55.7  38.0   2   2   6.2e-05     0.062   10.9  19.4   250   362   379   499   335   516 0.70 | transcript=PVW1_020017500_t1 | gene=PVW1_020017500 | organism=Plasmodium_vivax_PvW1 | gene_product=Novel putative transporter 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H740] | transcript_product=Novel putative transporter 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H740] | location=CAJZCX010000015:550204-551919(-) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484102.1         -            638 7103at5820           -            414   3.6e-14   51.2  37.4   1   2   5.4e-14   5.5e-11   40.7  10.3    25   212    43   241    19   266 0.73 | transcript=PVW1_020017600_t1 | gene=PVW1_020017600 | organism=Plasmodium_vivax_PvW1 | gene_product=Major facilitator superfamily-related transporter, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6X6] | transcript_product=Major facilitator superfamily-related transporter, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6X6] | location=CAJZCX010000015:553384-555300(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484102.1         -            638 7103at5820           -            414   3.6e-14   51.2  37.4   2   2   1.4e-06    0.0014   16.2  19.1   265   374   477   593   455   621 0.68 | transcript=PVW1_020017600_t1 | gene=PVW1_020017600 | organism=Plasmodium_vivax_PvW1 | gene_product=Major facilitator superfamily-related transporter, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6X6] | transcript_product=Major facilitator superfamily-related transporter, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6X6] | location=CAJZCX010000015:553384-555300(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476996.1         -            571 7103at5820           -            414   5.7e-11   40.6  12.6   1   2   5.6e-14   5.7e-11   40.6  12.6     5   210    67   283    62   291 0.83 | transcript=PVW1_090035300_t1 | gene=PVW1_090035300 | organism=Plasmodium_vivax_PvW1 | gene_product=Transporter, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCY2] | transcript_product=Transporter, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCY2] | location=CAJZCX010000007:1333555-1335270(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476996.1         -            571 7103at5820           -            414   5.7e-11   40.6  12.6   2   2       4.2   4.2e+03   -5.1  19.1   270   374   407   518   377   554 0.70 | transcript=PVW1_090035300_t1 | gene=PVW1_090035300 | organism=Plasmodium_vivax_PvW1 | gene_product=Transporter, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCY2] | transcript_product=Transporter, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCY2] | location=CAJZCX010000007:1333555-1335270(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476521.1         -            261 7103at5820           -            414     0.006   14.2   0.1   1   2       0.2     2e+02   -0.7   0.3   303   327    67    91    52    96 0.74 | transcript=PVW1_090008500_t1 | gene=PVW1_090008500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:230727-231634(+) | protein_length=261 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476521.1         -            261 7103at5820           -            414     0.006   14.2   0.1   2   2     6e-06     0.006   14.2   0.1   180   244   141   204   127   218 0.87 | transcript=PVW1_090008500_t1 | gene=PVW1_090008500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:230727-231634(+) | protein_length=261 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479222.1         -            547 7103at5820           -            414      0.71    7.4  43.0   1   4      0.42   4.3e+02   -1.8   1.2    23    99    15    91     8   119 0.56 | transcript=PVW1_080033300_t1 | gene=PVW1_080033300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1255723-1257366(-) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479222.1         -            547 7103at5820           -            414      0.71    7.4  43.0   2   4      0.21   2.1e+02   -0.8   0.0   115   139   160   184   151   195 0.77 | transcript=PVW1_080033300_t1 | gene=PVW1_080033300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1255723-1257366(-) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
