#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9481478.1         -            446 7686at5820           -            351  4.2e-175  580.3  20.0   1   2   6.3e-97   5.5e-94  313.6   7.7     1   198    54   262    54   278 0.95 | transcript=PVW1_060016200_t1 | gene=PVW1_060016200 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUE0] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUE0] | location=CAJZCX010000012:495385-497395(-) | protein_length=446 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481478.1         -            446 7686at5820           -            351  4.2e-175  580.3  20.0   2   2   1.4e-84   1.2e-81  273.0   4.4   196   351   286   444   282   444 0.98 | transcript=PVW1_060016200_t1 | gene=PVW1_060016200 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUE0] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUE0] | location=CAJZCX010000012:495385-497395(-) | protein_length=446 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472135.1         -            943 7686at5820           -            351   2.9e-08   31.6  19.7   1   3    0.0021       1.8    6.0   2.1   107   175   314   382   276   415 0.73 | transcript=PVW1_140031600_t1 | gene=PVW1_140031600 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A2S8] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A2S8] | location=CAJZCX010000003:1151081-1153912(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472135.1         -            943 7686at5820           -            351   2.9e-08   31.6  19.7   2   3   7.4e-07   0.00064   17.3   0.2     7    65   430   489   427   499 0.83 | transcript=PVW1_140031600_t1 | gene=PVW1_140031600 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A2S8] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A2S8] | location=CAJZCX010000003:1151081-1153912(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472135.1         -            943 7686at5820           -            351   2.9e-08   31.6  19.7   3   3   1.4e-06    0.0012   16.5   5.0   235   344   716   826   644   828 0.89 | transcript=PVW1_140031600_t1 | gene=PVW1_140031600 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A2S8] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A2S8] | location=CAJZCX010000003:1151081-1153912(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473585.1         -            443 7686at5820           -            351   8.4e-08   30.1   0.9   1   1   1.6e-10   1.3e-07   29.4   0.9   287   344   342   400   336   408 0.82 | transcript=PVW1_120050900_t1 | gene=PVW1_120050900 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1K4] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1K4] | location=CAJZCX010000004:1908001-1909501(+) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479235.1         -            659 7686at5820           -            351   1.6e-06   25.9   9.2   1   3         7   6.1e+03   -9.4   8.9   232   257    69    93    50   106 0.39 | transcript=PVW1_080033900_t1 | gene=PVW1_080033900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1274541-1276520(+) | protein_length=659 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479235.1         -            659 7686at5820           -            351   1.6e-06   25.9   9.2   2   3   6.1e-05     0.053   11.0   3.1    73   190   229   349   160   354 0.76 | transcript=PVW1_080033900_t1 | gene=PVW1_080033900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1274541-1276520(+) | protein_length=659 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479235.1         -            659 7686at5820           -            351   1.6e-06   25.9   9.2   3   3   1.8e-09   1.6e-06   25.9   9.2   109   288   454   652   378   656 0.74 | transcript=PVW1_080033900_t1 | gene=PVW1_080033900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1274541-1276520(+) | protein_length=659 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472336.1         -           1239 7686at5820           -            351     6e-06   24.0   0.4   1   6         1   8.8e+02   -2.8   0.3    61   129   111   174    87   182 0.68 | transcript=PVW1_140051000_t1 | gene=PVW1_140051000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1997257-2000976(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472336.1         -           1239 7686at5820           -            351     6e-06   24.0   0.4   2   6     0.081        70    0.8   0.1    90   135   280   327   229   331 0.70 | transcript=PVW1_140051000_t1 | gene=PVW1_140051000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1997257-2000976(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
