#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480544.1         -            652 3789at5820           -            599         0 1331.6  21.7   1   1         0         0 1331.4  21.7     1   599    33   652    33   652 0.98 | transcript=PVW1_070022900_t1 | gene=PVW1_070022900 | organism=Plasmodium_vivax_PvW1 | gene_product=Endoplasmic reticulum chaperone BiP, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV65] | transcript_product=Endoplasmic reticulum chaperone BiP, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV65] | location=CAJZCX010000011:813362-815778(+) | protein_length=652 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479795.1         -            690 3789at5820           -            599    1e-231  768.9   8.3   1   1    1e-234  1.2e-231  768.6   8.3     1   591    20   628    20   632 0.94 | transcript=PVW1_050020400_t1 | gene=PVW1_050020400 | organism=Plasmodium_vivax_PvW1 | gene_product=Heat shock protein 70 [Source:UniProtKB/TrEMBL;Acc:Q2VG87] | transcript_product=Heat shock protein 70 [Source:UniProtKB/TrEMBL;Acc:Q2VG87] | location=CAJZCX010000010:672840-674912(-) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477067.1         -            663 3789at5820           -            599  1.1e-182  606.9  17.4   1   1  1.2e-185  1.4e-182  606.6  17.4     1   587    46   637    46   647 0.92 | transcript=PVW1_090039300_t1 | gene=PVW1_090039300 | organism=Plasmodium_vivax_PvW1 | gene_product=Heat shock protein 70, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD23] | transcript_product=Heat shock protein 70, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD23] | location=CAJZCX010000007:1491404-1493395(+) | protein_length=663 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484808.1         -            887 3789at5820           -            599   1.3e-28   98.1   7.3   1   3   1.8e-23   2.1e-20   71.0   3.7     1   233     6   250     6   264 0.83 | transcript=PVW1_010013200_t1 | gene=PVW1_010013200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:408344-411007(+) | protein_length=887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484808.1         -            887 3789at5820           -            599   1.3e-28   98.1   7.3   2   3   2.2e-13   2.7e-10   37.6   0.1   235   366   281   412   273   421 0.88 | transcript=PVW1_010013200_t1 | gene=PVW1_010013200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:408344-411007(+) | protein_length=887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484808.1         -            887 3789at5820           -            599   1.3e-28   98.1   7.3   3   3         5   6.1e+03  -13.8  16.9   495   564   808   877   793   887 0.60 | transcript=PVW1_010013200_t1 | gene=PVW1_010013200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:408344-411007(+) | protein_length=887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473212.1         -            928 3789at5820           -            599   9.6e-27   92.0  25.6   1   3    0.0013       1.6    5.4   0.0     1    63    29    92    29   114 0.82 | transcript=PVW1_120025200_t1 | gene=PVW1_120025200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:909398-912184(-) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473212.1         -            928 3789at5820           -            599   9.6e-27   92.0  25.6   2   3   1.3e-29   1.5e-26   91.3   9.7    97   391   159   473   138   634 0.76 | transcript=PVW1_120025200_t1 | gene=PVW1_120025200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:909398-912184(-) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473212.1         -            928 3789at5820           -            599   9.6e-27   92.0  25.6   3   3     0.019        23    1.6   5.0   493   582   648   744   631   749 0.75 | transcript=PVW1_120025200_t1 | gene=PVW1_120025200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:909398-912184(-) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3789at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3789at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3789at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:43 2026
# [ok]
