#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473182.1         -            363 7201at5820           -            178  2.1e-104  345.0   8.5   1   1  1.8e-106  1.1e-103  342.6   8.5     1   178    88   289    88   289 0.93 | transcript=PVW1_120022400_t1 | gene=PVW1_120022400 | organism=Plasmodium_vivax_PvW1 | gene_product=WD repeat-containing protein 92, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG73] | transcript_product=WD repeat-containing protein 92, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG73] | location=CAJZCX010000004:786242-788486(+) | protein_length=363 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483953.1         -            447 7201at5820           -            178     8e-08   30.4   0.9   1   3    0.0012      0.74    7.7   0.1    22    60   151   189   135   198 0.84 | transcript=PVW1_020012000_t1 | gene=PVW1_020012000 | organism=Plasmodium_vivax_PvW1 | gene_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6P5] | transcript_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6P5] | location=CAJZCX010000015:358010-359353(+) | protein_length=447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483953.1         -            447 7201at5820           -            178     8e-08   30.4   0.9   2   3   1.1e-06   0.00066   17.7   0.4     2    98   227   330   226   374 0.77 | transcript=PVW1_020012000_t1 | gene=PVW1_020012000 | organism=Plasmodium_vivax_PvW1 | gene_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6P5] | transcript_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6P5] | location=CAJZCX010000015:358010-359353(+) | protein_length=447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483953.1         -            447 7201at5820           -            178     8e-08   30.4   0.9   3   3      0.19   1.1e+02    0.6   0.0    21    73   393   446   378   447 0.79 | transcript=PVW1_020012000_t1 | gene=PVW1_020012000 | organism=Plasmodium_vivax_PvW1 | gene_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6P5] | transcript_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6P5] | location=CAJZCX010000015:358010-359353(+) | protein_length=447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472452.1         -            503 7201at5820           -            178   2.2e-05   22.4   1.9   1   4     0.014       8.6    4.3   0.0    22    56   278   311   267   316 0.70 | transcript=PVW1_140062100_t1 | gene=PVW1_140062100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2485626-2487456(+) | protein_length=503 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472452.1         -            503 7201at5820           -            178   2.2e-05   22.4   1.9   2   4   4.2e-06    0.0025   15.7   0.3     2    62   302   360   301   372 0.84 | transcript=PVW1_140062100_t1 | gene=PVW1_140062100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2485626-2487456(+) | protein_length=503 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472452.1         -            503 7201at5820           -            178   2.2e-05   22.4   1.9   3   4      0.69   4.2e+02   -1.3   0.0    37    58   377   398   368   409 0.79 | transcript=PVW1_140062100_t1 | gene=PVW1_140062100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2485626-2487456(+) | protein_length=503 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472452.1         -            503 7201at5820           -            178   2.2e-05   22.4   1.9   4   4     0.048        29    2.5   0.0    35    56   426   447   409   481 0.83 | transcript=PVW1_140062100_t1 | gene=PVW1_140062100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2485626-2487456(+) | protein_length=503 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474805.1         -            329 7201at5820           -            178    0.0002   19.3   6.3   1   2   4.2e-05     0.026   12.5   1.1     1    67    38   105    38   140 0.67 | transcript=PVW1_100031600_t1 | gene=PVW1_100031600 | organism=Plasmodium_vivax_PvW1 | gene_product=ANAPC4_WD40 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDW4] | transcript_product=ANAPC4_WD40 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDW4] | location=CAJZCX010000005:1251258-1252247(+) | protein_length=329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474805.1         -            329 7201at5820           -            178    0.0002   19.3   6.3   2   2   0.00048      0.29    9.0   0.2   116   142   201   227   109   247 0.67 | transcript=PVW1_100031600_t1 | gene=PVW1_100031600 | organism=Plasmodium_vivax_PvW1 | gene_product=ANAPC4_WD40 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDW4] | transcript_product=ANAPC4_WD40 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDW4] | location=CAJZCX010000005:1251258-1252247(+) | protein_length=329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477745.1         -            513 7201at5820           -            178   0.00028   18.8   4.2   1   4     0.033        20    3.1   0.1   119   141   199   221   131   234 0.89 | transcript=PVW1_110024500_t1 | gene=PVW1_110024500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:828381-829922(-) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477745.1         -            513 7201at5820           -            178   0.00028   18.8   4.2   2   4   0.00044      0.27    9.2   0.3    37   101   361   427   333   432 0.60 | transcript=PVW1_110024500_t1 | gene=PVW1_110024500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:828381-829922(-) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477745.1         -            513 7201at5820           -            178   0.00028   18.8   4.2   3   4   0.00063      0.38    8.6   0.1    30    75   394   439   387   454 0.78 | transcript=PVW1_110024500_t1 | gene=PVW1_110024500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:828381-829922(-) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477745.1         -            513 7201at5820           -            178   0.00028   18.8   4.2   4   4    0.0098       5.9    4.8   0.0    35    61   448   474   428   487 0.77 | transcript=PVW1_110024500_t1 | gene=PVW1_110024500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:828381-829922(-) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478126.1         -            361 7201at5820           -            178   0.00065   17.7   0.3   1   2       4.3   2.6e+03   -3.9   0.1    79    89   167   177   165   181 0.81 | transcript=PVW1_110046900_t1 | gene=PVW1_110046900 | organism=Plasmodium_vivax_PvW1 | gene_product=Diphthine methyltransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0C1] | transcript_product=Diphthine methyltransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0C1] | location=CAJZCX010000008:1767316-1769879(+) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478126.1         -            361 7201at5820           -            178   0.00065   17.7   0.3   2   2   2.1e-06    0.0013   16.7   0.0    32   135   198   309   182   320 0.79 | transcript=PVW1_110046900_t1 | gene=PVW1_110046900 | organism=Plasmodium_vivax_PvW1 | gene_product=Diphthine methyltransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0C1] | transcript_product=Diphthine methyltransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0C1] | location=CAJZCX010000008:1767316-1769879(+) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479857.1         -            458 7201at5820           -            178    0.0013   16.7   0.0   1   3      0.12        74    1.2   0.0    28    55   152   178   138   187 0.63 | transcript=PVW1_050024400_t1 | gene=PVW1_050024400 | organism=Plasmodium_vivax_PvW1 | gene_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | transcript_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | location=CAJZCX010000010:825935-827311(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479857.1         -            458 7201at5820           -            178    0.0013   16.7   0.0   2   3      0.26   1.6e+02    0.1   0.0   111   155   211   253   192   257 0.82 | transcript=PVW1_050024400_t1 | gene=PVW1_050024400 | organism=Plasmodium_vivax_PvW1 | gene_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | transcript_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | location=CAJZCX010000010:825935-827311(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479857.1         -            458 7201at5820           -            178    0.0013   16.7   0.0   3   3   0.00017      0.11   10.5   0.0     4    58   351   404   343   420 0.88 | transcript=PVW1_050024400_t1 | gene=PVW1_050024400 | organism=Plasmodium_vivax_PvW1 | gene_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | transcript_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | location=CAJZCX010000010:825935-827311(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473896.1         -           1215 7201at5820           -            178    0.0017   16.3  36.5   1   5   0.00076      0.46    8.4   1.5    32    69    73   110    57   140 0.71 | transcript=PVW1_120073900_t1 | gene=PVW1_120073900 | organism=Plasmodium_vivax_PvW1 | gene_product=U3 small nucleolar RNA-associated protein 12, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHN3] | transcript_product=U3 small nucleolar RNA-associated protein 12, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHN3] | location=CAJZCX010000004:2903300-2907096(+) | protein_length=1215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473896.1         -           1215 7201at5820           -            178    0.0017   16.3  36.5   2   5   0.00022      0.13   10.1   6.9    12    97   152   239   129   246 0.65 | transcript=PVW1_120073900_t1 | gene=PVW1_120073900 | organism=Plasmodium_vivax_PvW1 | gene_product=U3 small nucleolar RNA-associated protein 12, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHN3] | transcript_product=U3 small nucleolar RNA-associated protein 12, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHN3] | location=CAJZCX010000004:2903300-2907096(+) | protein_length=1215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473896.1         -           1215 7201at5820           -            178    0.0017   16.3  36.5   3   5       2.3   1.4e+03   -2.9   1.1     4    31   373   401   339   414 0.70 | transcript=PVW1_120073900_t1 | gene=PVW1_120073900 | organism=Plasmodium_vivax_PvW1 | gene_product=U3 small nucleolar RNA-associated protein 12, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHN3] | transcript_product=U3 small nucleolar RNA-associated protein 12, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHN3] | location=CAJZCX010000004:2903300-2907096(+) | protein_length=1215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473896.1         -           1215 7201at5820           -            178    0.0017   16.3  36.5   4   5   0.00041      0.25    9.3   2.1     7   136   594   722   589   735 0.76 | transcript=PVW1_120073900_t1 | gene=PVW1_120073900 | organism=Plasmodium_vivax_PvW1 | gene_product=U3 small nucleolar RNA-associated protein 12, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHN3] | transcript_product=U3 small nucleolar RNA-associated protein 12, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHN3] | location=CAJZCX010000004:2903300-2907096(+) | protein_length=1215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473896.1         -           1215 7201at5820           -            178    0.0017   16.3  36.5   5   5    0.0029       1.7    6.5   0.1    34    81   905   949   880   955 0.70 | transcript=PVW1_120073900_t1 | gene=PVW1_120073900 | organism=Plasmodium_vivax_PvW1 | gene_product=U3 small nucleolar RNA-associated protein 12, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHN3] | transcript_product=U3 small nucleolar RNA-associated protein 12, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHN3] | location=CAJZCX010000004:2903300-2907096(+) | protein_length=1215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479725.1         -            324 7201at5820           -            178    0.0023   15.9   0.7   1   2   2.2e-05     0.013   13.4   0.1     4    60   103   155   100   163 0.85 | transcript=PVW1_050016500_t1 | gene=PVW1_050016500 | organism=Plasmodium_vivax_PvW1 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTD9] | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTD9] | location=CAJZCX010000010:528850-529824(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479725.1         -            324 7201at5820           -            178    0.0023   15.9   0.7   2   2       0.4   2.4e+02   -0.5   0.0     3    48   275   317   263   321 0.72 | transcript=PVW1_050016500_t1 | gene=PVW1_050016500 | organism=Plasmodium_vivax_PvW1 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTD9] | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTD9] | location=CAJZCX010000010:528850-529824(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472285.1         -            430 7201at5820           -            178    0.0032   15.4   0.2   1   2   7.7e-05     0.047   11.6   0.1     4    80   271   353   268   361 0.71 | transcript=PVW1_140046100_t1 | gene=PVW1_140046100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1764017-1765309(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472285.1         -            430 7201at5820           -            178    0.0032   15.4   0.2   2   2    0.0057       3.5    5.5   0.0     8    55   319   365   318   382 0.88 | transcript=PVW1_140046100_t1 | gene=PVW1_140046100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1764017-1765309(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7201at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7201at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7201at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:39 2026
# [ok]
