#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9474825.1         -            365 8151at5820           -            356  5.4e-244  807.1   8.5   1   1    1e-246  6.1e-244  806.9   8.5     1   356     1   365     1   365 0.99 | transcript=PVW1_100033600_t1 | gene=PVW1_100033600 | organism=Plasmodium_vivax_PvW1 | gene_product=Ribosome-interacting GTPase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDY6] | transcript_product=Ribosome-interacting GTPase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDY6] | location=CAJZCX010000005:1333224-1334321(+) | protein_length=365 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477670.1         -            367 8151at5820           -            356  1.3e-130  434.0   6.8   1   1  2.5e-133  1.5e-130  433.9   6.8     1   355     1   365     1   366 0.96 | transcript=PVW1_110018500_t1 | gene=PVW1_110018500 | organism=Plasmodium_vivax_PvW1 | gene_product=GTP-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF10] | transcript_product=GTP-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF10] | location=CAJZCX010000008:590712-593838(+) | protein_length=367 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478042.1         -            713 8151at5820           -            356     2e-08   32.1   0.0   1   1   7.2e-11   4.4e-08   31.0   0.0    65   154   173   264   167   317 0.80 | transcript=PVW1_110042000_t1 | gene=PVW1_110042000 | organism=Plasmodium_vivax_PvW1 | gene_product=OBG-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFL2] | transcript_product=OBG-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFL2] | location=CAJZCX010000008:1578912-1581053(-) | protein_length=713 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472242.1         -            871 8151at5820           -            356   5.1e-08   30.8   0.1   1   2   2.6e-08   1.6e-05   22.6   0.0    64   151   293   383   275   396 0.85 | transcript=PVW1_140042300_t1 | gene=PVW1_140042300 | organism=Plasmodium_vivax_PvW1 | gene_product=GTPase Der [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKH8] | transcript_product=GTPase Der [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKH8] | location=CAJZCX010000003:1580630-1583245(+) | protein_length=871 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472242.1         -            871 8151at5820           -            356   5.1e-08   30.8   0.1   2   2    0.0034       2.1    5.8   0.0    63   124   568   632   550   686 0.84 | transcript=PVW1_140042300_t1 | gene=PVW1_140042300 | organism=Plasmodium_vivax_PvW1 | gene_product=GTPase Der [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKH8] | transcript_product=GTPase Der [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKH8] | location=CAJZCX010000003:1580630-1583245(+) | protein_length=871 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479880.1         -            636 8151at5820           -            356   7.7e-07   26.9   0.7   1   2      0.58   3.5e+02   -1.6   0.2   180   212   292   324   282   356 0.80 | transcript=PVW1_050026400_t1 | gene=PVW1_050026400 | organism=Plasmodium_vivax_PvW1 | gene_product=GTP-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN4] | transcript_product=GTP-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN4] | location=CAJZCX010000010:896002-897912(+) | protein_length=636 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479880.1         -            636 8151at5820           -            356   7.7e-07   26.9   0.7   2   2   3.5e-09   2.1e-06   25.5   0.0    64   128   454   522   445   559 0.77 | transcript=PVW1_050026400_t1 | gene=PVW1_050026400 | organism=Plasmodium_vivax_PvW1 | gene_product=GTP-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN4] | transcript_product=GTP-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN4] | location=CAJZCX010000010:896002-897912(+) | protein_length=636 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475600.1         -            499 8151at5820           -            356   2.7e-06   25.1   0.1   1   2   5.4e-08   3.3e-05   21.6   0.0    64   153   106   199   102   211 0.81 | transcript=PVW1_130020600_t1 | gene=PVW1_130020600 | organism=Plasmodium_vivax_PvW1 | gene_product=Era-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ3] | transcript_product=Era-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ3] | location=CAJZCX010000006:703073-704572(-) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475600.1         -            499 8151at5820           -            356   2.7e-06   25.1   0.1   2   2       0.1        63    0.9   0.0   234   254   326   346   318   397 0.88 | transcript=PVW1_130020600_t1 | gene=PVW1_130020600 | organism=Plasmodium_vivax_PvW1 | gene_product=Era-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ3] | transcript_product=Era-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ3] | location=CAJZCX010000006:703073-704572(-) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476197.1         -            564 8151at5820           -            356   5.7e-06   24.1   0.1   1   2     3e-08   1.8e-05   22.4   0.0    64   105   224   265   208   273 0.90 | transcript=PVW1_130043700_t1 | gene=PVW1_130043700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1688099-1689793(-) | protein_length=564 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476197.1         -            564 8151at5820           -            356   5.7e-06   24.1   0.1   2   2       1.1   6.5e+02   -2.4   0.0   107   148   330   372   318   387 0.66 | transcript=PVW1_130043700_t1 | gene=PVW1_130043700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1688099-1689793(-) | protein_length=564 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
