#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9481584.1         -            485 14061at5820          -            352  5.6e-116  386.1 166.4   1   4  3.1e-102   3.1e-99  331.0  20.3     1   195     1   195     1   214 0.87 | transcript=PVW1_060018800_t1 | gene=PVW1_060018800 | organism=Plasmodium_vivax_PvW1 | gene_product=AhpC-TSA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9R6] | transcript_product=AhpC-TSA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9R6] | location=CAJZCX010000012:606040-608189(-) | protein_length=485 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481584.1         -            485 14061at5820          -            352  5.6e-116  386.1 166.4   2   4     0.029        29    2.2   1.9   157   184   185   212   181   223 0.73 | transcript=PVW1_060018800_t1 | gene=PVW1_060018800 | organism=Plasmodium_vivax_PvW1 | gene_product=AhpC-TSA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9R6] | transcript_product=AhpC-TSA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9R6] | location=CAJZCX010000012:606040-608189(-) | protein_length=485 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481584.1         -            485 14061at5820          -            352  5.6e-116  386.1 166.4   3   4   6.2e-08   6.3e-05   20.8  43.8   166   253   223   332   205   338 0.64 | transcript=PVW1_060018800_t1 | gene=PVW1_060018800 | organism=Plasmodium_vivax_PvW1 | gene_product=AhpC-TSA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9R6] | transcript_product=AhpC-TSA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9R6] | location=CAJZCX010000012:606040-608189(-) | protein_length=485 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481584.1         -            485 14061at5820          -            352  5.6e-116  386.1 166.4   4   4   8.5e-14   8.6e-11   40.1  92.3   230   352   340   485   329   485 0.80 | transcript=PVW1_060018800_t1 | gene=PVW1_060018800 | organism=Plasmodium_vivax_PvW1 | gene_product=AhpC-TSA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9R6] | transcript_product=AhpC-TSA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9R6] | location=CAJZCX010000012:606040-608189(-) | protein_length=485 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485112.1         -            220 14061at5820          -            352   3.5e-07   28.3   0.4   1   1   4.5e-10   4.5e-07   27.9   0.4    40   119    35   121    31   143 0.87 | transcript=PVW1_010022400_t1 | gene=PVW1_010022400 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GR28] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GR28] | location=CAJZCX010000016:781770-782432(-) | protein_length=220 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472220.1         -            216 14061at5820          -            352   2.9e-05   22.0   0.2   1   1   3.6e-08   3.6e-05   21.6   0.2    17   132    34   154    27   184 0.81 | transcript=PVW1_140040000_t1 | gene=PVW1_140040000 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKM7] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKM7] | location=CAJZCX010000003:1512377-1513027(+) | protein_length=216 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474019.1         -            195 14061at5820          -            352    0.0003   18.6   0.0   1   1   3.5e-07   0.00035   18.4   0.0    38   152    36   158    24   187 0.83 | transcript=PVW1_120083000_t1 | gene=PVW1_120083000 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2H5] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2H5] | location=CAJZCX010000004:3316129-3316716(-) | protein_length=195 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484892.1         -            283 14061at5820          -            352     0.041   11.6  58.3   1   1   5.6e-05     0.057   11.1  58.3   169   328    50   224    37   246 0.61 | transcript=PVW1_010015200_t1 | gene=PVW1_010015200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:496374-497225(-) | protein_length=283 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484047.1         -            292 14061at5820          -            352      0.64    7.7  23.8   1   1   0.00085      0.86    7.2  23.8   198   286    61   147    35   168 0.67 | transcript=PVW1_020015900_t1 | gene=PVW1_020015900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:491857-492735(-) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14061at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14061at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14061at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:21 2026
# [ok]
