#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479303.1         -            894 3773at5820           -            743         0 1244.9   8.9   1   1         0         0 1244.3   8.9     1   742     1   873     1   874 0.83 | transcript=PVW1_080040000_t1 | gene=PVW1_080040000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1501411-1504095(-) | protein_length=894 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479891.1         -            231 3773at5820           -            743   6.7e-06   23.1   0.0   1   1   2.1e-08     1e-05   22.5   0.0   344   446     7   107     2   114 0.73 | transcript=PVW1_050027300_t1 | gene=PVW1_050027300 | organism=Plasmodium_vivax_PvW1 | gene_product=GTP:AMP phosphotransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN5] | transcript_product=GTP:AMP phosphotransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN5] | location=CAJZCX010000010:925796-926491(-) | protein_length=231 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478794.1         -            242 3773at5820           -            743   1.4e-05   22.0   0.1   1   2     3e-08   1.4e-05   22.0   0.1   345   445    30   124    19   137 0.83 | transcript=PVW1_080014200_t1 | gene=PVW1_080014200 | organism=Plasmodium_vivax_PvW1 | gene_product=ADK_lid domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBG6] | transcript_product=ADK_lid domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBG6] | location=CAJZCX010000009:459199-460198(-) | protein_length=242 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478794.1         -            242 3773at5820           -            743   1.4e-05   22.0   0.1   2   2       1.4   6.8e+02   -3.4   0.3   666   705   181   220   176   225 0.59 | transcript=PVW1_080014200_t1 | gene=PVW1_080014200 | organism=Plasmodium_vivax_PvW1 | gene_product=ADK_lid domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBG6] | transcript_product=ADK_lid domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBG6] | location=CAJZCX010000009:459199-460198(-) | protein_length=242 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484907.1         -           1089 3773at5820           -            743    0.0044   13.8   0.6   1   2     0.014       6.7    3.2   0.1   346   370   513   537   499   568 0.85 | transcript=PVW1_010015500_t1 | gene=PVW1_010015500 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | location=CAJZCX010000016:501194-504463(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484907.1         -           1089 3773at5820           -            743    0.0044   13.8   0.6   2   2   0.00043       0.2    8.3   0.1   337   375   824   862   818   867 0.86 | transcript=PVW1_010015500_t1 | gene=PVW1_010015500 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | location=CAJZCX010000016:501194-504463(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480603.1         -            409 3773at5820           -            743    0.0055   13.4   1.1   1   1   1.7e-05    0.0078   12.9   1.1   457   493    77   113    23   152 0.48 | transcript=PVW1_070028500_t1 | gene=PVW1_070028500 | organism=Plasmodium_vivax_PvW1 | gene_product=BPL/LPL catalytic domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZTX2] | transcript_product=BPL/LPL catalytic domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZTX2] | location=CAJZCX010000011:1042113-1043342(+) | protein_length=409 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482548.1         -           1615 3773at5820           -            743      0.29    7.7  17.2   1   1     0.001      0.47    7.1  17.2   437   506  1289  1359  1280  1382 0.42 | transcript=PVW1_040019100_t1 | gene=PVW1_040019100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:614717-619564(-) | protein_length=1615 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472562.1         -            400 3773at5820           -            743       0.3    7.7  27.7   1   2    0.0034       1.6    5.3   4.1   425   502    50   132     2   193 0.55 | transcript=PVW1_140072700_t1 | gene=PVW1_140072700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2885109-2886834(+) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472562.1         -            400 3773at5820           -            743       0.3    7.7  27.7   2   2   0.00035      0.17    8.6  15.8   460   517   246   313   224   352 0.49 | transcript=PVW1_140072700_t1 | gene=PVW1_140072700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2885109-2886834(+) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475019.1         -            143 3773at5820           -            743      0.67    6.5  13.1   1   1    0.0016      0.74    6.4  13.1   452   517    52   112    21   134 0.36 | transcript=PVW1_100048700_t1 | gene=PVW1_100048700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1989656-1990346(+) | protein_length=143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480002.1         -            294 3773at5820           -            743       1.1    5.9  15.8   1   1     0.003       1.4    5.5  15.8   437   529    25   120    19   189 0.53 | transcript=PVW1_050037400_t1 | gene=PVW1_050037400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1385547-1386567(-) | protein_length=294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478226.1         -            483 3773at5820           -            743       1.4    5.5   8.0   1   3     0.018       8.2    2.9   2.8   154   188    20    58     4   127 0.79 | transcript=PVW1_110051600_t1 | gene=PVW1_110051600 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial chaperone BCS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I8] | transcript_product=Mitochondrial chaperone BCS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I8] | location=CAJZCX010000008:1981119-1982570(-) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478226.1         -            483 3773at5820           -            743       1.4    5.5   8.0   2   3      0.35   1.6e+02   -1.3   0.1   602   624   171   193   133   201 0.64 | transcript=PVW1_110051600_t1 | gene=PVW1_110051600 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial chaperone BCS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I8] | transcript_product=Mitochondrial chaperone BCS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I8] | location=CAJZCX010000008:1981119-1982570(-) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478226.1         -            483 3773at5820           -            743       1.4    5.5   8.0   3   3    0.0066       3.1    4.4   0.0   347   376   258   287   224   298 0.91 | transcript=PVW1_110051600_t1 | gene=PVW1_110051600 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial chaperone BCS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I8] | transcript_product=Mitochondrial chaperone BCS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I8] | location=CAJZCX010000008:1981119-1982570(-) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472226.1         -            194 3773at5820           -            743       1.4    5.5   8.5   1   1    0.0036       1.7    5.2   8.5   445   520    68   144    53   171 0.41 | transcript=PVW1_140040600_t1 | gene=PVW1_140040600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1526981-1527565(+) | protein_length=194 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477760.1         -             82 3773at5820           -            743       8.6    2.9   6.7   1   1     0.021       9.6    2.7   6.7   453   496    24    67    12    78 0.36 | transcript=PVW1_110025700_t1 | gene=PVW1_110025700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:900530-900778(+) | protein_length=82 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482540.1         -             80 3773at5820           -            743       9.8    2.7   7.2   1   1     0.023        11    2.6   7.2   470   520    15    66     2    75 0.25 | transcript=PVW1_040018900_t1 | gene=PVW1_040018900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:610355-610879(+) | protein_length=80 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3773at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3773at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3773at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:38 2026
# [ok]
