#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9482620.1         -           2215 252at5820            -           1874         0 3096.0  74.0   1   1         0         0 3092.1  74.0     8  1874     7  2207     1  2207 0.93 | transcript=PVW1_040022300_t1 | gene=PVW1_040022300 | organism=Plasmodium_vivax_PvW1 | gene_product=Transmission-blocking target antigen s230 paralog, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSW9] | transcript_product=Transmission-blocking target antigen s230 paralog, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSW9] | location=CAJZCX010000013:738122-744769(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 252at5820            -           1874   1.2e-75  253.1 107.8   1   7   1.6e-14     2e-11   40.2  30.0   884  1404   259   827   250   836 0.65 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 252at5820            -           1874   1.2e-75  253.1 107.8   2   7   6.3e-18   7.7e-15   51.5  32.8   547  1142   566  1198   557  1204 0.71 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 252at5820            -           1874   1.2e-75  253.1 107.8   3   7    0.0028       3.4    2.9   0.1   550   597  1356  1405  1299  1428 0.74 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 252at5820            -           1874   1.2e-75  253.1 107.8   4   7   3.1e-17   3.8e-14   49.2   6.4   938  1160  1452  1675  1436  1704 0.77 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 252at5820            -           1874   1.2e-75  253.1 107.8   5   7   2.6e-07   0.00031   16.3   0.1   383  1789  1791  1888  1753  1897 0.54 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 252at5820            -           1874   1.2e-75  253.1 107.8   6   7   4.3e-23   5.3e-20   68.6  16.9   939  1177  2190  2452  2077  2508 0.73 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 252at5820            -           1874   1.2e-75  253.1 107.8   7   7   1.7e-17     2e-14   50.1   7.8  1631  1851  2474  2705  2445  2724 0.68 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478044.1         -            431 252at5820            -           1874   5.3e-15   52.0   0.1   1   3     0.001       1.3    4.3   0.0  1509  1606    61   151    54   163 0.70 | transcript=PVW1_110042100_t1 | gene=PVW1_110042100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1583594-1584889(+) | protein_length=431 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478044.1         -            431 252at5820            -           1874   5.3e-15   52.0   0.1   2   3   4.4e-09   5.3e-06   22.1   0.1  1666  1736   152   220   147   228 0.79 | transcript=PVW1_110042100_t1 | gene=PVW1_110042100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1583594-1584889(+) | protein_length=431 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478044.1         -            431 252at5820            -           1874   5.3e-15   52.0   0.1   3   3   3.2e-09   3.9e-06   22.6   0.0  1755  1839   306   393   300   411 0.81 | transcript=PVW1_110042100_t1 | gene=PVW1_110042100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1583594-1584889(+) | protein_length=431 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
