#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9478794.1         -            242 11192at5820          -            221  4.8e-141  466.0   5.4   1   1  4.5e-144  5.4e-141  465.9   5.4     1   221     9   240     9   240 0.97 | transcript=PVW1_080014200_t1 | gene=PVW1_080014200 | organism=Plasmodium_vivax_PvW1 | gene_product=ADK_lid domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBG6] | transcript_product=ADK_lid domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBG6] | location=CAJZCX010000009:459199-460198(-) | protein_length=242 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479891.1         -            231 11192at5820          -            221   3.1e-23   80.8   0.7   1   1   3.7e-26   4.6e-23   80.3   0.7    22   202     8   206     2   219 0.76 | transcript=PVW1_050027300_t1 | gene=PVW1_050027300 | organism=Plasmodium_vivax_PvW1 | gene_product=GTP:AMP phosphotransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN5] | transcript_product=GTP:AMP phosphotransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN5] | location=CAJZCX010000010:925796-926491(-) | protein_length=231 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483933.1         -            373 11192at5820          -            221   6.9e-14   50.3   5.3   1   3   7.5e-10   9.1e-07   27.0   0.2    24    79   108   172    96   224 0.75 | transcript=PVW1_020011300_t1 | gene=PVW1_020011300 | organism=Plasmodium_vivax_PvW1 | gene_product=UMP-CMP kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6S4] | transcript_product=UMP-CMP kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6S4] | location=CAJZCX010000015:331042-332713(+) | protein_length=373 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483933.1         -            373 11192at5820          -            221   6.9e-14   50.3   5.3   2   3   0.00046      0.56    8.1   0.1    59   109   231   281   198   315 0.62 | transcript=PVW1_020011300_t1 | gene=PVW1_020011300 | organism=Plasmodium_vivax_PvW1 | gene_product=UMP-CMP kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6S4] | transcript_product=UMP-CMP kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6S4] | location=CAJZCX010000015:331042-332713(+) | protein_length=373 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483933.1         -            373 11192at5820          -            221   6.9e-14   50.3   5.3   3   3   8.6e-07     0.001   17.0   0.1   168   210   315   357   299   366 0.84 | transcript=PVW1_020011300_t1 | gene=PVW1_020011300 | organism=Plasmodium_vivax_PvW1 | gene_product=UMP-CMP kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6S4] | transcript_product=UMP-CMP kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6S4] | location=CAJZCX010000015:331042-332713(+) | protein_length=373 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479847.1         -            259 11192at5820          -            221   2.7e-06   25.5   0.2   1   2   7.6e-07   0.00093   17.2   0.1    22   140     9   148     2   161 0.73 | transcript=PVW1_050023500_t1 | gene=PVW1_050023500 | organism=Plasmodium_vivax_PvW1 | gene_product=Adenylate kinase 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTM0] | transcript_product=Adenylate kinase 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTM0] | location=CAJZCX010000010:801046-801825(-) | protein_length=259 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479847.1         -            259 11192at5820          -            221   2.7e-06   25.5   0.2   2   2    0.0075       9.1    4.1   0.0   163   196   191   227   178   236 0.78 | transcript=PVW1_050023500_t1 | gene=PVW1_050023500 | organism=Plasmodium_vivax_PvW1 | gene_product=Adenylate kinase 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTM0] | transcript_product=Adenylate kinase 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTM0] | location=CAJZCX010000010:801046-801825(-) | protein_length=259 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479303.1         -            894 11192at5820          -            221   0.00046   18.2   0.2   1   3      0.71   8.6e+02   -2.4   0.0    21    55   420   454   407   462 0.69 | transcript=PVW1_080040000_t1 | gene=PVW1_080040000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1501411-1504095(-) | protein_length=894 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479303.1         -            894 11192at5820          -            221   0.00046   18.2   0.2   2   3   1.2e-05     0.015   13.2   0.0    75   108   514   548   496   553 0.89 | transcript=PVW1_080040000_t1 | gene=PVW1_080040000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1501411-1504095(-) | protein_length=894 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479303.1         -            894 11192at5820          -            221   0.00046   18.2   0.2   3   3     0.046        55    1.5   0.1   161   203   794   836   786   850 0.76 | transcript=PVW1_080040000_t1 | gene=PVW1_080040000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1501411-1504095(-) | protein_length=894 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
