#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9484288.1         -           1312 1802at5820           -            635         0 1015.3 101.4   1   4     1e-18   5.7e-16   56.7   0.5     7    68    40   110    35   118 0.86 | transcript=PVW1_020023600_t1 | gene=PVW1_020023600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:835493-839431(+) | protein_length=1312 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484288.1         -           1312 1802at5820           -            635         0 1015.3 101.4   2   4   1.9e-25   1.1e-22   78.9   0.1    62   129   218   286   199   300 0.92 | transcript=PVW1_020023600_t1 | gene=PVW1_020023600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:835493-839431(+) | protein_length=1312 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484288.1         -           1312 1802at5820           -            635         0 1015.3 101.4   3   4   2.4e-25   1.3e-22   78.6  40.9   124   222   709   821   702   831 0.81 | transcript=PVW1_020023600_t1 | gene=PVW1_020023600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:835493-839431(+) | protein_length=1312 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484288.1         -           1312 1802at5820           -            635         0 1015.3 101.4   4   4  2.6e-256  1.5e-253  841.6  41.9   210   635   843  1312   825  1312 0.93 | transcript=PVW1_020023600_t1 | gene=PVW1_020023600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:835493-839431(+) | protein_length=1312 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472292.1         -           2887 1802at5820           -            635     5e-14   50.2   0.4   1   2   9.1e-17     5e-14   50.2   0.4   321   391  1896  1966  1867  1987 0.86 | transcript=PVW1_140046800_t1 | gene=PVW1_140046800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1793790-1802453(+) | protein_length=2887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472292.1         -           2887 1802at5820           -            635     5e-14   50.2   0.4   2   2   0.00013     0.073   10.1   5.7   525   613  2788  2875  2778  2884 0.83 | transcript=PVW1_140046800_t1 | gene=PVW1_140046800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1793790-1802453(+) | protein_length=2887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477175.1         -           2824 1802at5820           -            635   3.4e-13   47.5  11.7   1   6   6.2e-16   3.4e-13   47.5  11.7   251   470   105   335    82   340 0.71 | transcript=PVW1_090044600_t1 | gene=PVW1_090044600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1753372-1762193(-) | protein_length=2824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477175.1         -           2824 1802at5820           -            635   3.4e-13   47.5  11.7   2   6       1.8     1e+03   -3.6   1.3   131   176  1070  1115  1049  1181 0.46 | transcript=PVW1_090044600_t1 | gene=PVW1_090044600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1753372-1762193(-) | protein_length=2824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477175.1         -           2824 1802at5820           -            635   3.4e-13   47.5  11.7   3   6       8.7   4.8e+03   -5.8  11.6   114   205  1433  1533  1374  1559 0.53 | transcript=PVW1_090044600_t1 | gene=PVW1_090044600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1753372-1762193(-) | protein_length=2824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477175.1         -           2824 1802at5820           -            635   3.4e-13   47.5  11.7   4   6     0.016       8.6    3.2   0.0   322   437  1934  1967  1907  2007 0.60 | transcript=PVW1_090044600_t1 | gene=PVW1_090044600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1753372-1762193(-) | protein_length=2824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477175.1         -           2824 1802at5820           -            635   3.4e-13   47.5  11.7   5   6      0.68   3.8e+02   -2.2   5.0   138   287  2413  2560  2394  2575 0.72 | transcript=PVW1_090044600_t1 | gene=PVW1_090044600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1753372-1762193(-) | protein_length=2824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
