#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472300.1         -            440 8774at5820           -            361    9e-199  658.2  31.2   1   2   4.3e-10   8.8e-07   26.5   5.0     1    70     1    79     1    95 0.85 | transcript=PVW1_140047600_t1 | gene=PVW1_140047600 | organism=Plasmodium_vivax_PvW1 | gene_product=cAMP-dependent protein kinase regulatory subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H586] | transcript_product=cAMP-dependent protein kinase regulatory subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H586] | location=CAJZCX010000003:1850353-1852586(-) | protein_length=440 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472300.1         -            440 8774at5820           -            361    9e-199  658.2  31.2   2   2  9.7e-196    2e-192  637.3  18.7    37   361   100   440    83   440 0.94 | transcript=PVW1_140047600_t1 | gene=PVW1_140047600 | organism=Plasmodium_vivax_PvW1 | gene_product=cAMP-dependent protein kinase regulatory subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H586] | transcript_product=cAMP-dependent protein kinase regulatory subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H586] | location=CAJZCX010000003:1850353-1852586(-) | protein_length=440 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475575.1         -            854 8774at5820           -            361   9.1e-51  171.3  11.7   1   3   4.3e-36   8.6e-33  112.1   3.3    54   342     2   287     1   296 0.88 | transcript=PVW1_130019800_t1 | gene=PVW1_130019800 | organism=Plasmodium_vivax_PvW1 | gene_product=cGMP-dependent protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIH0] | transcript_product=cGMP-dependent protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIH0] | location=CAJZCX010000006:663083-666911(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475575.1         -            854 8774at5820           -            361   9.1e-51  171.3  11.7   2   3   2.6e-05     0.052   10.8   0.4   254   332   319   398   287   417 0.75 | transcript=PVW1_130019800_t1 | gene=PVW1_130019800 | organism=Plasmodium_vivax_PvW1 | gene_product=cGMP-dependent protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIH0] | transcript_product=cGMP-dependent protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIH0] | location=CAJZCX010000006:663083-666911(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475575.1         -            854 8774at5820           -            361   9.1e-51  171.3  11.7   3   3   3.1e-18   6.2e-15   53.4   0.1   106   216   412   519   400   526 0.85 | transcript=PVW1_130019800_t1 | gene=PVW1_130019800 | organism=Plasmodium_vivax_PvW1 | gene_product=cGMP-dependent protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIH0] | transcript_product=cGMP-dependent protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIH0] | location=CAJZCX010000006:663083-666911(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476027.1         -           3341 8774at5820           -            361   3.8e-27   93.5  51.0   1   7         3   6.1e+03   -6.4  10.2    29    73   732   777   713   855 0.69 | transcript=PVW1_130037900_t1 | gene=PVW1_130037900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1416957-1428001(-) | protein_length=3341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476027.1         -           3341 8774at5820           -            361   3.8e-27   93.5  51.0   2   7      0.33   6.7e+02   -2.7   0.1   102   145  1800  1843  1787  1851 0.81 | transcript=PVW1_130037900_t1 | gene=PVW1_130037900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1416957-1428001(-) | protein_length=3341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476027.1         -           3341 8774at5820           -            361   3.8e-27   93.5  51.0   3   7   4.9e-08   9.9e-05   19.8   0.5   133   222  1965  2054  1889  2074 0.79 | transcript=PVW1_130037900_t1 | gene=PVW1_130037900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1416957-1428001(-) | protein_length=3341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476027.1         -           3341 8774at5820           -            361   3.8e-27   93.5  51.0   4   7   2.7e-07   0.00054   17.4   0.7   120   213  2207  2302  2171  2317 0.83 | transcript=PVW1_130037900_t1 | gene=PVW1_130037900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1416957-1428001(-) | protein_length=3341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476027.1         -           3341 8774at5820           -            361   3.8e-27   93.5  51.0   5   7    0.0026       5.3    4.2   3.7    93   173  2332  2409  2318  2419 0.87 | transcript=PVW1_130037900_t1 | gene=PVW1_130037900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1416957-1428001(-) | protein_length=3341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476027.1         -           3341 8774at5820           -            361   3.8e-27   93.5  51.0   6   7   1.9e-08   3.8e-05   21.2   0.0   291   337  2441  2487  2430  2500 0.77 | transcript=PVW1_130037900_t1 | gene=PVW1_130037900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1416957-1428001(-) | protein_length=3341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476027.1         -           3341 8774at5820           -            361   3.8e-27   93.5  51.0   7   7   1.5e-20     3e-17   61.0   1.0   199   348  3049  3211  2939  3222 0.77 | transcript=PVW1_130037900_t1 | gene=PVW1_130037900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1416957-1428001(-) | protein_length=3341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8774at5820.hmm
