#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479880.1         -            636 5642at5820           -            463    2e-281  932.1  32.6   1   3       1.3   1.6e+03   -4.0   3.2   129   153    39    63    28    70 0.79 | transcript=PVW1_050026400_t1 | gene=PVW1_050026400 | organism=Plasmodium_vivax_PvW1 | gene_product=GTP-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN4] | transcript_product=GTP-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN4] | location=CAJZCX010000010:896002-897912(+) | protein_length=636 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479880.1         -            636 5642at5820           -            463    2e-281  932.1  32.6   2   3   2.5e-05      0.03   11.6   0.1     1    21   100   120   100   124 0.89 | transcript=PVW1_050026400_t1 | gene=PVW1_050026400 | organism=Plasmodium_vivax_PvW1 | gene_product=GTP-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN4] | transcript_product=GTP-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN4] | location=CAJZCX010000010:896002-897912(+) | protein_length=636 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479880.1         -            636 5642at5820           -            463    2e-281  932.1  32.6   3   3  4.7e-284  5.8e-281  930.5  28.9    20   463   182   635   175   635 0.97 | transcript=PVW1_050026400_t1 | gene=PVW1_050026400 | organism=Plasmodium_vivax_PvW1 | gene_product=GTP-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN4] | transcript_product=GTP-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN4] | location=CAJZCX010000010:896002-897912(+) | protein_length=636 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478042.1         -            713 5642at5820           -            463   1.3e-15   55.6   1.7   1   2      0.92   1.1e+03   -3.5   0.0   229   249    49    70    39    75 0.76 | transcript=PVW1_110042000_t1 | gene=PVW1_110042000 | organism=Plasmodium_vivax_PvW1 | gene_product=OBG-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFL2] | transcript_product=OBG-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFL2] | location=CAJZCX010000008:1578912-1581053(-) | protein_length=713 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478042.1         -            713 5642at5820           -            463   1.3e-15   55.6   1.7   2   2   1.1e-18   1.3e-15   55.6   1.7   272   411   161   293   102   321 0.86 | transcript=PVW1_110042000_t1 | gene=PVW1_110042000 | organism=Plasmodium_vivax_PvW1 | gene_product=OBG-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFL2] | transcript_product=OBG-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFL2] | location=CAJZCX010000008:1578912-1581053(-) | protein_length=713 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477670.1         -            367 5642at5820           -            463     1e-08   32.9   0.7   1   2   1.6e-11     2e-08   32.0   0.0   283   352    63   128    49   169 0.82 | transcript=PVW1_110018500_t1 | gene=PVW1_110018500 | organism=Plasmodium_vivax_PvW1 | gene_product=GTP-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF10] | transcript_product=GTP-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF10] | location=CAJZCX010000008:590712-593838(+) | protein_length=367 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477670.1         -            367 5642at5820           -            463     1e-08   32.9   0.7   2   2      0.22   2.6e+02   -1.4   0.2   252   268   265   282   210   334 0.61 | transcript=PVW1_110018500_t1 | gene=PVW1_110018500 | organism=Plasmodium_vivax_PvW1 | gene_product=GTP-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF10] | transcript_product=GTP-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF10] | location=CAJZCX010000008:590712-593838(+) | protein_length=367 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476197.1         -            564 5642at5820           -            463   4.6e-08   30.8   0.1   1   2   3.8e-11   4.6e-08   30.8   0.1   272   323   213   264   206   275 0.86 | transcript=PVW1_130043700_t1 | gene=PVW1_130043700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1688099-1689793(-) | protein_length=564 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476197.1         -            564 5642at5820           -            463   4.6e-08   30.8   0.1   2   2      0.25     3e+02   -1.6   4.1   335   413   335   412   325   468 0.48 | transcript=PVW1_130043700_t1 | gene=PVW1_130043700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1688099-1689793(-) | protein_length=564 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474825.1         -            365 5642at5820           -            463   1.1e-06   26.3   0.5   1   2   1.5e-09   1.8e-06   25.5   0.0   283   350    64   127    55   158 0.80 | transcript=PVW1_100033600_t1 | gene=PVW1_100033600 | organism=Plasmodium_vivax_PvW1 | gene_product=Ribosome-interacting GTPase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDY6] | transcript_product=Ribosome-interacting GTPase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDY6] | location=CAJZCX010000005:1333224-1334321(+) | protein_length=365 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474825.1         -            365 5642at5820           -            463   1.1e-06   26.3   0.5   2   2      0.76   9.2e+02   -3.2   0.3   122   153   181   212   177   220 0.66 | transcript=PVW1_100033600_t1 | gene=PVW1_100033600 | organism=Plasmodium_vivax_PvW1 | gene_product=Ribosome-interacting GTPase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDY6] | transcript_product=Ribosome-interacting GTPase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDY6] | location=CAJZCX010000005:1333224-1334321(+) | protein_length=365 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
