#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476723.1         -            240 11393at5820          -            175  4.9e-105  347.6   7.7   1   1  1.4e-107  6.3e-105  347.3   7.7    13   174    78   239    72   240 0.98 | transcript=PVW1_090020800_t1 | gene=PVW1_090020800 | organism=Plasmodium_vivax_PvW1 | gene_product=AP2/ERF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCL8] | transcript_product=AP2/ERF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCL8] | location=CAJZCX010000007:743118-744321(+) | protein_length=240 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478762.1         -           1380 11393at5820          -            175     1e-09   37.2   3.2   1   3   3.4e-05     0.015   13.9   0.2   114   169   407   462   372   472 0.74 | transcript=PVW1_080012700_t1 | gene=PVW1_080012700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:363382-367524(-) | protein_length=1380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478762.1         -           1380 11393at5820          -            175     1e-09   37.2   3.2   2   3   1.7e-05    0.0074   14.9   0.0    63   104   620   661   607   678 0.88 | transcript=PVW1_080012700_t1 | gene=PVW1_080012700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:363382-367524(-) | protein_length=1380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478762.1         -           1380 11393at5820          -            175     1e-09   37.2   3.2   3   3     0.013       5.7    5.5   0.0   118   171   776   832   715   836 0.86 | transcript=PVW1_080012700_t1 | gene=PVW1_080012700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:363382-367524(-) | protein_length=1380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474931.1         -           2440 11393at5820          -            175   6.6e-08   31.3   8.8   1   2   6.6e-07   0.00029   19.5   0.7    62   115  1029  1084  1002  1100 0.79 | transcript=PVW1_100041300_t1 | gene=PVW1_100041300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1673798-1681120(+) | protein_length=2440 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474931.1         -           2440 11393at5820          -            175   6.6e-08   31.3   8.8   2   2   8.2e-06    0.0036   15.9   0.7    63   120  1937  1995  1926  2009 0.82 | transcript=PVW1_100041300_t1 | gene=PVW1_100041300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1673798-1681120(+) | protein_length=2440 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472469.1         -           2438 11393at5820          -            175   1.2e-06   27.3   0.6   1   2   1.9e-06   0.00083   18.0   0.0   124   169  2102  2147  2091  2153 0.90 | transcript=PVW1_140063800_t1 | gene=PVW1_140063800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2553507-2560823(+) | protein_length=2438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472469.1         -           2438 11393at5820          -            175   1.2e-06   27.3   0.6   2   2    0.0052       2.3    6.8   0.1   125   170  2202  2249  2155  2260 0.72 | transcript=PVW1_140063800_t1 | gene=PVW1_140063800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2553507-2560823(+) | protein_length=2438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472292.1         -           2887 11393at5820          -            175     3e-05   22.7   0.4   1   1   1.7e-07   7.3e-05   21.4   0.4   111   172  1901  1962  1889  1965 0.90 | transcript=PVW1_140046800_t1 | gene=PVW1_140046800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1793790-1802453(+) | protein_length=2887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483166.1         -           3546 11393at5820          -            175   0.00062   18.4   4.5   1   2   2.6e-05     0.011   14.3   0.7    67   107   906   947   884   954 0.83 | transcript=PVW1_030010500_t1 | gene=PVW1_030010500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:279116-289898(-) | protein_length=3546 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483166.1         -           3546 11393at5820          -            175   0.00062   18.4   4.5   2   2     0.028        12    4.5   0.2   124   172  1908  1952  1895  1958 0.83 | transcript=PVW1_030010500_t1 | gene=PVW1_030010500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:279116-289898(-) | protein_length=3546 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474917.1         -           1427 11393at5820          -            175   0.00078   18.1  10.1   1   4     0.087        38    2.8   0.0   129   166   343   379   324   387 0.83 | transcript=PVW1_100040200_t1 | gene=PVW1_100040200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1628029-1632312(+) | protein_length=1427 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474917.1         -           1427 11393at5820          -            175   0.00078   18.1  10.1   2   4    0.0064       2.8    6.5   0.0    72   103   815   846   808   869 0.86 | transcript=PVW1_100040200_t1 | gene=PVW1_100040200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1628029-1632312(+) | protein_length=1427 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
