#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480425.1         -            910 2619at5820           -            622         0 1219.3  32.5   1   3  1.4e-170  4.4e-168  558.9  11.0     1   281   188   469   188   498 0.96 | transcript=PVW1_070016700_t1 | gene=PVW1_070016700 | organism=Plasmodium_vivax_PvW1 | gene_product=Translation factor GUF1 homolog, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV15] | transcript_product=Translation factor GUF1 homolog, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV15] | location=CAJZCX010000011:601498-604230(+) | protein_length=910 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480425.1         -            910 2619at5820           -            622         0 1219.3  32.5   2   3   2.1e-73   6.8e-71  237.9   0.2   277   406   506   635   504   638 0.98 | transcript=PVW1_070016700_t1 | gene=PVW1_070016700 | organism=Plasmodium_vivax_PvW1 | gene_product=Translation factor GUF1 homolog, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV15] | transcript_product=Translation factor GUF1 homolog, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV15] | location=CAJZCX010000011:601498-604230(+) | protein_length=910 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480425.1         -            910 2619at5820           -            622         0 1219.3  32.5   3   3  3.5e-132  1.1e-129  432.0   8.4   408   622   693   908   690   908 0.99 | transcript=PVW1_070016700_t1 | gene=PVW1_070016700 | organism=Plasmodium_vivax_PvW1 | gene_product=Translation factor GUF1 homolog, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV15] | transcript_product=Translation factor GUF1 homolog, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV15] | location=CAJZCX010000011:601498-604230(+) | protein_length=910 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472400.1         -            775 2619at5820           -            622   1.6e-36  124.3  12.5   1   4     4e-30   1.3e-27   94.9   0.1     2   137    39   184    38   214 0.84 | transcript=PVW1_140057500_t1 | gene=PVW1_140057500 | organism=Plasmodium_vivax_PvW1 | gene_product=Elongation factor G, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5E7] | transcript_product=Elongation factor G, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5E7] | location=CAJZCX010000003:2285118-2287445(-) | protein_length=775 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472400.1         -            775 2619at5820           -            622   1.6e-36  124.3  12.5   2   4      0.11        34    1.0   0.1   189   252   394   458   384   463 0.82 | transcript=PVW1_140057500_t1 | gene=PVW1_140057500 | organism=Plasmodium_vivax_PvW1 | gene_product=Elongation factor G, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5E7] | transcript_product=Elongation factor G, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5E7] | location=CAJZCX010000003:2285118-2287445(-) | protein_length=775 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472400.1         -            775 2619at5820           -            622   1.6e-36  124.3  12.5   3   4   5.2e-06    0.0017   15.3   0.2   293   379   482   565   473   581 0.80 | transcript=PVW1_140057500_t1 | gene=PVW1_140057500 | organism=Plasmodium_vivax_PvW1 | gene_product=Elongation factor G, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5E7] | transcript_product=Elongation factor G, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5E7] | location=CAJZCX010000003:2285118-2287445(-) | protein_length=775 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472400.1         -            775 2619at5820           -            622   1.6e-36  124.3  12.5   4   4   3.8e-07   0.00012   19.0   0.6   420   497   679   756   644   772 0.78 | transcript=PVW1_140057500_t1 | gene=PVW1_140057500 | organism=Plasmodium_vivax_PvW1 | gene_product=Elongation factor G, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5E7] | transcript_product=Elongation factor G, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5E7] | location=CAJZCX010000003:2285118-2287445(-) | protein_length=775 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478250.1         -            917 2619at5820           -            622   3.2e-29  100.2  21.6   1   4   2.9e-27   9.3e-25   85.5   1.3     2   148    97   253    96   309 0.83 | transcript=PVW1_110052400_t1 | gene=PVW1_110052400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:2007264-2010508(+) | protein_length=917 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478250.1         -            917 2619at5820           -            622   3.2e-29  100.2  21.6   2   4      0.15        49    0.5   0.1   151   191   348   389   327   396 0.73 | transcript=PVW1_110052400_t1 | gene=PVW1_110052400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:2007264-2010508(+) | protein_length=917 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478250.1         -            917 2619at5820           -            622   3.2e-29  100.2  21.6   3   4   3.1e-05      0.01   12.7   6.3   188   378   480   651   461   668 0.73 | transcript=PVW1_110052400_t1 | gene=PVW1_110052400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:2007264-2010508(+) | protein_length=917 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478250.1         -            917 2619at5820           -            622   3.2e-29  100.2  21.6   4   4   0.00059      0.19    8.5   0.0   414   494   814   894   786   909 0.80 | transcript=PVW1_110052400_t1 | gene=PVW1_110052400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:2007264-2010508(+) | protein_length=917 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472124.1         -            771 2619at5820           -            622   3.3e-27   93.5   2.6   1   3     1e-29   3.3e-27   93.5   2.6     2   148   107   253   106   305 0.83 | transcript=PVW1_140031000_t1 | gene=PVW1_140031000 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4S0] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4S0] | location=CAJZCX010000003:1127759-1130074(+) | protein_length=771 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472124.1         -            771 2619at5820           -            622   3.3e-27   93.5   2.6   2   3       0.1        33    1.1   1.5   199   254   381   441   367   556 0.71 | transcript=PVW1_140031000_t1 | gene=PVW1_140031000 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4S0] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4S0] | location=CAJZCX010000003:1127759-1130074(+) | protein_length=771 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472124.1         -            771 2619at5820           -            622   3.3e-27   93.5   2.6   3   3       1.4   4.4e+02   -2.7   0.6   172   273   592   698   567   752 0.52 | transcript=PVW1_140031000_t1 | gene=PVW1_140031000 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4S0] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4S0] | location=CAJZCX010000003:1127759-1130074(+) | protein_length=771 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472429.1         -           1101 2619at5820           -            622   9.5e-26   88.7   1.8   1   3     3e-28   9.5e-26   88.7   1.8     3   142    24   165    22   188 0.88 | transcript=PVW1_140059900_t1 | gene=PVW1_140059900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2399220-2402525(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472429.1         -           1101 2619at5820           -            622   9.5e-26   88.7   1.8   2   3      0.23        73   -0.1   0.1   198   231   463   496   446   518 0.82 | transcript=PVW1_140059900_t1 | gene=PVW1_140059900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2399220-2402525(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472429.1         -           1101 2619at5820           -            622   9.5e-26   88.7   1.8   3   3      0.04        13    2.4   1.4   297   391   648   741   620   755 0.68 | transcript=PVW1_140059900_t1 | gene=PVW1_140059900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2399220-2402525(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473830.1         -            832 2619at5820           -            622   2.2e-24   84.2   2.0   1   2   4.5e-25   1.4e-22   78.2   0.1     2   163    17   189    16   197 0.90 | transcript=PVW1_120070700_t1 | gene=PVW1_120070700 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H290] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H290] | location=CAJZCX010000004:2761777-2764275(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473830.1         -            832 2619at5820           -            622   2.2e-24   84.2   2.0   2   2     0.005       1.6    5.4   0.1   284   384   464   560   418   581 0.69 | transcript=PVW1_120070700_t1 | gene=PVW1_120070700 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H290] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H290] | location=CAJZCX010000004:2761777-2764275(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473167.1         -           1395 2619at5820           -            622   3.7e-20   70.3  25.6   1   5     2e-09   6.4e-07   26.5   0.5     2    62    11    72    10    85 0.87 | transcript=PVW1_120021100_t1 | gene=PVW1_120021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:730701-735334(+) | protein_length=1395 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473167.1         -           1395 2619at5820           -            622   3.7e-20   70.3  25.6   2   5   2.9e-17   9.4e-15   52.4   2.0    64   155   172   260   166   284 0.83 | transcript=PVW1_120021100_t1 | gene=PVW1_120021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:730701-735334(+) | protein_length=1395 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473167.1         -           1395 2619at5820           -            622   3.7e-20   70.3  25.6   3   5       0.7   2.2e+02   -1.7   0.5   125   158   317   352   306   385 0.81 | transcript=PVW1_120021100_t1 | gene=PVW1_120021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:730701-735334(+) | protein_length=1395 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473167.1         -           1395 2619at5820           -            622   3.7e-20   70.3  25.6   4   5      0.26        85   -0.3   0.3   358   419  1134  1194  1114  1205 0.77 | transcript=PVW1_120021100_t1 | gene=PVW1_120021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:730701-735334(+) | protein_length=1395 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473167.1         -           1395 2619at5820           -            622   3.7e-20   70.3  25.6   5   5    0.0031      0.98    6.1   0.1   396   473  1227  1304  1219  1330 0.83 | transcript=PVW1_120021100_t1 | gene=PVW1_120021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:730701-735334(+) | protein_length=1395 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
