#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480431.1         -           1463 2732at5820           -           1490         0 2014.2   5.2   1   1         0         0 2010.6   5.2     1  1489     1  1462     1  1463 0.93 | transcript=PVW1_070017000_t1 | gene=PVW1_070017000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:610004-614395(-) | protein_length=1463 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481683.1         -           1492 2732at5820           -           1490     6e-31  105.4  32.2   1   4   4.8e-06    0.0042   13.1   0.4    79   115    61    97    56   115 0.88 | transcript=PVW1_060021500_t1 | gene=PVW1_060021500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:695986-700464(+) | protein_length=1492 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481683.1         -           1492 2732at5820           -           1490     6e-31  105.4  32.2   2   4   1.5e-14   1.3e-11   41.3   0.7   285   499   485   701   462   789 0.73 | transcript=PVW1_060021500_t1 | gene=PVW1_060021500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:695986-700464(+) | protein_length=1492 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481683.1         -           1492 2732at5820           -           1490     6e-31  105.4  32.2   3   4   3.9e-06    0.0034   13.4  11.1   852   969   893  1013   843  1065 0.81 | transcript=PVW1_060021500_t1 | gene=PVW1_060021500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:695986-700464(+) | protein_length=1492 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481683.1         -           1492 2732at5820           -           1490     6e-31  105.4  32.2   4   4   6.9e-16     6e-13   45.7   0.7  1145  1378  1177  1387  1118  1410 0.78 | transcript=PVW1_060021500_t1 | gene=PVW1_060021500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:695986-700464(+) | protein_length=1492 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474018.1         -            340 2732at5820           -           1490      0.21    7.5  13.7   1   1    0.0003      0.26    7.2  13.7   516   653    29   172    12   218 0.53 | transcript=PVW1_120082900_t1 | gene=PVW1_120082900 | organism=Plasmodium_vivax_PvW1 | gene_product=Copper transport protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHX4] | transcript_product=Copper transport protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHX4] | location=CAJZCX010000004:3313500-3314687(-) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475381.1         -            889 2732at5820           -           1490      0.75    5.6   9.9   1   2    0.0069         6    2.6   6.7   606   671    12    76     2   137 0.66 | transcript=PVW1_130010600_t1 | gene=PVW1_130010600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:247690-250718(+) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475381.1         -            889 2732at5820           -           1490      0.75    5.6   9.9   2   2    0.0028       2.5    3.9   0.0  1054  1158   498   602   473   625 0.60 | transcript=PVW1_130010600_t1 | gene=PVW1_130010600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:247690-250718(+) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475019.1         -            143 2732at5820           -           1490       0.9    5.4  10.8   1   1    0.0011      0.96    5.3  10.8   548   625    52   132     8   134 0.70 | transcript=PVW1_100048700_t1 | gene=PVW1_100048700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1989656-1990346(+) | protein_length=143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478828.1         -            381 2732at5820           -           1490      0.99    5.2  16.1   1   1    0.0016       1.3    4.8  16.1   482   639    68   239    64   269 0.50 | transcript=PVW1_080015800_t1 | gene=PVW1_080015800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:517891-519976(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480655.1         -             99 2732at5820           -           1490       2.4    4.0  17.0   1   1    0.0026       2.3    4.0  17.0   549   612    10    59     1    92 0.36 | transcript=PVW1_070032900_t1 | gene=PVW1_070032900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1214216-1214722(+) | protein_length=99 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
