#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477762.1         -            380 7192at5820           -            334  5.2e-206  681.4  19.6   1   1  2.5e-208  6.5e-206  681.1  19.6    10   334    45   376    37   376 0.98 | transcript=PVW1_110025900_t1 | gene=PVW1_110025900 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF68] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF68] | location=CAJZCX010000008:909213-910355(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475530.1         -            421 7192at5820           -            334   4.9e-51  172.0   9.6   1   1   2.6e-53   6.9e-51  171.5   9.6    10   332    26   354    18   356 0.86 | transcript=PVW1_130018400_t1 | gene=PVW1_130018400 | organism=Plasmodium_vivax_PvW1 | gene_product=HSP40, subfamily A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIP4] | transcript_product=HSP40, subfamily A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIP4] | location=CAJZCX010000006:617512-619342(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482512.1         -            328 7192at5820           -            334   1.8e-35  120.8   5.5   1   2   2.7e-22   7.2e-20   69.5   0.8    12    80     5    78     3   109 0.81 | transcript=PVW1_040018000_t1 | gene=PVW1_040018000 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSR6] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSR6] | location=CAJZCX010000013:567066-568396(-) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482512.1         -            328 7192at5820           -            334   1.8e-35  120.8   5.5   2   2   1.7e-17   4.4e-15   53.8   0.3   207   334   188   320   148   320 0.88 | transcript=PVW1_040018000_t1 | gene=PVW1_040018000 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSR6] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSR6] | location=CAJZCX010000013:567066-568396(-) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474067.1         -            406 7192at5820           -            334   1.1e-34  118.3   7.4   1   3   8.3e-20   2.2e-17   61.4   2.7    12   102    83   181    79   190 0.77 | transcript=PVW1_120086400_t1 | gene=PVW1_120086400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI20] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI20] | location=CAJZCX010000004:3483400-3485241(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474067.1         -            406 7192at5820           -            334   1.1e-34  118.3   7.4   2   3       0.4   1.1e+02   -0.1   0.0   106   131   219   244   212   262 0.82 | transcript=PVW1_120086400_t1 | gene=PVW1_120086400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI20] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI20] | location=CAJZCX010000004:3483400-3485241(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474067.1         -            406 7192at5820           -            334   1.1e-34  118.3   7.4   3   3   1.1e-18   2.9e-16   57.7   0.0   208   334   267   398   252   398 0.90 | transcript=PVW1_120086400_t1 | gene=PVW1_120086400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI20] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI20] | location=CAJZCX010000004:3483400-3485241(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484311.1         -            420 7192at5820           -            334   3.1e-32  110.2   4.4   1   2   1.2e-18   3.1e-16   57.6   2.7    12    98    86   182    77   201 0.77 | transcript=PVW1_020024600_t1 | gene=PVW1_020024600 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRL0] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRL0] | location=CAJZCX010000015:884998-887023(-) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484311.1         -            420 7192at5820           -            334   3.1e-32  110.2   4.4   2   2   4.6e-17   1.2e-14   52.3   0.0   208   333   281   411   258   412 0.86 | transcript=PVW1_020024600_t1 | gene=PVW1_020024600 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRL0] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRL0] | location=CAJZCX010000015:884998-887023(-) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483282.1         -            654 7192at5820           -            334   5.6e-26   89.6   0.4   1   2   3.1e-16   8.1e-14   49.6   0.0    13    85    86   159    72   186 0.86 | transcript=PVW1_030015800_t1 | gene=PVW1_030015800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:522664-524628(+) | protein_length=654 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483282.1         -            654 7192at5820           -            334   5.6e-26   89.6   0.4   2   2   9.2e-13   2.4e-10   38.2   0.1   180   332   272   427   245   429 0.87 | transcript=PVW1_030015800_t1 | gene=PVW1_030015800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:522664-524628(+) | protein_length=654 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476142.1         -            381 7192at5820           -            334   3.7e-19   67.2   0.9   1   1   2.3e-21   6.1e-19   66.5   0.9    11    79    55   124    49   161 0.92 | transcript=PVW1_130041400_t1 | gene=PVW1_130041400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3Q5] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3Q5] | location=CAJZCX010000006:1601914-1603428(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476648.1         -            549 7192at5820           -            334   8.1e-18   62.8   1.9   1   1   9.6e-20   2.5e-17   61.2   1.9    12    78    35   100    31   105 0.91 | transcript=PVW1_090014600_t1 | gene=PVW1_090014600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:508668-510317(-) | protein_length=549 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474838.1         -            529 7192at5820           -            334   1.1e-16   59.1   2.1   1   2      0.53   1.4e+02   -0.5   0.1    60    89   122   152   110   174 0.75 | transcript=PVW1_100034600_t1 | gene=PVW1_100034600 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDZ6] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDZ6] | location=CAJZCX010000005:1375350-1377271(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474838.1         -            529 7192at5820           -            334   1.1e-16   59.1   2.1   2   2   4.2e-19   1.1e-16   59.1   2.1     8    81   191   262   184   268 0.88 | transcript=PVW1_100034600_t1 | gene=PVW1_100034600 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDZ6] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDZ6] | location=CAJZCX010000005:1375350-1377271(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473405.1         -            334 7192at5820           -            334   1.4e-16   58.7   0.4   1   1   8.6e-19   2.3e-16   58.0   0.4    11    73    43   108    34   173 0.84 | transcript=PVW1_120038700_t1 | gene=PVW1_120038700 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGN3] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGN3] | location=CAJZCX010000004:1403851-1405959(+) | protein_length=334 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475500.1         -            245 7192at5820           -            334     1e-15   55.9   1.5   1   1   5.6e-18   1.5e-15   55.3   1.5    11   103     6   107     1   116 0.75 | transcript=PVW1_130017400_t1 | gene=PVW1_130017400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIN1] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIN1] | location=CAJZCX010000006:572281-573923(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485005.1         -            853 7192at5820           -            334   4.6e-15   53.7   0.6   1   1   3.2e-17   8.5e-15   52.9   0.6    12    81   300   371   295   377 0.90 | transcript=PVW1_010018400_t1 | gene=PVW1_010018400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:600405-602966(+) | protein_length=853 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479710.1         -            691 7192at5820           -            334   1.2e-13   49.1   4.2   1   2   4.4e-16   1.2e-13   49.1   4.2    10    89   141   222   137   295 0.84 | transcript=PVW1_050015400_t1 | gene=PVW1_050015400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N1] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N1] | location=CAJZCX010000010:488999-491074(-) | protein_length=691 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479710.1         -            691 7192at5820           -            334   1.2e-13   49.1   4.2   2   2      0.63   1.7e+02   -0.7   0.7   212   273   406   469   339   496 0.73 | transcript=PVW1_050015400_t1 | gene=PVW1_050015400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N1] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N1] | location=CAJZCX010000010:488999-491074(-) | protein_length=691 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473544.1         -            339 7192at5820           -            334   4.3e-12   44.0   9.3   1   3   1.2e-09   3.1e-07   28.0   0.3     5    66     2    67     1    94 0.74 | transcript=PVW1_120048300_t1 | gene=PVW1_120048300 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | location=CAJZCX010000004:1816838-1817857(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473544.1         -            339 7192at5820           -            334   4.3e-12   44.0   9.3   2   3   2.7e-07     7e-05   20.3   0.1    47    79   115   147   106   164 0.87 | transcript=PVW1_120048300_t1 | gene=PVW1_120048300 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | location=CAJZCX010000004:1816838-1817857(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473544.1         -            339 7192at5820           -            334   4.3e-12   44.0   9.3   3   3      0.35        91    0.2   0.3   199   225   221   247   215   310 0.75 | transcript=PVW1_120048300_t1 | gene=PVW1_120048300 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | location=CAJZCX010000004:1816838-1817857(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478715.1         -            723 7192at5820           -            334     1e-11   42.7   2.4   1   2   3.9e-14     1e-11   42.7   2.4    12    84     9    88     2    97 0.78 | transcript=PVW1_080010600_t1 | gene=PVW1_080010600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:297773-299944(-) | protein_length=723 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
