#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477241.1         -            359 8787at5820           -            280  4.8e-148  490.2  43.0   1   2   2.8e-98   3.5e-95  316.8  25.5     1   176     6   205     6   210 0.91 | transcript=PVW1_090049700_t1 | gene=PVW1_090049700 | organism=Plasmodium_vivax_PvW1 | gene_product=ThiF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDG0] | transcript_product=ThiF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDG0] | location=CAJZCX010000007:1985487-1986566(+) | protein_length=359 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477241.1         -            359 8787at5820           -            280  4.8e-148  490.2  43.0   2   2   5.3e-53   6.4e-50  168.3   9.4   177   280   234   359   226   359 0.87 | transcript=PVW1_090049700_t1 | gene=PVW1_090049700 | organism=Plasmodium_vivax_PvW1 | gene_product=ThiF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDG0] | transcript_product=ThiF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDG0] | location=CAJZCX010000007:1985487-1986566(+) | protein_length=359 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473372.1         -           1680 8787at5820           -            280   7.7e-16   56.5  14.7   1   3     1e-16   1.2e-13   49.3   4.9     3   166   192   353   190   378 0.70 | transcript=PVW1_120035900_t1 | gene=PVW1_120035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1317091-1322133(-) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473372.1         -           1680 8787at5820           -            280   7.7e-16   56.5  14.7   2   3   5.7e-05     0.069   10.7   0.7   211   269   578   636   549   640 0.80 | transcript=PVW1_120035900_t1 | gene=PVW1_120035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1317091-1322133(-) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473372.1         -           1680 8787at5820           -            280   7.7e-16   56.5  14.7   3   3     0.071        87    0.6   0.0    10    65   655   720   648   774 0.73 | transcript=PVW1_120035900_t1 | gene=PVW1_120035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1317091-1322133(-) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472329.1         -           1143 8787at5820           -            280   2.8e-11   41.5   8.6   1   4   2.3e-14   2.8e-11   41.5   8.6     6   191    45   226    38   273 0.78 | transcript=PVW1_140050300_t1 | gene=PVW1_140050300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1969199-1973142(+) | protein_length=1143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472329.1         -           1143 8787at5820           -            280   2.8e-11   41.5   8.6   2   4   0.00076      0.92    7.1   0.1   217   256   419   458   352   471 0.75 | transcript=PVW1_140050300_t1 | gene=PVW1_140050300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1969199-1973142(+) | protein_length=1143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472329.1         -           1143 8787at5820           -            280   2.8e-11   41.5   8.6   3   4      0.91   1.1e+03   -3.1   0.1    13    76   512   583   505   630 0.59 | transcript=PVW1_140050300_t1 | gene=PVW1_140050300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1969199-1973142(+) | protein_length=1143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472329.1         -           1143 8787at5820           -            280   2.8e-11   41.5   8.6   4   4      0.55   6.6e+02   -2.3   0.4   188   254   902   973   874   975 0.57 | transcript=PVW1_140050300_t1 | gene=PVW1_140050300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1969199-1973142(+) | protein_length=1143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473143.1         -            585 8787at5820           -            280   3.3e-10   38.0   1.8   1   1     4e-13   4.8e-10   37.5   1.8     6   170     5   167     1   196 0.80 | transcript=PVW1_120019000_t1 | gene=PVW1_120019000 | organism=Plasmodium_vivax_PvW1 | gene_product=ThiF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG38] | transcript_product=ThiF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG38] | location=CAJZCX010000004:649066-650823(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479845.1         -            406 8787at5820           -            280   4.2e-05   21.3   0.4   1   2   7.2e-07   0.00087   17.0   0.1    26    72     4    51     1    85 0.83 | transcript=PVW1_050023400_t1 | gene=PVW1_050023400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:798821-800041(-) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
