#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476308.1         -            661 5150at5820           -            522    9e-303 1003.2  64.8   1   3   2.7e-22   1.1e-19   69.2   2.1     1    56     1    60     1    68 0.92 | transcript=PVW1_130052700_t1 | gene=PVW1_130052700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:2091993-2095426(+) | protein_length=661 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476308.1         -            661 5150at5820           -            522    9e-303 1003.2  64.8   2   3   2.7e-95   1.1e-92  310.1  15.3    28   206    73   252    64   260 0.92 | transcript=PVW1_130052700_t1 | gene=PVW1_130052700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:2091993-2095426(+) | protein_length=661 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476308.1         -            661 5150at5820           -            522    9e-303 1003.2  64.8   3   3    5e-194    2e-191  635.8  32.2   204   522   274   613   270   613 0.96 | transcript=PVW1_130052700_t1 | gene=PVW1_130052700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:2091993-2095426(+) | protein_length=661 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 5150at5820           -            522   3.3e-24   84.1   7.5   1   4     2e-09   8.2e-07   26.7   0.0   119   203    15    96    10   101 0.92 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 5150at5820           -            522   3.3e-24   84.1   7.5   2   4   1.9e-06   0.00076   16.9   0.6   115   198    99   178    96   187 0.89 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 5150at5820           -            522   3.3e-24   84.1   7.5   3   4   5.6e-07   0.00023   18.6   0.2   115   189   188   256   180   262 0.80 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 5150at5820           -            522   3.3e-24   84.1   7.5   4   4   1.6e-08   6.3e-06   23.7   0.1   104   198   433   523   421   531 0.85 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475964.1         -            471 5150at5820           -            522   2.1e-14   51.7   2.7   1   2   9.4e-09   3.8e-06   24.5   0.2   110   196    10    93     5   101 0.87 | transcript=PVW1_130035400_t1 | gene=PVW1_130035400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1310034-1311703(+) | protein_length=471 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475964.1         -            471 5150at5820           -            522   2.1e-14   51.7   2.7   2   2   1.1e-09   4.3e-07   27.6   0.2   119   199   106   182    96   191 0.87 | transcript=PVW1_130035400_t1 | gene=PVW1_130035400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1310034-1311703(+) | protein_length=471 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481390.1         -           1527 5150at5820           -            522   1.4e-08   32.5   1.6   1   2     0.001      0.41    7.9   0.6   103   189   312   390   289   415 0.65 | transcript=PVW1_060013500_t1 | gene=PVW1_060013500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:379938-384651(+) | protein_length=1527 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481390.1         -           1527 5150at5820           -            522   1.4e-08   32.5   1.6   2   2   2.4e-08   9.8e-06   23.1   0.0   120   197   431   509   414   516 0.92 | transcript=PVW1_060013500_t1 | gene=PVW1_060013500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:379938-384651(+) | protein_length=1527 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
