#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473143.1         -            585 8614at5820           -            406    5e-143  475.2   8.3   1   4     1e-87   1.6e-84  282.6   3.9     2   196     4   224     3   226 0.89 | transcript=PVW1_120019000_t1 | gene=PVW1_120019000 | organism=Plasmodium_vivax_PvW1 | gene_product=ThiF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG38] | transcript_product=ThiF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG38] | location=CAJZCX010000004:649066-650823(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473143.1         -            585 8614at5820           -            406    5e-143  475.2   8.3   2   4   2.9e-38   4.5e-35  119.7   0.0   197   322   257   420   252   426 0.83 | transcript=PVW1_120019000_t1 | gene=PVW1_120019000 | organism=Plasmodium_vivax_PvW1 | gene_product=ThiF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG38] | transcript_product=ThiF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG38] | location=CAJZCX010000004:649066-650823(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473143.1         -            585 8614at5820           -            406    5e-143  475.2   8.3   3   4   1.3e-05     0.019   12.3   0.0   320   354   448   486   443   489 0.81 | transcript=PVW1_120019000_t1 | gene=PVW1_120019000 | organism=Plasmodium_vivax_PvW1 | gene_product=ThiF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG38] | transcript_product=ThiF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG38] | location=CAJZCX010000004:649066-650823(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473143.1         -            585 8614at5820           -            406    5e-143  475.2   8.3   4   4   7.8e-20   1.2e-16   59.1   0.0   349   406   510   576   501   576 0.86 | transcript=PVW1_120019000_t1 | gene=PVW1_120019000 | organism=Plasmodium_vivax_PvW1 | gene_product=ThiF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG38] | transcript_product=ThiF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG38] | location=CAJZCX010000004:649066-650823(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477241.1         -            359 8614at5820           -            406   4.5e-17   60.5   6.3   1   2   2.9e-20   4.5e-17   60.5   6.3     3    93    11   105     8   164 0.89 | transcript=PVW1_090049700_t1 | gene=PVW1_090049700 | organism=Plasmodium_vivax_PvW1 | gene_product=ThiF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDG0] | transcript_product=ThiF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDG0] | location=CAJZCX010000007:1985487-1986566(+) | protein_length=359 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477241.1         -            359 8614at5820           -            406   4.5e-17   60.5   6.3   2   2      0.44   6.7e+02   -2.7   0.0   151   178   261   288   246   335 0.59 | transcript=PVW1_090049700_t1 | gene=PVW1_090049700 | organism=Plasmodium_vivax_PvW1 | gene_product=ThiF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDG0] | transcript_product=ThiF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDG0] | location=CAJZCX010000007:1985487-1986566(+) | protein_length=359 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473372.1         -           1680 8614at5820           -            406   3.3e-09   34.5  22.0   1   4   3.9e-11   5.9e-08   30.4   6.9     2   127   194   322   193   327 0.80 | transcript=PVW1_120035900_t1 | gene=PVW1_120035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1317091-1322133(-) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473372.1         -           1680 8614at5820           -            406   3.3e-09   34.5  22.0   2   4     0.088   1.3e+02   -0.4   0.1   375   405   604   634   554   635 0.68 | transcript=PVW1_120035900_t1 | gene=PVW1_120035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1317091-1322133(-) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473372.1         -           1680 8614at5820           -            406   3.3e-09   34.5  22.0   3   4   1.9e-05     0.029   11.7   0.0     6    89   654   751   650   760 0.81 | transcript=PVW1_120035900_t1 | gene=PVW1_120035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1317091-1322133(-) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473372.1         -           1680 8614at5820           -            406   3.3e-09   34.5  22.0   4   4      0.14   2.1e+02   -1.0   2.1   174   254   941  1024   917  1028 0.73 | transcript=PVW1_120035900_t1 | gene=PVW1_120035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1317091-1322133(-) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479845.1         -            406 8614at5820           -            406     0.019   12.3   0.9   1   2   3.2e-05     0.049   10.9   0.3    24    99     5    85     1   129 0.76 | transcript=PVW1_050023400_t1 | gene=PVW1_050023400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:798821-800041(-) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479845.1         -            406 8614at5820           -            406     0.019   12.3   0.9   2   2      0.16   2.5e+02   -1.3   0.0   332   393   210   270   192   276 0.67 | transcript=PVW1_050023400_t1 | gene=PVW1_050023400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:798821-800041(-) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8614at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8614at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8614at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:48 2026
# [ok]
