#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9481681.1         -            441 5959at5820           -            374    4e-225  745.0  16.3   1   1  9.2e-228  9.3e-225  743.8  16.3     1   365     1   401     1   406 0.94 | transcript=PVW1_060021400_t1 | gene=PVW1_060021400 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9W4] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9W4] | location=CAJZCX010000012:689438-690763(-) | protein_length=441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473585.1         -            443 5959at5820           -            374   2.4e-11   41.5   0.2   1   1   3.7e-14   3.8e-11   40.8   0.2   308   367   347   406   337   411 0.90 | transcript=PVW1_120050900_t1 | gene=PVW1_120050900 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1K4] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1K4] | location=CAJZCX010000004:1908001-1909501(+) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481478.1         -            446 5959at5820           -            374   2.3e-07   28.4   0.0   1   1     6e-10   6.1e-07   27.0   0.0   256   356   334   433   320   442 0.92 | transcript=PVW1_060016200_t1 | gene=PVW1_060016200 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUE0] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUE0] | location=CAJZCX010000012:495385-497395(-) | protein_length=446 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477714.1         -            976 5959at5820           -            374   0.00088   16.6   0.0   1   4     0.034        34    1.5   0.7   132   174    82   123    66   145 0.77 | transcript=PVW1_110022200_t1 | gene=PVW1_110022200 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFE5] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFE5] | location=CAJZCX010000008:744273-747203(+) | protein_length=976 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477714.1         -            976 5959at5820           -            374   0.00088   16.6   0.0   2   4       1.2   1.2e+03   -3.6   0.2   116   146   200   230   190   266 0.68 | transcript=PVW1_110022200_t1 | gene=PVW1_110022200 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFE5] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFE5] | location=CAJZCX010000008:744273-747203(+) | protein_length=976 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477714.1         -            976 5959at5820           -            374   0.00088   16.6   0.0   3   4      0.06        60    0.7   0.0   237   301   721   786   680   799 0.76 | transcript=PVW1_110022200_t1 | gene=PVW1_110022200 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFE5] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFE5] | location=CAJZCX010000008:744273-747203(+) | protein_length=976 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477714.1         -            976 5959at5820           -            374   0.00088   16.6   0.0   4   4   8.7e-07   0.00088   16.6   0.0   309   358   855   904   843   915 0.83 | transcript=PVW1_110022200_t1 | gene=PVW1_110022200 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFE5] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFE5] | location=CAJZCX010000008:744273-747203(+) | protein_length=976 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473300.1         -            635 5959at5820           -            374    0.0028   14.9   4.9   1   1   4.1e-06    0.0042   14.4   4.9   134   249   439   554   398   573 0.76 | transcript=PVW1_120031800_t1 | gene=PVW1_120031800 | organism=Plasmodium_vivax_PvW1 | gene_product=zf-C2HC5 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGP2] | transcript_product=zf-C2HC5 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGP2] | location=CAJZCX010000004:1191233-1193992(-) | protein_length=635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472336.1         -           1239 5959at5820           -            374     0.069   10.4  12.4   1   4     0.039        40    1.3   0.6   153   266   450   566   431   575 0.59 | transcript=PVW1_140051000_t1 | gene=PVW1_140051000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1997257-2000976(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472336.1         -           1239 5959at5820           -            374     0.069   10.4  12.4   2   4      0.74   7.5e+02   -2.9   0.1    64   113   649   699   634   775 0.67 | transcript=PVW1_140051000_t1 | gene=PVW1_140051000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1997257-2000976(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472336.1         -           1239 5959at5820           -            374     0.069   10.4  12.4   3   4    0.0013       1.3    6.1   0.0   244   297   900   956   880   960 0.74 | transcript=PVW1_140051000_t1 | gene=PVW1_140051000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1997257-2000976(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472336.1         -           1239 5959at5820           -            374     0.069   10.4  12.4   4   4   0.00015      0.15    9.2   0.5   307   356  1036  1085  1025  1103 0.84 | transcript=PVW1_140051000_t1 | gene=PVW1_140051000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1997257-2000976(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5959at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5959at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5959at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:15 2026
# [ok]
