#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473249.1         -            229 11171at5820          -            191  1.4e-125  414.8   1.7   1   1  4.9e-128  1.7e-125  414.5   1.7     1   185     1   185     1   208 0.97 | transcript=PVW1_120028600_t1 | gene=PVW1_120028600 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein Rab-11B, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGD4] | transcript_product=Ras-related protein Rab-11B, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGD4] | location=CAJZCX010000004:1069192-1070529(+) | protein_length=229 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472063.1         -            216 11171at5820          -            191   2.8e-61  205.0   2.5   1   1   9.5e-64   3.4e-61  204.8   2.5     1   183     3   181     1   192 0.95 | transcript=PVW1_140027700_t1 | gene=PVW1_140027700 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein Rab-11A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4P0] | transcript_product=Ras-related protein Rab-11A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4P0] | location=CAJZCX010000003:989868-991417(+) | protein_length=216 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472381.1         -            213 11171at5820          -            191   2.6e-47  159.5   0.1   1   1   8.9e-50   3.2e-47  159.2   0.1     6   181     4   173     1   183 0.96 | transcript=PVW1_140055600_t1 | gene=PVW1_140055600 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein Rab-2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL24] | transcript_product=Ras-related protein Rab-2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL24] | location=CAJZCX010000003:2198218-2199682(+) | protein_length=213 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484982.1         -            201 11171at5820          -            191   7.5e-44  148.2   1.4   1   1   2.5e-46   9.1e-44  147.9   1.4     3   178     4   174     1   183 0.94 | transcript=PVW1_010017400_t1 | gene=PVW1_010017400 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein Rab-18, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H0] | transcript_product=Ras-related protein Rab-18, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H0] | location=CAJZCX010000016:564727-565956(-) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474976.1         -            200 11171at5820          -            191   2.9e-43  146.3   1.9   1   1   9.7e-46   3.5e-43  146.0   1.9     3   179     2   173     1   185 0.95 | transcript=PVW1_100045500_t1 | gene=PVW1_100045500 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein Rab-1B, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEE0] | transcript_product=Ras-related protein Rab-1B, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEE0] | location=CAJZCX010000005:1823759-1825382(-) | protein_length=200 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477249.1         -            207 11171at5820          -            191   1.3e-41  140.9   0.2   1   1   4.5e-44   1.6e-41  140.6   0.2     9   177    11   174     5   191 0.91 | transcript=PVW1_090050100_t1 | gene=PVW1_090050100 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein Rab-6, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY97] | transcript_product=Ras-related protein Rab-6, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY97] | location=CAJZCX010000007:1995555-1996988(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474964.1         -            207 11171at5820          -            191   1.9e-41  140.3   1.1   1   1   6.7e-44   2.4e-41  140.0   1.1     3   185     6   183     4   189 0.92 | transcript=PVW1_100044300_t1 | gene=PVW1_100044300 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein Rab-1A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYT6] | transcript_product=Ras-related protein Rab-1A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYT6] | location=CAJZCX010000005:1785707-1786330(+) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484041.1         -            214 11171at5820          -            191   3.7e-36  123.1   0.5   1   1   1.2e-38   4.5e-36  122.9   0.5    10   189    28   202    19   204 0.92 | transcript=PVW1_020015700_t1 | gene=PVW1_020015700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:483471-485522(-) | protein_length=214 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471919.1         -            205 11171at5820          -            191   1.7e-32  111.2   0.1   1   1   6.4e-35   2.3e-32  110.8   0.1     5   176    28   193    24   199 0.95 | transcript=PVW1_140017800_t1 | gene=PVW1_140017800 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein Rab-5B, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4A0] | transcript_product=Ras-related protein Rab-5B, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4A0] | location=CAJZCX010000003:586822-588312(-) | protein_length=205 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480283.1         -            206 11171at5820          -            191   3.2e-29  100.5   0.1   1   1   1.1e-31   3.9e-29  100.2   0.1     7   174     6   173     1   183 0.85 | transcript=PVW1_070008100_t1 | gene=PVW1_070008100 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein RAB7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUS8] | transcript_product=Ras-related protein RAB7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUS8] | location=CAJZCX010000011:175082-177482(-) | protein_length=206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482571.1         -            245 11171at5820          -            191   4.4e-26   90.3   3.5   1   2   3.3e-05     0.012   13.8   0.0     8    52     5    49     1    56 0.92 | transcript=PVW1_040020100_t1 | gene=PVW1_040020100 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein Rab-5A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSY8] | transcript_product=Ras-related protein Rab-5A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSY8] | location=CAJZCX010000013:649939-650676(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
