#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475888.1         -            493 7062at5820           -            384  5.1e-210  695.7   4.6   1   3  3.4e-116  1.9e-113  377.8   0.1     1   213    10   245    10   249 0.94 | transcript=PVW1_130032700_t1 | gene=PVW1_130032700 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIW8] | transcript_product=Actin-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIW8] | location=CAJZCX010000006:1223664-1225145(+) | protein_length=493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475888.1         -            493 7062at5820           -            384  5.1e-210  695.7   4.6   2   3   1.2e-13   6.8e-11   40.2   0.2   213   242   275   304   271   310 0.92 | transcript=PVW1_130032700_t1 | gene=PVW1_130032700 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIW8] | transcript_product=Actin-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIW8] | location=CAJZCX010000006:1223664-1225145(+) | protein_length=493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475888.1         -            493 7062at5820           -            384  5.1e-210  695.7   4.6   3   3   1.5e-85   8.5e-83  276.9   0.0   239   384   347   493   343   493 0.98 | transcript=PVW1_130032700_t1 | gene=PVW1_130032700 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIW8] | transcript_product=Actin-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIW8] | location=CAJZCX010000006:1223664-1225145(+) | protein_length=493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472533.1         -            376 7062at5820           -            384   3.9e-54  182.6   0.0   1   1   1.8e-56   9.8e-54  181.3   0.0     5   384     2   376     1   376 0.82 | transcript=PVW1_140069700_t1 | gene=PVW1_140069700 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin II [Source:UniProtKB/TrEMBL;Acc:A0A1G4E843] | transcript_product=Actin II [Source:UniProtKB/TrEMBL;Acc:A0A1G4E843] | location=CAJZCX010000003:2784965-2786095(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476183.1         -            376 7062at5820           -            384   5.1e-51  172.3   0.0   1   1   1.9e-53     1e-50  171.3   0.0     7   384     3   376     1   376 0.82 | transcript=PVW1_130042800_t1 | gene=PVW1_130042800 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin II [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIX5] | transcript_product=Actin II [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIX5] | location=CAJZCX010000006:1651760-1653040(-) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484136.1         -            379 7062at5820           -            384   4.7e-45  152.7   0.1   1   1   1.1e-47   6.3e-45  152.3   0.1   102   383    98   378    82   379 0.90 | transcript=PVW1_020018500_t1 | gene=PVW1_020018500 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin-related protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRF7] | transcript_product=Actin-related protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRF7] | location=CAJZCX010000015:593144-595815(+) | protein_length=379 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475118.1         -            603 7062at5820           -            384     9e-42  141.9  18.9   1   3   4.8e-06    0.0027   15.2   0.0     7    52     5    50     2    64 0.87 | transcript=PVW1_100052900_t1 | gene=PVW1_100052900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2140391-2142202(-) | protein_length=603 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475118.1         -            603 7062at5820           -            384     9e-42  141.9  18.9   2   3    0.0014      0.77    7.1   0.2    42    81    66   111    51   121 0.79 | transcript=PVW1_100052900_t1 | gene=PVW1_100052900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2140391-2142202(-) | protein_length=603 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475118.1         -            603 7062at5820           -            384     9e-42  141.9  18.9   3   3   2.4e-37   1.3e-34  118.3  11.2   101   383   273   603   263   603 0.77 | transcript=PVW1_100052900_t1 | gene=PVW1_100052900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2140391-2142202(-) | protein_length=603 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476528.1         -            491 7062at5820           -            384   6.1e-37  126.0   4.4   1   2   2.4e-29   1.3e-26   91.9   0.5   101   232    97   230    41   236 0.87 | transcript=PVW1_090009500_t1 | gene=PVW1_090009500 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCJ8] | transcript_product=Actin-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCJ8] | location=CAJZCX010000007:280290-281765(+) | protein_length=491 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476528.1         -            491 7062at5820           -            384   6.1e-37  126.0   4.4   2   2   3.5e-12   1.9e-09   35.5   0.2   275   382   381   488   366   491 0.78 | transcript=PVW1_090009500_t1 | gene=PVW1_090009500 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCJ8] | transcript_product=Actin-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCJ8] | location=CAJZCX010000007:280290-281765(+) | protein_length=491 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476662.1         -            378 7062at5820           -            384   4.8e-23   80.2   0.0   1   2      0.87   4.8e+02   -2.1   0.0    10    40     4    34     2    42 0.88 | transcript=PVW1_090016000_t1 | gene=PVW1_090016000 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GX79] | transcript_product=Actin-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GX79] | location=CAJZCX010000007:567283-569129(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476662.1         -            378 7062at5820           -            384   4.8e-23   80.2   0.0   2   2   4.1e-25   2.3e-22   78.0   0.0   108   380    90   370    75   373 0.77 | transcript=PVW1_090016000_t1 | gene=PVW1_090016000 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GX79] | transcript_product=Actin-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GX79] | location=CAJZCX010000007:567283-569129(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483296.1         -            414 7062at5820           -            384   2.7e-16   58.0   5.0   1   1     8e-19   4.4e-16   57.3   5.0   103   382   116   406     9   408 0.77 | transcript=PVW1_030016300_t1 | gene=PVW1_030016300 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7F3] | transcript_product=Actin-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7F3] | location=CAJZCX010000014:538244-540393(-) | protein_length=414 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480404.1         -            586 7062at5820           -            384   2.4e-13   48.3   0.0   1   3      0.63   3.5e+02   -1.6   0.0   122   151   160   189   126   193 0.69 | transcript=PVW1_070015700_t1 | gene=PVW1_070015700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:558186-559946(+) | protein_length=586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480404.1         -            586 7062at5820           -            384   2.4e-13   48.3   0.0   2   3   6.8e-05     0.038   11.4   0.0   147   205   260   318   257   326 0.92 | transcript=PVW1_070015700_t1 | gene=PVW1_070015700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:558186-559946(+) | protein_length=586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480404.1         -            586 7062at5820           -            384   2.4e-13   48.3   0.0   3   3   1.6e-11   8.9e-09   33.3   0.0   277   379   470   575   461   578 0.90 | transcript=PVW1_070015700_t1 | gene=PVW1_070015700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:558186-559946(+) | protein_length=586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483452.1         -            854 7062at5820           -            384   3.4e-05   21.5   1.6   1   3    0.0015      0.85    7.0   0.0   104   151   103   150    88   160 0.85 | transcript=PVW1_030022200_t1 | gene=PVW1_030022200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:778907-781471(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483452.1         -            854 7062at5820           -            384   3.4e-05   21.5   1.6   2   3       1.5   8.1e+02   -2.8   0.1   152   176   451   475   431   508 0.67 | transcript=PVW1_030022200_t1 | gene=PVW1_030022200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:778907-781471(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483452.1         -            854 7062at5820           -            384   3.4e-05   21.5   1.6   3   3   2.2e-05     0.012   13.1   0.1   253   356   732   831   727   853 0.75 | transcript=PVW1_030022200_t1 | gene=PVW1_030022200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:778907-781471(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484240.1         -            565 7062at5820           -            384     0.011   13.2   4.2   1   2   0.00059      0.33    8.4   0.3   124   205   227   308   210   314 0.81 | transcript=PVW1_020021500_t1 | gene=PVW1_020021500 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H779] | transcript_product=Actin-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H779] | location=CAJZCX010000015:747472-749371(+) | protein_length=565 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484240.1         -            565 7062at5820           -            384     0.011   13.2   4.2   2   2    0.0027       1.5    6.2   0.4   231   328   407   504   383   553 0.65 | transcript=PVW1_020021500_t1 | gene=PVW1_020021500 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H779] | transcript_product=Actin-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H779] | location=CAJZCX010000015:747472-749371(+) | protein_length=565 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7062at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7062at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7062at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:43 2026
# [ok]
