#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480351.1         -            866 3584at5820           -            670         0 1121.2  37.2   1   2  2.1e-151  1.8e-148  494.3   9.8     1   304     1   345     1   372 0.84 | transcript=PVW1_070012600_t1 | gene=PVW1_070012600 | organism=Plasmodium_vivax_PvW1 | gene_product=SUI1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZTG3] | transcript_product=SUI1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZTG3] | location=CAJZCX010000011:423039-425818(+) | protein_length=866 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480351.1         -            866 3584at5820           -            670         0 1121.2  37.2   2   2  3.2e-192  2.8e-189  629.2  20.5   214   670   369   866   359   866 0.85 | transcript=PVW1_070012600_t1 | gene=PVW1_070012600 | organism=Plasmodium_vivax_PvW1 | gene_product=SUI1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZTG3] | transcript_product=SUI1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZTG3] | location=CAJZCX010000011:423039-425818(+) | protein_length=866 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474771.1         -            179 3584at5820           -            670   1.2e-08   32.2   1.3   1   1   1.8e-11   1.5e-08   31.9   1.3    35   175    35   174     8   178 0.83 | transcript=PVW1_100028400_t1 | gene=PVW1_100028400 | organism=Plasmodium_vivax_PvW1 | gene_product=PUA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE02] | transcript_product=PUA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE02] | location=CAJZCX010000005:1125679-1127208(-) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472148.1         -            270 3584at5820           -            670    0.0017   15.2   0.1   1   2       1.6   1.4e+03   -4.3  25.2   236   337     8   109     1   117 0.68 | transcript=PVW1_140033000_t1 | gene=PVW1_140033000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1197696-1199079(-) | protein_length=270 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472148.1         -            270 3584at5820           -            670    0.0017   15.2   0.1   2   2     2e-06    0.0017   15.2   0.1   585   658   185   256   141   266 0.87 | transcript=PVW1_140033000_t1 | gene=PVW1_140033000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1197696-1199079(-) | protein_length=270 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480002.1         -            294 3584at5820           -            670     0.051   10.3  12.8   1   1   7.2e-05     0.062   10.1  12.8   215   357    67   216    51   238 0.56 | transcript=PVW1_050037400_t1 | gene=PVW1_050037400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1385547-1386567(-) | protein_length=294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479897.1         -            435 3584at5820           -            670      0.36    7.6   4.6   1   1   0.00059      0.51    7.0   4.6   206   252   118   164   110   272 0.63 | transcript=PVW1_050027900_t1 | gene=PVW1_050027900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:947645-949142(-) | protein_length=435 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474932.1         -            155 3584at5820           -            670       0.8    6.4  15.1   1   1   0.00095      0.83    6.3  15.1   211   264    79   132    28   148 0.48 | transcript=PVW1_100041400_t1 | gene=PVW1_100041400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1681178-1681961(-) | protein_length=155 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481570.1         -           1785 3584at5820           -            670       7.8    3.1   8.8   1   1     0.013        11    2.6   8.8   257   339  1226  1309  1142  1314 0.65 | transcript=PVW1_060018500_t1 | gene=PVW1_060018500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:592170-597527(-) | protein_length=1785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3584at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3584at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3584at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:34 2026
# [ok]
