#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477028.1         -            543 4696at5820           -            156  5.5e-103  339.8   3.0   1   1  1.7e-105    1e-102  339.0   3.0     1   156    21   177    21   177 0.99 | transcript=PVW1_090037500_t1 | gene=PVW1_090037500 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD30] | transcript_product=T-complex protein 1 subunit alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD30] | location=CAJZCX010000007:1420990-1422882(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479065.1         -            535 4696at5820           -            156   5.6e-35  118.9   6.1   1   1   2.2e-37   1.3e-34  117.7   6.1     2   156    35   191    34   191 0.94 | transcript=PVW1_080025300_t1 | gene=PVW1_080025300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:932526-934133(-) | protein_length=535 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479276.1         -            540 4696at5820           -            156   1.4e-34  117.6   2.3   1   1   4.6e-37   2.8e-34  116.7   2.3     2   153    31   185    30   188 0.91 | transcript=PVW1_080037700_t1 | gene=PVW1_080037700 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit eta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC23] | transcript_product=T-complex protein 1 subunit eta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC23] | location=CAJZCX010000009:1424361-1426140(+) | protein_length=540 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472365.1         -            544 4696at5820           -            156   2.5e-34  116.8   1.9   1   2   4.1e-37   2.5e-34  116.8   1.9     2   156    30   184    29   184 0.96 | transcript=PVW1_140053900_t1 | gene=PVW1_140053900 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5A4] | transcript_product=T-complex protein 1 subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5A4] | location=CAJZCX010000003:2133513-2135359(+) | protein_length=544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472365.1         -            544 4696at5820           -            156   2.5e-34  116.8   1.9   2   2       2.6   1.6e+03   -2.7   0.0    20    43   282   305   271   337 0.67 | transcript=PVW1_140053900_t1 | gene=PVW1_140053900 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5A4] | transcript_product=T-complex protein 1 subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5A4] | location=CAJZCX010000003:2133513-2135359(+) | protein_length=544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479293.1         -            532 4696at5820           -            156   9.7e-34  114.9   0.2   1   1   3.5e-36   2.1e-33  113.8   0.2     5   153    31   188    27   191 0.87 | transcript=PVW1_080039000_t1 | gene=PVW1_080039000 | organism=Plasmodium_vivax_PvW1 | gene_product=CCT-beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWT6] | transcript_product=CCT-beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWT6] | location=CAJZCX010000009:1478527-1480125(+) | protein_length=532 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477689.1         -            529 4696at5820           -            156   3.2e-30  103.5   3.2   1   1   1.4e-32   8.5e-30  102.1   3.2     2   153    29   180    28   183 0.93 | transcript=PVW1_110019600_t1 | gene=PVW1_110019600 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit delta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEY9] | transcript_product=T-complex protein 1 subunit delta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEY9] | location=CAJZCX010000008:634348-636643(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482486.1         -            544 4696at5820           -            156   1.1e-18   66.0   3.1   1   1   7.1e-21   4.3e-18   64.1   3.1     3   153    33   186    31   189 0.84 | transcript=PVW1_040017100_t1 | gene=PVW1_040017100 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit theta, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H817] | transcript_product=T-complex protein 1 subunit theta, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H817] | location=CAJZCX010000013:539335-541219(-) | protein_length=544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478107.1         -            543 4696at5820           -            156   1.2e-18   65.8   1.6   1   1   6.6e-21     4e-18   64.2   1.6     4   146    27   173    24   183 0.86 | transcript=PVW1_110046000_t1 | gene=PVW1_110046000 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit zeta, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZXN5] | transcript_product=T-complex protein 1 subunit zeta, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZXN5] | location=CAJZCX010000008:1745432-1747242(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472391.1         -            710 4696at5820           -            156   1.2e-10   39.8   1.4   1   4       0.2   1.2e+02    0.9   0.5   100   125    49    74    44    80 0.86 | transcript=PVW1_140056600_t1 | gene=PVW1_140056600 | organism=Plasmodium_vivax_PvW1 | gene_product=60 kDa chaperonin, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A4K6] | transcript_product=60 kDa chaperonin, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A4K6] | location=CAJZCX010000003:2258247-2260772(-) | protein_length=710 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472391.1         -            710 4696at5820           -            156   1.2e-10   39.8   1.4   2   4     2e-13   1.2e-10   39.8   1.4     5   131    89   217    85   241 0.85 | transcript=PVW1_140056600_t1 | gene=PVW1_140056600 | organism=Plasmodium_vivax_PvW1 | gene_product=60 kDa chaperonin, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A4K6] | transcript_product=60 kDa chaperonin, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A4K6] | location=CAJZCX010000003:2258247-2260772(-) | protein_length=710 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
