#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475600.1         -            499 6051at5820           -            397  2.2e-241  799.1  30.1   1   2  5.1e-117  3.9e-114  380.1   0.5     1   197    24   236    24   249 0.95 | transcript=PVW1_130020600_t1 | gene=PVW1_130020600 | organism=Plasmodium_vivax_PvW1 | gene_product=Era-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ3] | transcript_product=Era-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ3] | location=CAJZCX010000006:703073-704572(-) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475600.1         -            499 6051at5820           -            397  2.2e-241  799.1  30.1   2   2  6.2e-130  4.7e-127  422.6  23.4   177   396   264   498   258   499 0.94 | transcript=PVW1_130020600_t1 | gene=PVW1_130020600 | organism=Plasmodium_vivax_PvW1 | gene_product=Era-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ3] | transcript_product=Era-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ3] | location=CAJZCX010000006:703073-704572(-) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472242.1         -            871 6051at5820           -            397     4e-14   50.8  16.4   1   4   1.1e-07   8.5e-05   20.1   0.0    68   171   294   396   288   413 0.86 | transcript=PVW1_140042300_t1 | gene=PVW1_140042300 | organism=Plasmodium_vivax_PvW1 | gene_product=GTPase Der [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKH8] | transcript_product=GTPase Der [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKH8] | location=CAJZCX010000003:1580630-1583245(+) | protein_length=871 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472242.1         -            871 6051at5820           -            397     4e-14   50.8  16.4   2   4     0.027        21    2.4   0.1   225   287   494   552   463   559 0.76 | transcript=PVW1_140042300_t1 | gene=PVW1_140042300 | organism=Plasmodium_vivax_PvW1 | gene_product=GTPase Der [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKH8] | transcript_product=GTPase Der [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKH8] | location=CAJZCX010000003:1580630-1583245(+) | protein_length=871 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472242.1         -            871 6051at5820           -            397     4e-14   50.8  16.4   3   4   2.1e-11   1.6e-08   32.4   4.2    50   171   549   681   537   688 0.78 | transcript=PVW1_140042300_t1 | gene=PVW1_140042300 | organism=Plasmodium_vivax_PvW1 | gene_product=GTPase Der [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKH8] | transcript_product=GTPase Der [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKH8] | location=CAJZCX010000003:1580630-1583245(+) | protein_length=871 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472242.1         -            871 6051at5820           -            397     4e-14   50.8  16.4   4   4     0.014        11    3.3   1.6   231   281   688   742   679   758 0.74 | transcript=PVW1_140042300_t1 | gene=PVW1_140042300 | organism=Plasmodium_vivax_PvW1 | gene_product=GTPase Der [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKH8] | transcript_product=GTPase Der [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKH8] | location=CAJZCX010000003:1580630-1583245(+) | protein_length=871 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475881.1         -            518 6051at5820           -            397     7e-07   27.0   1.6   1   2    0.0069       5.2    4.3   0.1   218   255   245   285   234   309 0.79 | transcript=PVW1_130032500_t1 | gene=PVW1_130032500 | organism=Plasmodium_vivax_PvW1 | gene_product=Nucleolar GTP-binding protein 2 [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT8] | transcript_product=Nucleolar GTP-binding protein 2 [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT8] | location=CAJZCX010000006:1216905-1218461(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475881.1         -            518 6051at5820           -            397     7e-07   27.0   1.6   2   2   4.3e-08   3.3e-05   21.4   0.1    59   126   314   378   300   388 0.77 | transcript=PVW1_130032500_t1 | gene=PVW1_130032500 | organism=Plasmodium_vivax_PvW1 | gene_product=Nucleolar GTP-binding protein 2 [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT8] | transcript_product=Nucleolar GTP-binding protein 2 [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT8] | location=CAJZCX010000006:1216905-1218461(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475577.1         -            417 6051at5820           -            397   7.7e-05   20.2   6.9   1   2   6.2e-06    0.0047   14.4   0.6   216   284   127   193   119   199 0.87 | transcript=PVW1_130019900_t1 | gene=PVW1_130019900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:667366-668619(-) | protein_length=417 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475577.1         -            417 6051at5820           -            397   7.7e-05   20.2   6.9   2   2     0.001      0.76    7.1   1.0    69   130   205   286   193   348 0.59 | transcript=PVW1_130019900_t1 | gene=PVW1_130019900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:667366-668619(-) | protein_length=417 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478042.1         -            713 6051at5820           -            397   0.00037   18.0   0.0   1   1   1.1e-06   0.00082   16.8   0.0    61   159   166   262   141   280 0.80 | transcript=PVW1_110042000_t1 | gene=PVW1_110042000 | organism=Plasmodium_vivax_PvW1 | gene_product=OBG-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFL2] | transcript_product=OBG-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFL2] | location=CAJZCX010000008:1578912-1581053(-) | protein_length=713 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
