#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476651.1         -           1353 2713at5820           -            991         0 1285.1   0.0   1   1         0         0 1283.4   0.0     1   991     1  1348     1  1348 0.84 | transcript=PVW1_090014900_t1 | gene=PVW1_090014900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:517903-522152(-) | protein_length=1353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480785.1         -            215 2713at5820           -            991     0.082    9.1   9.3   1   1   0.00018      0.08    9.2   9.3   546   638    67   139    17   206 0.42 | transcript=PVW1_070038400_t1 | gene=PVW1_070038400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1413632-1414279(-) | protein_length=215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472195.1         -            381 2713at5820           -            991     0.087    9.1  26.6   1   1   0.00025      0.11    8.8  26.6   475   678    15   180     4   338 0.47 | transcript=PVW1_140037500_t1 | gene=PVW1_140037500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1430157-1431302(+) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474786.1         -            667 2713at5820           -            991      0.43    6.7  21.2   1   1    0.0015      0.65    6.2  21.2   547   667    50   168    19   184 0.50 | transcript=PVW1_100029800_t1 | gene=PVW1_100029800 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DDX41, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDT1] | transcript_product=ATP-dependent RNA helicase DDX41, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDT1] | location=CAJZCX010000005:1177217-1179220(-) | protein_length=667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472151.1         -            316 2713at5820           -            991      0.85    5.8  30.9   1   1    0.0023         1    5.5  30.9   484   639   103   263    48   302 0.37 | transcript=PVW1_140033300_t1 | gene=PVW1_140033300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1213167-1214612(-) | protein_length=316 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482650.1         -           1219 2713at5820           -            991      0.89    5.7   6.1   1   1    0.0047       2.1    4.5   6.1   504   614   965  1072   918  1142 0.49 | transcript=PVW1_040023300_t1 | gene=PVW1_040023300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:782523-786545(+) | protein_length=1219 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476281.1         -            132 2713at5820           -            991         1    5.5  13.6   1   1    0.0023         1    5.5  13.6   530   614     7    91     1   127 0.41 | transcript=PVW1_130051200_t1 | gene=PVW1_130051200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:2036889-2037422(-) | protein_length=132 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476958.1         -            310 2713at5820           -            991       1.1    5.4  25.0   1   1    0.0031       1.3    5.1  25.0   526   718    77   281    27   305 0.43 | transcript=PVW1_090031800_t1 | gene=PVW1_090031800 | organism=Plasmodium_vivax_PvW1 | gene_product=Large ribosomal subunit processing factor, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ1] | transcript_product=Large ribosomal subunit processing factor, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ1] | location=CAJZCX010000007:1198889-1200227(+) | protein_length=310 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472148.1         -            270 2713at5820           -            991       1.3    5.2  29.4   1   1    0.0035       1.5    5.0  29.4   489   642    14   185     1   214 0.48 | transcript=PVW1_140033000_t1 | gene=PVW1_140033000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1197696-1199079(-) | protein_length=270 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478828.1         -            381 2713at5820           -            991       1.5    5.0  23.3   1   1    0.0043       1.8    4.7  23.3   526   668   103   231    23   250 0.37 | transcript=PVW1_080015800_t1 | gene=PVW1_080015800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:517891-519976(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472519.1         -            205 2713at5820           -            991       2.4    4.3  30.9   1   1    0.0068       2.9    4.0  30.9   511   643    25   167    16   196 0.40 | transcript=PVW1_140068300_t1 | gene=PVW1_140068300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2734847-2735812(+) | protein_length=205 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
