#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473368.1         -           1173 2444at5820           -            765  1.6e-304 1010.6  77.2   1   8   3.1e-80   9.3e-77  257.5  10.8     1   160    29   200    29   214 0.91 | transcript=PVW1_120035500_t1 | gene=PVW1_120035500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1307545-1311066(+) | protein_length=1173 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473368.1         -           1173 2444at5820           -            765  1.6e-304 1010.6  77.2   2   8   2.6e-17     8e-14   49.4   0.5   170   213   302   345   294   352 0.87 | transcript=PVW1_120035500_t1 | gene=PVW1_120035500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1307545-1311066(+) | protein_length=1173 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473368.1         -           1173 2444at5820           -            765  1.6e-304 1010.6  77.2   3   8   6.9e-68   2.1e-64  216.6   4.0   209   328   372   491   368   496 0.98 | transcript=PVW1_120035500_t1 | gene=PVW1_120035500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1307545-1311066(+) | protein_length=1173 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473368.1         -           1173 2444at5820           -            765  1.6e-304 1010.6  77.2   4   8   1.9e-41   5.9e-38  129.2   1.1   328   421   542   640   537   645 0.94 | transcript=PVW1_120035500_t1 | gene=PVW1_120035500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1307545-1311066(+) | protein_length=1173 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473368.1         -           1173 2444at5820           -            765  1.6e-304 1010.6  77.2   5   8   8.5e-33   2.6e-29  100.6   3.2   421   502   669   752   664   757 0.96 | transcript=PVW1_120035500_t1 | gene=PVW1_120035500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1307545-1311066(+) | protein_length=1173 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473368.1         -           1173 2444at5820           -            765  1.6e-304 1010.6  77.2   6   8   1.9e-45   5.7e-42  142.5   6.8   490   632   795   944   785   946 0.89 | transcript=PVW1_120035500_t1 | gene=PVW1_120035500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1307545-1311066(+) | protein_length=1173 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473368.1         -           1173 2444at5820           -            765  1.6e-304 1010.6  77.2   7   8   5.4e-31   1.6e-27   94.7   0.8   633   713   977  1060   975  1063 0.94 | transcript=PVW1_120035500_t1 | gene=PVW1_120035500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1307545-1311066(+) | protein_length=1173 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473368.1         -           1173 2444at5820           -            765  1.6e-304 1010.6  77.2   8   8   8.4e-20   2.6e-16   57.6   0.4   714   765  1120  1172  1115  1172 0.95 | transcript=PVW1_120035500_t1 | gene=PVW1_120035500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1307545-1311066(+) | protein_length=1173 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481550.1         -            638 2444at5820           -            765     0.026   11.3   0.0   1   1   1.3e-05     0.041   10.7   0.0   228   332   398   504   365   549 0.75 | transcript=PVW1_060018000_t1 | gene=PVW1_060018000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:574179-576095(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2444at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2444at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2444at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:03 2026
# [ok]
