#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477598.1         -            483 5836at5820           -            442         0 1023.0  13.9   1   1         0         0 1022.2  13.9     1   442     1   454     1   454 0.98 | transcript=PVW1_110015200_t1 | gene=PVW1_110015200 | organism=Plasmodium_vivax_PvW1 | gene_product=RuvB-like helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZN8] | transcript_product=RuvB-like helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZN8] | location=CAJZCX010000008:419066-420517(+) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476593.1         -            475 5836at5820           -            442  8.5e-103  342.7   7.7   1   1    2e-105  1.2e-102  342.2   7.7    11   436    15   474     6   475 0.88 | transcript=PVW1_090011900_t1 | gene=PVW1_090011900 | organism=Plasmodium_vivax_PvW1 | gene_product=RuvB-like helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCC9] | transcript_product=RuvB-like helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCC9] | location=CAJZCX010000007:383285-384712(-) | protein_length=475 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472188.1         -            579 5836at5820           -            442   3.5e-99  330.8  16.6   1   2    0.0059       3.6    4.5   0.0    10    27    48    65    40    77 0.83 | transcript=PVW1_140036800_t1 | gene=PVW1_140036800 | organism=Plasmodium_vivax_PvW1 | gene_product=RuvB-like helicase [Source:UniProtKB/TrEMBL;Acc:A0A565A2Z8] | transcript_product=RuvB-like helicase [Source:UniProtKB/TrEMBL;Acc:A0A565A2Z8] | location=CAJZCX010000003:1384965-1387449(+) | protein_length=579 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472188.1         -            579 5836at5820           -            442   3.5e-99  330.8  16.6   2   2  1.1e-100   6.6e-98  326.6  14.2    33   437   163   579   155   579 0.91 | transcript=PVW1_140036800_t1 | gene=PVW1_140036800 | organism=Plasmodium_vivax_PvW1 | gene_product=RuvB-like helicase [Source:UniProtKB/TrEMBL;Acc:A0A565A2Z8] | transcript_product=RuvB-like helicase [Source:UniProtKB/TrEMBL;Acc:A0A565A2Z8] | location=CAJZCX010000003:1384965-1387449(+) | protein_length=579 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477911.1         -            822 5836at5820           -            442    0.0002   18.5   0.2   1   3      0.52   3.2e+02   -1.9   0.2   231   269    40    79    10    89 0.69 | transcript=PVW1_110035700_t1 | gene=PVW1_110035700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI3] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI3] | location=CAJZCX010000008:1317437-1320072(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477911.1         -            822 5836at5820           -            442    0.0002   18.5   0.2   2   3   6.3e-05     0.038   11.0   0.0    64   116   242   293   234   312 0.85 | transcript=PVW1_110035700_t1 | gene=PVW1_110035700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI3] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI3] | location=CAJZCX010000008:1317437-1320072(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477911.1         -            822 5836at5820           -            442    0.0002   18.5   0.2   3   3    0.0073       4.5    4.2   0.0    62   112   513   561   505   571 0.81 | transcript=PVW1_110035700_t1 | gene=PVW1_110035700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI3] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI3] | location=CAJZCX010000008:1317437-1320072(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484907.1         -           1089 5836at5820           -            442   0.00048   17.3   0.1   1   2   0.00017       0.1    9.6   0.0    62   116   509   562   501   580 0.76 | transcript=PVW1_010015500_t1 | gene=PVW1_010015500 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | location=CAJZCX010000016:501194-504463(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484907.1         -           1089 5836at5820           -            442   0.00048   17.3   0.1   2   2    0.0048       2.9    4.8   0.0    64   111   831   876   824   887 0.82 | transcript=PVW1_010015500_t1 | gene=PVW1_010015500 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | location=CAJZCX010000016:501194-504463(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473644.1         -            702 5836at5820           -            442   0.00066   16.8   1.3   1   3     3e-06    0.0018   15.3   0.1    62   102   282   320   273   341 0.83 | transcript=PVW1_120056700_t1 | gene=PVW1_120056700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH54] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH54] | location=CAJZCX010000004:2176508-2178616(+) | protein_length=702 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473644.1         -            702 5836at5820           -            442   0.00066   16.8   1.3   2   3      0.28   1.7e+02   -1.0   0.0   277   359   342   432   326   449 0.68 | transcript=PVW1_120056700_t1 | gene=PVW1_120056700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH54] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH54] | location=CAJZCX010000004:2176508-2178616(+) | protein_length=702 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473644.1         -            702 5836at5820           -            442   0.00066   16.8   1.3   3   3         1   6.3e+02   -2.9   0.0   245   270   612   637   586   664 0.63 | transcript=PVW1_120056700_t1 | gene=PVW1_120056700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH54] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH54] | location=CAJZCX010000004:2176508-2178616(+) | protein_length=702 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479352.1         -            785 5836at5820           -            442   0.00071   16.7   0.0   1   2   0.00056      0.34    7.9   0.0    63   103   289   328   278   350 0.78 | transcript=PVW1_080042900_t1 | gene=PVW1_080042900 | organism=Plasmodium_vivax_PvW1 | gene_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | transcript_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | location=CAJZCX010000009:1623199-1625556(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479352.1         -            785 5836at5820           -            442   0.00071   16.7   0.0   2   2    0.0022       1.3    5.9   0.0    58    88   565   595   537   627 0.77 | transcript=PVW1_080042900_t1 | gene=PVW1_080042900 | organism=Plasmodium_vivax_PvW1 | gene_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | transcript_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | location=CAJZCX010000009:1623199-1625556(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
